player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,flags,player_status,context_quality
Adem Bona,rebounds,4.5,3.9,-13.8,4.1,56.0,UNDER,3.6,3.6,28.0,72.0,COLD,18,fanduel,-160,124,-160,58.0,58.0,62.1,rest: -8.0% | minutes: +10.0%,True,,1.0,STABLE,Dallas Mavericks @ Philadelphia 76ers,Philadelphia 76ers,Dallas Mavericks,,,NEUTRAL,,,B2B | MINS UP,HEALTHY,41
Bennedict Mathurin,rebounds,5.5,6.3,13.6,4.1,58.0,OVER,5.6,5.6,44.0,56.0,HOT,16,fanduel,-130,-130,102,53.3,53.3,57.4,opp_defense: +3.1% | location: -2.0% | pace: +0.7% | minutes: +5.2% | injury_boost: +4.0%,False,,1.0,STABLE,Indiana Pacers @ New Orleans Pelicans,New Orleans Pelicans,Indiana Pacers,NOP,8.0,GOOD,,,MINS UP | INJ BOOST +4%,HEALTHY,90
Jay Huff,rebounds,5.5,6.3,13.7,4.1,60.0,OVER,5.8,3.9,26.0,74.0,HOT,27,fanduel,-104,-104,-122,48.1,48.1,52.2,minutes: +10.0% | injury_boost: +4.0%,False,,1.0,STABLE,Indiana Pacers @ New Orleans Pelicans,New Orleans Pelicans,Indiana Pacers,,,NEUTRAL,,,MINS UP | INJ BOOST +4%,HEALTHY,46
P.J. Washington,points,14.5,16.4,13.3,4.0,54.0,OVER,17.4,16.0,57.0,43.0,HOT,23,fanduel,-113,-113,-113,50.0,50.0,54.0,opp_defense: -2.7% | location: -2.0% | pace: -0.3% | minutes: +7.4% | usage_rate: +0.6% | shot_volume: -8.0%,False,,1.0,STABLE,Dallas Mavericks @ Philadelphia 76ers,Philadelphia 76ers,Dallas Mavericks,PHI,25.0,HARD,,,MINS UP | VOL DOWN,HEALTHY,83
Caris LeVert,points,8.5,9.6,13.1,3.9,52.0,OVER,8.8,9.4,52.0,48.0,COLD,21,fanduel,-113,-113,-113,50.0,50.0,53.9,minutes: +3.3% | usage_rate: -0.5% | shot_volume: -8.0% | ts_regression: +3.4%,False,,1.0,STABLE,Charlotte Hornets @ Detroit Pistons,Detroit Pistons,Charlotte Hornets,,,NEUTRAL,,,VOL DOWN,HEALTHY,42
Klay Thompson,points,8.5,9.5,12.0,3.6,55.0,OVER,9.8,10.8,62.0,38.0,COLD,26,fanduel,-125,-125,-102,52.4,52.4,56.0,opp_defense: -2.7% | location: -2.0% | pace: -0.3% | minutes: -3.8% | usage_rate: +0.2% | shot_volume: -7.7% | ts_regression: -1.9%,False,,1.0,STABLE,Dallas Mavericks @ Philadelphia 76ers,Philadelphia 76ers,Dallas Mavericks,PHI,25.0,HARD,,,VOL DOWN,HEALTHY,86
Scottie Barnes,pra,33.5,29.8,-11.2,3.4,61.0,UNDER,30.0,33.0,43.0,57.0,COLD,28,fanduel,-122,-104,-122,51.9,51.9,55.2,opp_defense: -4.4% | location: +2.5% | pace: -1.9% | minutes: +1.9% | usage_rate: +1.0% | shot_volume: -4.0% | ts_regression: -3.3%,False,,1.0,STABLE,Boston Celtics @ Toronto Raptors,Toronto Raptors,Boston Celtics,BOS,,NEUTRAL,,,VOL DOWN,HEALTHY,86
Jordan Poole,points,15.5,17.3,11.4,3.4,60.0,OVER,15.0,17.4,60.0,40.0,COLD,10,fanduel,-104,-104,-122,48.1,48.1,51.5,opp_defense: +3.6% | location: +2.5% | pace: +0.7% | minutes: -10.0% | usage_rate: +1.3% | shot_volume: +8.0% | ts_regression: -3.5%,False,,1.0,STABLE,Indiana Pacers @ New Orleans Pelicans,New Orleans Pelicans,Indiana Pacers,IND,6.0,GOOD,,,MINS DOWN | VOL UP,HEALTHY,76
Duncan Robinson,points,9.5,10.5,10.8,3.3,64.0,OVER,9.0,11.9,60.0,40.0,COLD,25,fanduel,-115,-115,-111,50.4,50.4,53.7,minutes: -10.0% | injury_boost: +8.0% | usage_rate: -1.9% | shot_volume: +1.1%,False,,1.0,STABLE,Charlotte Hornets @ Detroit Pistons,Detroit Pistons,Charlotte Hornets,,,NEUTRAL,,,MINS DOWN | INJ BOOST +8% | LOW USG,HEALTHY,52
Jalen Duren,pra,30.5,27.1,-11.0,3.3,59.0,UNDER,24.4,30.8,54.0,46.0,COLD,24,fanduel,-113,-113,-113,50.0,50.0,53.3,location: +2.5% | pace: -0.4% | minutes: +0.8% | usage_rate: +0.5% | shot_volume: -0.7% | ts_regression: -5.0%,False,,1.0,STABLE,Charlotte Hornets @ Detroit Pistons,Detroit Pistons,Charlotte Hornets,CHA,,NEUTRAL,,,,HEALTHY,83
Kevin Durant,points,28.5,25.5,-10.6,3.2,60.0,UNDER,25.6,25.1,32.0,68.0,NEUTRAL,22,fanduel,-118,-112,-118,50.6,50.6,53.8,opp_defense: -0.2% | location: -2.0% | pace: -1.5% | minutes: +3.5% | usage_rate: +1.5% | shot_volume: -8.0% | ts_regression: +3.6%,False,,1.0,STABLE,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets,DEN,15.0,NEUTRAL,,,VOL DOWN,HEALTHY,86
Ryan Kalkbrenner,rebounds,6.5,5.8,-10.3,3.1,64.0,UNDER,5.0,6.4,36.0,64.0,COLD,25,fanduel,-156,122,-156,57.5,57.5,60.6,minutes: +1.1%,False,,1.0,STABLE,Charlotte Hornets @ Detroit Pistons,Detroit Pistons,Charlotte Hornets,,,NEUTRAL,,,,HEALTHY,33
Jay Huff,points,10.5,11.6,10.4,3.1,47.0,OVER,10.2,8.0,37.0,63.0,NEUTRAL,27,fanduel,-115,-115,-111,50.4,50.4,53.5,minutes: +10.0% | injury_boost: +8.0% | usage_rate: -1.0% | shot_volume: -8.0% | ts_regression: +1.7%,False,,1.0,STABLE,Indiana Pacers @ New Orleans Pelicans,New Orleans Pelicans,Indiana Pacers,,,NEUTRAL,,,MINS UP | INJ BOOST +8% | VOL DOWN,HEALTHY,55
