player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,flags,player_status,context_quality
Marcus Smart,points,6.5,15.1,133.0,32.2,63,OVER,14.0,10.5,74,26,HOT,19,fanduel,-130,-130,-102,52.8,52.8,85.0,minutes: +7.6% | usage_rate: -1.0% | shot_volume: +8.0%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,,,NEUTRAL,,,MINS UP | VOL UP,HEALTHY,39
Jamal Murray,threes,2.5,4.8,91.8,26.4,51,OVER,4.4,3.4,64,36,HOT,28,fanduel,-168,-168,126,58.6,58.6,85.0,opp_defense: -8.9% | location: +2.5% | pace: -0.3% | minutes: +2.2% | injury_boost: +5.0% | usage_rate: +1.9% | shot_volume: +6.2%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,MIN,25.0,HARD,,,INJ BOOST +5% | VOL UP,HEALTHY,96
Moses Moody,rebounds,2.5,4.5,80.6,24.2,58,OVER,3.8,3.3,64,36,NEUTRAL,28,fanduel,-160,-160,124,58.0,58.0,82.1,opp_defense: +9.1% | location: +2.5% | rest: +2.0% | pace: +0.1% | minutes: +1.1%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,DAL,2.0,SMASH,,,SMASH SPOT,HEALTHY,80
Brandin Podziemski,assists,2.5,4.5,79.1,23.7,52,OVER,4.6,3.3,63,37,HOT,30,fanduel,-162,-162,126,58.3,58.3,82.0,opp_defense: -1.7% | location: +2.5% | rest: +2.0% | pace: +0.1% | minutes: +1.8%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,DAL,17.0,NEUTRAL,,,,HEALTHY,80
Cooper Flagg,points,19.5,34.7,78.1,23.4,62,OVER,27.6,19.2,43,57,HOT,30,fanduel,-125,-125,-102,52.4,52.4,75.8,minutes: +10.0% | injury_boost: +8.0% | usage_rate: +0.9% | shot_volume: +8.0% | ts_regression: +1.8%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,,,NEUTRAL,,,MINS UP | INJ BOOST +8% | VOL UP,HEALTHY,55
Cooper Flagg,assists,3.5,6.2,76.2,22.9,47,OVER,5.6,3.8,50,50,HOT,30,fanduel,-154,-154,120,57.2,57.2,80.0,minutes: +10.0% | injury_boost: +6.0%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,,,NEUTRAL,,,MINS UP | INJ BOOST +6%,HEALTHY,46
Josh Okogie,rebounds,2.5,4.3,71.1,21.3,50,OVER,3.6,3.0,63,37,NEUTRAL,27,fanduel,-158,-158,118,57.2,57.2,78.5,minutes: +10.0% | injury_boost: +4.0%,False,,1,STABLE,Houston Rockets @ Los Angeles Lakers,Los Angeles Lakers,Houston Rockets,,,NEUTRAL,,,MINS UP | INJ BOOST +4%,HEALTHY,46
Will Richard,points,4.5,7.5,66.0,19.8,48,OVER,7.6,8.1,72,28,HOT,25,fanduel,-122,-122,-104,51.9,51.9,71.7,rest: +2.0% | minutes: +3.0% | usage_rate: -1.9% | shot_volume: -8.0% | ts_regression: +5.0%,False,,1,STABLE,Dallas Mavericks @ Golden State Warriors,Golden State Warriors,Dallas Mavericks,,,NEUTRAL,,,LOW USG | VOL DOWN,HEALTHY,45
Luke Kornet,points,5.5,9.0,64.2,19.3,55,OVER,9.6,8.1,67,33,HOT,21,fanduel,-120,-120,-108,51.2,51.2,70.5,minutes: -5.3% | usage_rate: -2.9% | shot_volume: +8.0% | ts_regression: +1.6%,False,,1,STABLE,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,,,NEUTRAL,,,MINS DOWN | LOW USG | VOL UP,HEALTHY,42
Shai Gilgeous-Alexander,threes,1.5,2.5,63.6,19.1,58,OVER,2.0,2.2,69,31,COLD,29,fanduel,-205,-205,154,63.1,63.1,82.1,opp_defense: -5.0% | location: +2.5% | pace: +0.1% | minutes: +4.3% | usage_rate: +3.7% | shot_volume: +8.0%,False,,1,STABLE,San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,SAS,21.0,HARD,,,HIGH USG | VOL UP,HEALTHY,83
Donte DiVincenzo,threes,2.5,4.1,62.6,18.8,60,OVER,3.6,3.1,70,30,HOT,30,fanduel,-172,-172,128,59.0,59.0,77.8,opp_defense: +2.0% | location: -2.0% | pace: -0.3% | minutes: +7.0% | usage_rate: -0.9% | shot_volume: +8.0%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,DEN,12.0,NEUTRAL,,,MINS UP | VOL UP,HEALTHY,83
Nikola Jokic,threes,1.5,2.4,60.8,18.2,42,OVER,2.4,2.1,59,41,NEUTRAL,29,fanduel,-144,-144,108,55.1,55.1,73.3,opp_defense: -8.9% | location: +2.5% | pace: -0.3% | minutes: +0.2% | injury_boost: +5.0% | shot_volume: -0.3%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,MIN,25.0,HARD,,,INJ BOOST +5%,HEALTHY,93
Bruce Brown,rebounds,4.5,7.2,60.2,18.1,58,OVER,7.0,4.2,38,62,HOT,29,fanduel,-114,-114,-114,50.0,50.0,68.1,minutes: +10.0% | injury_boost: +4.0%,False,,1,STABLE,Minnesota Timberwolves @ Denver Nuggets,Denver Nuggets,Minnesota Timberwolves,,,NEUTRAL,,,MINS UP | INJ BOOST +4%,HEALTHY,46
