player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,minutes_factor,game,home_team,away_team
James Harden,points,25.5,24.3,-4.8,-3.5,69.0,UNDER,22.4,26.6,50.0,50.0,COLD,24,fanduel,-128,-104,-128,56.1,52.4,52.7,Home: 0.94x | Rested: 1.03x,False,0.97,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Josh Okogie,points,6.5,5.3,-18.7,-3.5,53.0,UNDER,4.8,6.6,59.0,41.0,COLD,22,fanduel,-125,-106,-125,55.6,51.9,52.0,Rested: 1.03x,False,0.92,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Ace Bailey,points,12.5,14.5,15.6,-3.7,57.0,OVER,10.4,10.2,38.0,62.0,NEUTRAL,24,fanduel,-104,-104,-128,51.0,47.6,47.2,Home: 1.11x | Rested: 1.03x | Mins: 1.15x,False,1.28,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Jaylen Wells,rebounds,3.5,4.1,15.9,-3.9,63.0,OVER,3.4,3.5,44.0,56.0,NEUTRAL,25,fanduel,-136,-136,102,57.6,53.8,53.7,Home: 1.11x | Rested: 1.03x,False,1.08,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Derrick White,rebounds,4.5,4.5,0.1,-4.3,63.0,OVER,4.0,4.0,42.0,58.0,NEUTRAL,24,fanduel,110,110,-140,47.6,44.9,43.3,Home: 1.08x | Rested: 1.03x,False,0.97,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Lauri Markkanen,rebounds,7.5,8.4,12.1,-4.3,63.0,OVER,8.4,6.7,35.0,65.0,HOT,23,fanduel,110,110,-146,47.6,44.5,43.3,Home: 1.08x | Rested: 1.03x,False,0.93,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Scottie Barnes,threes,1.5,1.6,3.3,-4.4,43.0,OVER,1.4,1.4,42.0,58.0,NEUTRAL,26,fanduel,100,100,-130,50.0,46.9,45.6,Home: 1.13x | Rested: 1.03x,False,1.06,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Kevin Durant,rebounds,4.5,4.3,-3.9,-4.6,58.0,UNDER,3.6,4.6,50.0,50.0,COLD,20,fanduel,-136,102,-136,57.6,53.8,53.1,Rested: 1.03x,False,0.97,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Cameron Johnson,points,14.5,17.3,19.5,-4.6,55.0,OVER,11.8,11.3,35.0,65.0,NEUTRAL,23,fanduel,-110,-110,-120,52.4,49.0,47.7,Home: 1.15x | Rested: 1.03x | Mins: 1.15x,False,1.17,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
P.J. Washington,pra,25.5,25.2,-1.0,-4.9,67.0,UNDER,27.2,25.6,52.0,48.0,HOT,21,fanduel,-120,-110,-120,54.5,51.0,49.6,Home: 0.94x | Rested: 1.03x,False,1.03,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
James Harden,assists,8.5,9.0,6.3,-4.9,66.0,OVER,6.4,8.2,42.0,58.0,COLD,24,fanduel,-108,-108,-122,51.9,48.6,47.0,Home: 1.21x | Rested: 1.03x,False,0.97,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
James Harden,threes,3.5,3.4,-2.8,-4.9,58.0,UNDER,2.8,3.5,50.0,50.0,COLD,24,fanduel,-136,102,-136,57.6,53.8,52.7,Rested: 1.03x,False,0.97,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Santi Aldama,threes,1.5,1.7,14.6,-4.9,50.0,OVER,1.4,1.5,48.0,52.0,COLD,25,fanduel,-166,-166,124,62.4,58.3,57.5,Home: 1.06x | Rested: 1.03x,False,1.02,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
John Collins,points,12.5,13.7,9.9,-5.2,68.0,OVER,12.4,12.1,44.0,56.0,NEUTRAL,25,fanduel,-130,-130,-102,56.5,52.8,51.4,Home: 1.08x | Rested: 1.03x,False,1.01,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Bruce Brown,rebounds,3.5,3.3,-4.6,-5.2,64.0,UNDER,3.2,3.7,50.0,50.0,COLD,24,fanduel,-146,110,-146,59.3,55.5,54.1,Rested: 1.03x,False,1.05,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Svi Mykhailiuk,rebounds,2.5,2.5,0.9,-5.4,63.0,OVER,3.2,2.6,54.0,46.0,HOT,24,fanduel,-158,-158,116,61.2,56.9,55.8,Home: 0.85x | Rested: 1.03x,False,0.98,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Derrick White,points,18.5,19.9,7.5,-5.7,66.0,OVER,21.8,17.2,42.0,58.0,HOT,24,fanduel,-120,-120,-106,54.5,51.5,48.8,Rested: 1.03x,False,0.97,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Cooper Flagg,points,18.5,20.9,13.2,-5.8,66.0,OVER,20.6,17.5,40.0,60.0,HOT,25,fanduel,-128,-128,-102,56.1,52.6,50.3,Rested: 1.03x,False,0.97,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Derrick White,threes,3.5,4.1,15.8,-5.8,59.0,OVER,4.4,3.0,33.0,67.0,HOT,24,fanduel,-106,-106,-120,51.5,48.5,45.7,Rested: 1.03x,False,0.97,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Jalen Duren,rebounds,11.5,11.9,3.3,-6.0,64.0,OVER,9.6,11.3,45.0,55.0,COLD,22,fanduel,-128,-128,100,56.1,52.9,50.2,Home: 1.13x | Rested: 1.03x,False,0.98,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Bam Adebayo,pra,30.5,31.9,4.6,-6.4,63.0,OVER,32.6,30.6,42.0,58.0,HOT,19,fanduel,-120,-120,-106,54.5,51.5,48.2,Rested: 1.03x,False,1.05,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Steven Adams,points,5.5,6.1,11.0,-6.9,51.0,OVER,7.6,6.4,39.0,61.0,HOT,18,fanduel,-125,-125,-106,55.6,51.9,48.7,Home: 0.87x | Rested: 1.03x,False,0.92,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Keyonte George,rebounds,4.5,4.2,-5.8,-7.0,64.0,UNDER,4.2,4.0,50.0,50.0,NEUTRAL,24,fanduel,-172,128,-172,63.2,59.0,56.3,Rested: 1.03x,False,0.94,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Jaylen Brown,assists,5.5,6.1,11.5,-7.0,59.0,OVER,6.2,4.8,25.0,75.0,HOT,24,fanduel,130,130,-166,43.5,41.1,36.5,Rested: 1.03x,False,1.08,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Immanuel Quickley,points,17.5,17.9,2.2,-7.4,68.0,OVER,19.4,16.5,40.0,60.0,HOT,25,fanduel,-113,-113,-113,53.1,50.0,45.7,Rested: 1.03x,False,1.02,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Jamal Murray,points,23.5,23.8,1.3,-7.5,63.0,OVER,26.0,24.4,39.0,61.0,HOT,23,fanduel,-106,-106,-125,51.5,48.1,44.0,Home: 0.89x | Rested: 1.03x,False,0.93,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Jaylen Brown,rebounds,6.5,6.9,5.6,-7.8,60.0,OVER,7.0,6.1,33.0,67.0,HOT,24,fanduel,102,102,-130,49.5,46.7,41.7,Rested: 1.03x,False,1.08,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Brandon Ingram,points,23.5,25.0,6.2,-7.9,69.0,OVER,21.8,21.5,38.0,62.0,NEUTRAL,26,fanduel,-122,-122,-104,55.0,51.9,47.0,Home: 1.11x | Rested: 1.03x,False,1.02,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Peyton Watson,points,11.5,12.6,9.3,-8.7,50.0,OVER,13.2,10.8,38.0,62.0,HOT,24,fanduel,-132,-132,100,56.9,53.2,48.2,Home: 0.84x | Rested: 1.03x | Mins: 1.12x,False,1.12,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Kevin Love,rebounds,5.5,5.9,6.9,-10.1,44.0,OVER,4.8,4.5,33.0,67.0,HOT,15,fanduel,-118,-118,-112,54.1,50.6,44.1,Rested: 1.03x | Mins: 1.14x,False,1.14,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Scottie Barnes,points,20.5,20.7,0.9,-10.2,69.0,OVER,19.0,19.7,38.0,62.0,NEUTRAL,26,fanduel,-128,-128,100,56.1,52.9,45.9,Rested: 1.03x,False,1.06,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Ja Morant,rebounds,3.5,3.5,0.1,-10.7,46.0,OVER,3.2,3.5,38.0,62.0,COLD,13,fanduel,-128,-128,-104,56.1,52.4,45.5,Rested: 1.03x,False,0.92,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Kyle Filipowski,points,12.5,14.5,16.3,-13.5,52.0,OVER,12.0,9.3,22.0,78.0,HOT,23,fanduel,-122,-122,-108,55.0,51.4,41.5,Home: 1.11x | Rested: 1.03x | Mins: 1.15x,False,1.29,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Kyle Filipowski,rebounds,8.5,8.6,0.8,-15.8,57.0,OVER,7.4,6.3,22.0,78.0,HOT,23,fanduel,-102,-102,-130,50.5,47.2,34.7,Rested: 1.03x | Mins: 1.15x,False,1.29,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
