player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,minutes_factor,game,home_team,away_team
Max Christie,threes,1.5,2.8,83.7,11.1,75.0,OVER,2.4,2.5,77.0,23.0,COLD,26,fanduel,-146,-146,110,59.3,55.5,70.5,Home: 1.08x | Rested: 1.03x,False,0.96,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Norman Powell,assists,1.5,3.0,100.0,11.1,67.0,OVER,2.6,2.4,80.0,20.0,HOT,20,fanduel,-194,-194,148,66.0,62.1,77.1,Home: 1.17x | Rested: 1.03x,False,1.03,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Reed Sheppard,threes,1.5,2.4,63.3,10.8,68.0,OVER,2.0,2.5,77.0,23.0,COLD,22,fanduel,-172,-172,128,63.2,59.0,74.0,Home: 1.06x | Rested: 1.03x,False,0.95,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Cam Spencer,threes,1.5,3.7,144.2,10.7,67.0,OVER,3.4,2.4,72.0,28.0,HOT,25,fanduel,-194,-194,144,66.0,61.7,76.7,Rested: 1.03x | Mins: 1.15x,False,1.2,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Anfernee Simons,threes,2.5,1.9,-24.9,10.7,65.0,UNDER,2.0,2.4,36.0,64.0,COLD,25,fanduel,-120,-106,-120,54.5,51.5,65.2,Home: 0.87x | Rested: 1.03x,False,0.94,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Jock Landale,rebounds,6.5,5.5,-15.5,10.5,75.0,UNDER,5.8,5.5,28.0,72.0,HOT,25,fanduel,-130,-102,-130,56.5,52.8,67.1,Home: 1.06x | Rested: 1.03x | Mins: 0.90x,False,0.9,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
John Collins,threes,1.5,0.9,-37.5,10.4,53.0,UNDER,0.8,0.9,24.0,76.0,COLD,25,fanduel,-225,164,-225,69.2,64.6,79.6,Rested: 1.03x,False,1.01,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Kris Dunn,threes,1.5,1.0,-31.8,10.2,54.0,UNDER,1.0,0.9,20.0,80.0,HOT,25,fanduel,-270,194,-270,73.0,68.2,83.2,Rested: 1.03x,False,0.99,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Jonas Valanciunas,points,7.5,8.6,15.1,10.0,74.0,OVER,9.6,8.5,71.0,29.0,HOT,24,fanduel,-128,-128,-104,56.1,52.4,66.1,Home: 0.95x | Rested: 1.03x,False,1.03,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Svi Mykhailiuk,threes,1.5,1.8,17.8,10.0,60.0,OVER,1.8,1.8,62.0,38.0,NEUTRAL,24,fanduel,100,100,-132,50.0,46.8,60.0,Rested: 1.03x,False,0.98,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Duncan Robinson,rebounds,2.5,3.9,57.4,9.7,59.0,OVER,3.8,3.0,57.0,43.0,HOT,23,fanduel,-118,-118,-108,54.1,51.0,63.8,Home: 1.11x | Rested: 1.03x,False,0.94,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Klay Thompson,threes,2.5,3.7,49.1,9.5,59.0,OVER,3.6,2.8,54.0,46.0,HOT,24,fanduel,-108,-108,-122,51.9,48.6,61.4,Home: 1.09x | Rested: 1.03x,False,1.04,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Cooper Flagg,assists,4.5,3.6,-20.5,9.4,61.0,UNDER,3.4,3.4,28.0,72.0,NEUTRAL,25,fanduel,-160,120,-160,61.5,57.5,70.9,Rested: 1.03x,False,0.97,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Svi Mykhailiuk,points,7.5,8.5,13.9,9.0,60.0,OVER,7.0,8.9,62.0,38.0,COLD,24,fanduel,102,102,-136,49.5,46.2,58.5,Home: 1.07x | Rested: 1.03x,False,0.98,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Jabari Smith Jr,threes,2.5,1.7,-30.8,8.8,60.0,UNDER,1.2,2.0,29.0,71.0,COLD,21,fanduel,-210,154,-210,67.7,63.2,76.6,Rested: 1.03x,False,1.06,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
