player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,news_status,news_adjustment,news_flags,news_notes,news_sources
Ayo Dosunmu,threes,1.5,1.9,23.9,13.0,57.0,OVER,2.0,1.9,60.0,40.0,HOT,20,fanduel,176,176,-230,36.2,34.2,49.2,Home: 0.94x | Rested: 1.03x | Mins: 1.14x | Vol↓: 0.92x | COLD: 0.95x (52% TS),False,12,1.14,UP,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,No player news found,
Lonzo Ball,rebounds,4.5,5.8,28.2,12.6,66.0,OVER,5.6,4.7,57.0,43.0,HOT,21,fanduel,130,130,-166,43.5,41.1,56.1,Home: 1.09x,False,2,1.01,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Victor Wembanyama,rebounds,9.5,11.9,25.3,12.5,64.0,OVER,11.2,12.3,64.0,36.0,COLD,14,fanduel,118,118,-150,45.9,43.3,58.3,Home: 1.10x | B2B: 0.93x,True,1,0.92,DOWN,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,ATL,8,GOOD,19,6,NO_NEWS,,,No player news found,
Lonzo Ball,threes,1.5,0.7,-53.3,12.4,48.0,UNDER,0.6,1.3,38.0,62.0,COLD,21,fanduel,112,-142,112,47.2,44.6,59.6,Home: 0.91x | Vol↓: 0.93x | COLD: 0.95x (32% TS),False,2,1.01,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Jarrett Allen,rebounds,9.5,6.0,-36.7,12.3,68.0,UNDER,6.0,7.2,24.0,76.0,COLD,17,fanduel,104,-132,104,49.0,46.3,61.3,Home: 0.93x,False,2,1.01,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Darius Garland,pra,33.5,27.5,-17.8,12.1,69.0,UNDER,25.6,24.9,8.0,92.0,NEUTRAL,12,fanduel,-102,-125,-102,50.5,47.6,62.6,Mins: 1.11x | Vol↑: 1.05x | COLD: 0.98x (46% TS),False,2,1.11,UP,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Victor Wembanyama,points,17.5,24.7,41.4,12.1,69.0,OVER,26.4,25.1,86.0,14.0,HOT,14,fanduel,-102,-102,-125,50.5,47.6,62.6,B2B: 0.93x | Vol↑: 1.08x | HOT: 1.03x (67% TS),True,1,0.92,DOWN,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,ATL,8,GOOD,19,6,NO_NEWS,,,No player news found,
Kevin Huerter,points,9.5,10.7,13.1,12.1,67.0,OVER,10.6,12.1,71.0,29.0,COLD,21,fanduel,100,100,-128,50.0,47.1,62.1,Home: 1.11x | Vol↓: 0.92x,False,2,0.93,DOWN,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,,
Jarrett Allen,points,17.5,9.1,-47.9,12.1,63.0,UNDER,10.2,14.0,24.0,76.0,COLD,17,fanduel,-104,-122,-104,51.0,48.1,63.1,Home: 0.84x | Vol↓: 0.92x | COLD: 0.98x (58% TS),False,2,1.01,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Simone Fontecchio,points,11.5,6.5,-43.3,12.0,71.0,UNDER,7.0,9.5,31.0,69.0,COLD,26,fanduel,-108,-118,-108,51.9,49.0,64.0,Home: 1.07x | B2B: 0.93x | Vol↓: 0.92x | COLD: 0.95x (47% TS),True,1,1.02,STABLE,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,BOS,29,TOUGH,1,30,NO_NEWS,,,No player news found,
Lonzo Ball,points,7.5,3.9,-48.1,12.0,55.0,UNDER,4.0,5.4,38.0,62.0,COLD,21,fanduel,-111,-115,-111,52.6,49.6,64.6,Vol↓: 0.93x | COLD: 0.95x (32% TS),False,2,1.01,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Donte DiVincenzo,assists,3.5,4.7,35.3,12.0,71.0,OVER,4.4,3.8,63.0,37.0,HOT,27,fanduel,-111,-111,-115,52.6,49.6,64.6,Home: 1.12x,False,2,1.0,STABLE,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,OKC,30,TOUGH,14,9,NO_NEWS,,,No player news found,
De'Andre Hunter,points,17.5,10.0,-42.6,12.0,72.0,UNDER,9.6,15.2,33.0,67.0,COLD,24,fanduel,-111,-115,-111,52.6,49.6,64.6,Vol↓: 0.92x | COLD: 0.95x (45% TS),False,2,0.95,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Julius Randle,pra,31.5,38.1,20.8,11.9,85.0,OVER,34.6,35.9,74.0,26.0,NEUTRAL,27,fanduel,-113,-113,-113,53.1,50.0,65.0,Vol↑: 1.08x,False,2,1.03,STABLE,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,OKC,30,TOUGH,14,9,NO_NEWS,,,No player news found,
Jaden McDaniels,pra,21.5,29.0,34.7,11.9,78.0,OVER,24.6,23.2,62.0,38.0,HOT,26,fanduel,-115,-115,-111,53.5,50.4,65.4,Mins: 1.14x | Vol↑: 1.08x | COLD: 0.98x (56% TS),False,2,1.14,UP,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,OKC,30,TOUGH,14,9,NO_NEWS,,,No player news found,
Tyrese Maxey,rebounds,3.5,4.5,28.8,11.9,71.0,OVER,5.0,4.7,70.0,30.0,HOT,23,fanduel,-113,-113,-113,53.1,50.0,65.0,Home: 0.92x | Rested: 1.03x,False,12,0.99,STABLE,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,NYK,23,HARD,21,26,NO_NEWS,,,No player news found,
Julian Champagnie,points,8.5,11.1,30.9,11.9,69.0,OVER,11.8,11.1,69.0,31.0,HOT,26,fanduel,-113,-113,-113,53.1,50.0,65.0,Home: 1.05x | B2B: 0.93x | Vol↓: 0.92x | HOT: 1.05x (72% TS),True,1,1.02,STABLE,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,ATL,8,GOOD,19,6,NO_NEWS,,,No player news found,
Thomas Bryant,points,7.5,6.6,-12.5,11.9,52.0,UNDER,5.8,3.8,14.0,86.0,HOT,21,fanduel,-115,-111,-115,53.5,50.4,65.4,Mins: 1.15x | Vol↑: 1.08x | HOT: 1.03x (61% TS),False,2,1.58,UP,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Ajay Mitchell,points,8.5,9.3,8.9,11.8,81.0,OVER,10.0,14.1,89.0,11.0,COLD,27,fanduel,-125,-125,-102,55.6,52.4,67.4,Home: 0.93x | B2B: 0.93x | Vol↓: 0.92x | HOT: 1.02x (61% TS),True,1,0.94,DOWN,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,MIN,18,NEUTRAL,9,14,NO_NEWS,,,No player news found,
Ayo Dosunmu,points,9.5,14.1,48.5,11.8,70.0,OVER,11.6,15.2,75.0,25.0,COLD,20,fanduel,-125,-125,-102,55.6,52.4,67.4,Rested: 1.03x | Mins: 1.14x | Vol↓: 0.92x | COLD: 0.95x (52% TS),False,12,1.14,UP,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,No player news found,
Anthony Edwards,points,24.5,28.4,16.1,11.8,68.0,OVER,28.4,28.6,70.0,30.0,NEUTRAL,20,fanduel,-113,-113,-113,53.1,50.0,64.8,Home: 0.89x | Rested: 1.03x | Mins: 1.10x | Vol↓: 0.92x | HOT: 1.03x (71% TS),False,11,1.1,UP,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,OKC,30,TOUGH,14,9,NO_NEWS,,,No player news found,
Mitchell Robinson,rebounds,6.5,9.1,39.7,11.7,66.0,OVER,7.8,8.2,71.0,29.0,COLD,17,fanduel,-138,-138,108,58.0,54.7,69.7,Home: 1.12x | Rested: 1.03x,False,6,1.03,STABLE,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,PHI,25,HARD,26,21,NO_NEWS,,,No player news found,
Shai Gilgeous-Alexander,threes,1.5,1.9,26.6,11.6,70.0,OVER,2.6,2.2,69.0,31.0,HOT,26,fanduel,-142,-142,112,58.7,55.4,70.3,Home: 0.85x | B2B: 0.93x | HOT: 1.02x (72% TS),True,1,0.96,STABLE,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,MIN,18,NEUTRAL,9,14,NO_NEWS,,,No player news found,
Donte DiVincenzo,rebounds,3.5,6.1,73.8,11.5,71.0,OVER,6.2,4.4,70.0,30.0,HOT,27,fanduel,-154,-154,120,60.6,57.2,72.2,Home: 1.13x,False,2,1.0,STABLE,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,OKC,30,TOUGH,14,9,NO_NEWS,,,No player news found,
Josh Giddey,threes,1.5,2.2,49.8,11.4,61.0,OVER,2.4,1.9,62.0,38.0,HOT,24,fanduel,-130,-130,102,56.5,53.3,67.9,None,False,2,0.95,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,No player news found,
De'Andre Hunter,threes,2.5,1.3,-46.4,11.4,61.0,UNDER,1.2,1.9,29.0,71.0,COLD,24,fanduel,-160,124,-160,61.5,58.0,73.0,Vol↓: 0.92x | COLD: 0.95x (45% TS),False,2,0.95,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Matas Buzelis,rebounds,3.5,4.5,27.5,11.4,68.0,OVER,4.4,5.3,77.0,23.0,COLD,26,fanduel,-160,-160,124,61.5,58.0,73.0,Home: 0.92x,False,2,0.93,DOWN,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,No player news found,
Dean Wade,points,7.5,6.3,-15.6,11.2,65.0,UNDER,6.6,5.4,27.0,73.0,HOT,26,fanduel,-132,104,-132,56.9,53.7,68.1,Home: 0.91x | Mins: 1.10x | HOT: 1.05x (60% TS),False,2,1.1,UP,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
Andre Drummond,points,9.5,4.8,-49.9,11.2,60.0,UNDER,4.2,7.2,38.0,62.0,COLD,24,fanduel,-132,104,-132,56.9,53.7,68.1,Home: 1.09x | Rested: 1.03x | Mins: 0.88x | Vol↓: 0.92x | COLD: 0.95x (41% TS),False,5,0.88,DOWN,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,NYK,23,HARD,21,26,NO_NEWS,,,No player news found,
Payton Pritchard,threes,3.5,2.7,-23.5,10.9,64.0,UNDER,2.8,2.7,27.0,73.0,NEUTRAL,26,fanduel,-162,126,-162,61.8,58.3,72.7,Rested: 1.03x | Vol↓: 0.96x | COLD: 0.96x (49% TS),False,4,1.02,STABLE,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,MIA,15,NEUTRAL,30,1,NO_NEWS,,,No player news found,
Onyeka Okongwu,pra,27.5,22.1,-19.5,10.4,78.0,UNDER,26.6,26.4,37.0,63.0,NEUTRAL,27,fanduel,-104,-122,-104,51.0,48.1,61.4,B2B: 0.93x | Vol↓: 0.92x,True,1,1.05,UP,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,SAS,27,TOUGH,6,19,NO_NEWS,,,,
Sam Hauser,threes,2.5,1.8,-27.1,10.3,55.0,UNDER,1.8,2.0,27.0,73.0,COLD,26,fanduel,-186,144,-186,65.0,61.3,75.4,Rested: 1.03x | Mins: 0.90x | Vol↑: 1.08x | COLD: 0.96x (42% TS),False,4,0.9,DOWN,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,MIA,15,NEUTRAL,30,1,NO_NEWS,,,No player news found,
Karl-Anthony Towns,pra,34.5,41.0,18.7,10.0,78.0,OVER,39.4,37.5,62.0,38.0,HOT,24,fanduel,-104,-104,-122,51.0,48.1,60.9,Rested: 1.03x | Vol↓: 0.96x | HOT: 1.05x (71% TS),False,6,0.98,STABLE,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,PHI,25,HARD,26,21,NO_NEWS,,,No player news found,
Chet Holmgren,points,16.5,19.3,17.2,9.7,73.0,OVER,20.6,18.9,65.0,35.0,HOT,23,fanduel,-113,-113,-113,53.1,50.0,62.8,B2B: 0.93x | Vol↑: 1.08x | HOT: 1.03x (73% TS),True,1,0.92,DOWN,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,MIN,18,NEUTRAL,9,14,NO_NEWS,,,No player news found,
VJ Edgecombe,threes,1.5,1.9,24.2,9.7,62.0,OVER,2.6,2.0,68.0,32.0,HOT,22,fanduel,-150,-150,118,60.0,56.7,69.7,Home: 0.75x | Rested: 1.03x | HOT: 1.05x (62% TS),False,5,0.94,DOWN,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,NYK,23,HARD,21,26,NO_NEWS,,,No player news found,
Nickeil Alexander-Walker,assists,3.5,2.3,-33.4,9.5,66.0,UNDER,2.6,3.3,46.0,54.0,COLD,26,fanduel,-108,-118,-108,51.9,49.0,61.4,Home: 0.87x | B2B: 0.93x,True,1,1.0,STABLE,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,SAS,27,TOUGH,6,19,NO_NEWS,,,No player news found,
Jaylen Brown,threes,2.5,1.7,-30.7,9.3,64.0,UNDER,2.2,2.1,32.0,68.0,HOT,25,fanduel,-180,140,-180,64.3,60.7,73.5,Home: 0.81x | Rested: 1.03x | Vol↓: 0.93x | HOT: 1.03x (64% TS),False,4,1.08,UP,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,MIA,15,NEUTRAL,30,1,NO_NEWS,,,No player news found,
Rudy Gobert,points,9.5,11.9,25.2,9.1,68.0,OVER,13.2,11.6,59.0,41.0,HOT,27,fanduel,-113,-113,-113,53.1,50.0,62.2,Home: 0.86x | Vol↑: 1.08x,False,2,0.92,DOWN,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,OKC,30,TOUGH,14,9,NO_NEWS,,,No player news found,
Naz Reid,points,13.5,17.3,28.3,9.1,69.0,OVER,15.8,14.0,56.0,44.0,HOT,27,fanduel,-106,-106,-120,51.5,48.5,60.5,Home: 1.08x | Mins: 1.15x | Vol↓: 0.92x,False,2,1.16,UP,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,OKC,30,TOUGH,14,9,NO_NEWS,,,No player news found,
Andre Drummond,rebounds,11.5,8.5,-26.0,9.0,65.0,UNDER,7.8,9.4,38.0,62.0,COLD,24,fanduel,-132,104,-132,56.9,53.7,65.9,Home: 1.10x | Rested: 1.03x | Mins: 0.88x,False,5,0.88,DOWN,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,NYK,23,HARD,21,26,NO_NEWS,,,No player news found,
Naz Reid,threes,2.5,3.6,45.3,8.9,62.0,OVER,3.4,2.4,48.0,52.0,HOT,27,fanduel,110,110,-140,47.6,44.9,56.5,Home: 1.11x | Mins: 1.15x | Vol↓: 0.92x,False,2,1.16,UP,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,OKC,30,TOUGH,14,9,NO_NEWS,,,No player news found,
Anfernee Simons,threes,2.5,1.7,-33.2,8.7,64.0,UNDER,1.8,2.3,35.0,65.0,COLD,26,fanduel,-180,140,-180,64.3,60.7,73.0,Home: 0.83x | Rested: 1.03x | Vol↑: 1.06x | COLD: 0.95x (48% TS),False,4,0.95,STABLE,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,MIA,15,NEUTRAL,30,1,NO_NEWS,,,No player news found,
