player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,news_status,news_adjustment,news_flags,news_notes,news_sources
Bam Adebayo,pra,31.5,25.2,-20.1,6.3,71.0,UNDER,29.6,30.5,43.0,57.0,NEUTRAL,21,fanduel,-115,-111,-115,53.5,50.4,59.8,B2B: 0.93x | Vol↓: 0.92x | COLD: 0.98x (54% TS),True,1,1.07,UP,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,BOS,29,TOUGH,1,30,NO_NEWS,,,,
VJ Edgecombe,rebounds,4.5,5.0,10.6,6.3,71.0,OVER,5.0,5.6,68.0,32.0,COLD,22,fanduel,-142,-142,112,58.7,55.4,65.0,Home: 0.91x | Rested: 1.03x,False,5,0.94,DOWN,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,NYK,23,HARD,21,26,NO_NEWS,,,No player news found,
Kel'el Ware,points,11.5,7.4,-35.6,6.3,61.0,UNDER,8.2,11.5,52.0,48.0,COLD,27,fanduel,-111,-115,-111,52.6,49.6,58.9,Home: 0.88x | B2B: 0.93x | Vol↓: 0.92x,True,1,0.93,DOWN,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,BOS,29,TOUGH,1,30,NO_NEWS,,,No player news found,
Isaac Okoro,points,7.5,9.1,21.0,6.0,51.0,OVER,10.8,8.6,56.0,44.0,HOT,18,fanduel,-113,-113,-113,53.1,50.0,59.1,Home: 0.85x | Vol↑: 1.08x,False,2,0.98,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,No player news found,
Jalen Brunson,pra,36.5,38.4,5.2,5.9,82.0,OVER,42.6,38.4,67.0,33.0,HOT,24,fanduel,-122,-122,-104,55.0,51.9,60.8,B2B: 0.93x | Vol↑: 1.05x | HOT: 1.02x (65% TS),True,1,1.03,STABLE,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,PHI,25,HARD,26,21,NO_NEWS,,,No player news found,
Derrick White,assists,5.5,4.6,-16.5,5.9,73.0,UNDER,4.8,5.0,32.0,68.0,NEUTRAL,25,fanduel,-166,128,-166,62.4,58.7,68.3,Home: 0.93x | Rested: 1.03x,False,4,0.98,STABLE,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,MIA,15,NEUTRAL,30,1,NO_NEWS,,,No player news found,
Harrison Barnes,points,10.5,12.3,16.8,5.8,65.0,OVER,11.0,12.8,58.0,42.0,COLD,26,fanduel,-113,-113,-113,53.1,50.0,58.9,Home: 1.18x | B2B: 0.93x | COLD: 0.95x (51% TS),True,1,0.93,DOWN,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,ATL,8,GOOD,19,6,NO_NEWS,,,No player news found,
Tre Jones,assists,4.5,5.2,15.4,5.7,58.0,OVER,5.2,5.2,55.0,45.0,NEUTRAL,20,fanduel,100,100,-128,50.0,47.1,55.7,None,False,2,0.94,DOWN,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,No player news found,
Paul George,points,18.5,16.2,-12.3,5.4,51.0,UNDER,20.2,17.1,40.0,60.0,HOT,10,fanduel,-115,-111,-115,53.5,50.4,58.9,Home: 0.79x | Rested: 1.03x | Mins: 1.12x | Vol↓: 0.95x | HOT: 1.02x (64% TS),False,5,1.12,UP,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,NYK,23,HARD,21,26,NO_NEWS,,,No player news found,
Josh Giddey,points,18.5,18.8,1.8,5.1,76.0,OVER,17.4,20.2,62.0,38.0,COLD,24,fanduel,-102,-102,-125,50.5,47.6,55.6,None,False,2,0.95,STABLE,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,No player news found,
Neemias Queta,rebounds,9.5,9.0,-4.9,5.1,72.0,UNDER,7.6,8.2,33.0,67.0,COLD,24,fanduel,-128,100,-128,56.1,52.9,61.3,Rested: 1.03x | Mins: 1.14x,False,4,1.14,UP,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,MIA,15,NEUTRAL,30,1,NO_NEWS,,,No player news found,
Karl-Anthony Towns,threes,1.5,2.7,78.8,5.1,53.0,OVER,2.4,1.9,50.0,50.0,HOT,24,fanduel,-130,-130,102,56.5,53.3,61.7,Home: 1.23x | Rested: 1.03x | Vol↓: 0.96x | HOT: 1.05x (71% TS),False,6,0.98,STABLE,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,PHI,25,HARD,26,21,NO_NEWS,,,No player news found,
Jordan Clarkson,pra,14.5,12.9,-10.7,4.9,66.0,UNDER,13.4,13.5,42.0,58.0,NEUTRAL,26,fanduel,-106,-120,-106,51.5,48.5,56.3,B2B: 0.93x | Mins: 1.15x | Vol↓: 0.92x | COLD: 0.98x (49% TS),True,1,1.15,UP,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,PHI,25,HARD,26,21,NO_NEWS,,,No player news found,
Mikal Bridges,assists,3.5,3.8,8.8,4.8,72.0,OVER,4.4,4.2,62.0,38.0,NEUTRAL,26,fanduel,-118,-118,-108,54.1,51.0,58.9,B2B: 0.93x,True,1,0.98,STABLE,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,PHI,25,HARD,26,21,NO_NEWS,,,,
Dean Wade,rebounds,5.5,5.4,-2.6,4.8,69.0,UNDER,5.4,3.9,27.0,73.0,HOT,26,fanduel,-160,124,-160,61.5,58.0,66.3,Home: 1.07x | Mins: 1.10x,False,2,1.1,UP,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CHI,4,SMASH,13,2,NO_NEWS,,,No player news found,
