player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,news_status,news_adjustment,news_flags,news_notes,news_sources
Malik Monk,points,14.5,16.6,14.4,6.1,63.0,OVER,12.4,13.0,61.0,39.0,NEUTRAL,23,fanduel,-118,-118,-108,54.1,51.0,60.3,Home: 1.24x | Rested: 1.03x,False,4,0.94,DOWN,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,POR,5,SMASH,13,4,NO_NEWS,,,No player news found,
Ausar Thompson,rebounds,6.5,6.3,-3.1,6.0,66.0,UNDER,5.6,6.0,41.0,59.0,COLD,22,fanduel,118,-158,118,45.9,42.8,51.9,Home: 1.18x | Rested: 1.03x | Mins: 0.89x,False,3,0.89,DOWN,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,No player news found,
Quinten Post,points,8.5,14.9,75.2,6.0,54.0,OVER,13.6,7.8,48.0,52.0,HOT,27,fanduel,-113,-113,-113,53.1,50.0,59.1,Home: 1.13x | Rested: 1.03x | Mins: 1.15x,False,4,1.48,UP,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Jerami Grant,threes,2.5,3.8,51.0,5.9,58.0,OVER,3.4,2.5,48.0,52.0,HOT,25,fanduel,-113,-113,-113,53.1,50.0,59.0,Home: 1.21x | Rested: 1.03x,False,4,1.1,UP,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,SAC,7,GOOD,4,13,NO_NEWS,,,No player news found,
Moses Moody,threes,1.5,1.9,28.3,5.5,52.0,OVER,1.8,2.4,56.0,44.0,COLD,25,fanduel,-142,-142,112,58.7,55.4,64.2,Home: 1.10x | Rested: 1.03x | Mins: 0.87x,False,4,0.87,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Moses Moody,points,9.5,10.8,13.4,5.3,60.0,OVER,11.4,11.6,56.0,44.0,NEUTRAL,25,fanduel,-102,-102,-125,50.5,47.6,55.8,Home: 1.07x | Rested: 1.03x | Mins: 0.87x,False,4,0.87,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Jalen Duren,points,15.5,16.9,9.0,5.2,71.0,OVER,12.4,18.0,65.0,35.0,COLD,23,fanduel,-130,-130,-102,56.5,52.8,61.7,Home: 1.12x | Rested: 1.03x,False,3,0.96,STABLE,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,No player news found,
Toumani Camara,pra,21.5,18.1,-15.9,5.0,74.0,UNDER,18.2,20.3,46.0,54.0,COLD,26,fanduel,-102,-125,-102,50.5,47.6,55.5,Rested: 1.03x | Mins: 0.88x,False,4,0.88,DOWN,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,SAC,7,GOOD,4,13,NO_NEWS,,,No player news found,
Collin Gillespie,assists,5.5,4.9,-10.1,5.0,70.0,UNDER,4.2,4.8,31.0,69.0,COLD,26,fanduel,-162,126,-162,61.8,58.3,66.8,Home: 0.94x | Rested: 1.03x | Mins: 1.15x,False,4,1.16,UP,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,No player news found,
Jerami Grant,rebounds,3.5,5.1,44.3,5.0,66.0,OVER,5.2,3.8,48.0,52.0,HOT,25,fanduel,-122,-122,-104,55.0,51.9,59.9,Home: 1.07x | Rested: 1.03x,False,4,1.1,UP,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,SAC,7,GOOD,4,13,NO_NEWS,,,No player news found,
Jamal Murray,rebounds,3.5,4.7,35.6,5.0,64.0,OVER,4.0,4.4,54.0,46.0,COLD,24,fanduel,-154,-154,120,60.6,57.2,65.7,Home: 1.17x | Rested: 1.03x,False,3,1.02,STABLE,Orlando Magic @ Denver Nuggets,Denver Nuggets,Orlando Magic,ORL,19,NEUTRAL,23,11,NO_NEWS,,,,
Cade Cunningham,rebounds,6.5,5.8,-10.9,4.9,65.0,UNDER,4.4,6.0,39.0,61.0,COLD,23,fanduel,-118,-112,-118,54.1,50.6,59.0,Rested: 1.03x,False,3,0.9,DOWN,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,,
Tobias Harris,rebounds,5.5,4.8,-13.5,4.6,60.0,UNDER,5.2,5.1,38.0,62.0,NEUTRAL,16,fanduel,-136,102,-136,57.6,53.8,62.2,Home: 0.94x | Rested: 1.03x,False,3,0.95,DOWN,Detroit Pistons @ Dallas Mavericks,Dallas Mavericks,Detroit Pistons,DAL,16,NEUTRAL,16,14,NO_NEWS,,,No player news found,
Buddy Hield,threes,1.5,1.8,22.1,4.6,45.0,OVER,2.0,1.5,48.0,52.0,HOT,27,fanduel,102,102,-130,49.5,46.7,54.1,Home: 0.86x | Rested: 1.03x | Mins: 1.15x,False,4,1.16,UP,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Devin Booker,points,25.5,20.6,-19.0,4.6,72.0,UNDER,20.4,25.1,48.0,52.0,COLD,23,fanduel,-106,-120,-106,51.5,48.5,56.1,Rested: 1.03x | Mins: 0.89x,False,4,0.89,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,No player news found,
Jimmy Butler,assists,4.5,5.8,29.4,4.4,65.0,OVER,5.2,5.0,57.0,43.0,NEUTRAL,23,fanduel,-162,-162,126,61.8,58.3,66.2,Home: 1.06x | Rested: 1.03x,False,4,0.98,STABLE,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,PHX,17,NEUTRAL,18,20,NO_NEWS,,,No player news found,
Dennis Schroder,assists,4.5,4.9,8.5,4.3,63.0,OVER,5.6,5.8,63.0,37.0,NEUTRAL,19,fanduel,-130,-130,102,56.5,53.3,60.8,Rested: 1.03x | Mins: 0.86x,False,4,0.86,DOWN,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,POR,5,SMASH,13,4,NO_NEWS,,,No player news found,
Russell Westbrook,points,15.5,14.2,-8.1,4.2,70.0,UNDER,14.6,13.8,38.0,62.0,HOT,26,fanduel,-122,-104,-122,55.0,51.9,59.1,Rested: 1.03x,False,4,1.08,UP,Sacramento Kings @ Portland Trail Blazers,Portland Trail Blazers,Sacramento Kings,POR,5,SMASH,13,4,NO_NEWS,,,No player news found,
Royce O'Neale,assists,2.5,2.5,-1.0,4.2,56.0,UNDER,4.0,2.8,38.0,62.0,HOT,26,fanduel,-104,-122,-104,51.0,48.1,55.1,Home: 0.73x | Rested: 1.03x,False,4,0.92,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,No player news found,
Royce O'Neale,rebounds,5.5,4.8,-12.9,4.1,72.0,UNDER,5.2,5.3,38.0,62.0,NEUTRAL,26,fanduel,-136,106,-136,57.6,54.3,61.8,Home: 0.88x | Rested: 1.03x,False,4,0.92,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,,
Dillon Brooks,assists,1.5,1.0,-34.0,4.1,45.0,UNDER,1.8,1.8,60.0,40.0,NEUTRAL,20,fanduel,104,-132,104,49.0,46.3,53.1,Home: 0.57x | Rested: 1.03x,False,4,0.95,DOWN,Golden State Warriors @ Phoenix Suns,Phoenix Suns,Golden State Warriors,GSW,28,TOUGH,20,18,NO_NEWS,,,,
