player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,implied_prob,our_prob,adjustments,is_b2b,minutes_factor
Justin Champagnie,rebounds,8.5,7.0,-17.7,62.7,61.0,UNDER,5.8,3.8,5.0,95.0,HOT,20,bovada,210,32.3,95.0,Home: 1.24x | Rested: 1.03x | Mins: 1.15x,False,1.55
Kon Knueppel,assists,5.5,4.0,-28.0,62.7,69.0,UNDER,4.6,3.2,12.0,88.0,HOT,24,bovada,210,32.3,95.0,Home: 0.95x | Rested: 1.03x,False,1.02
Jusuf Nurkic,rebounds,11.5,9.0,-21.5,62.2,78.0,UNDER,8.0,9.2,14.0,86.0,COLD,22,bovada,205,32.8,95.0,Rested: 1.03x,False,0.91
Santi Aldama,rebounds,8.5,6.1,-28.7,61.7,80.0,UNDER,5.8,6.5,17.0,83.0,COLD,24,bovada,200,33.3,95.0,Rested: 1.03x,False,0.93
Marvin Bagley III,points,14.5,11.4,-21.3,61.7,66.0,UNDER,11.8,8.5,6.0,94.0,HOT,18,bovada,200,33.3,95.0,Rested: 1.03x | Mins: 1.15x,False,1.46
Carlton Carrington,points,12.5,8.8,-29.5,59.3,76.0,UNDER,8.4,7.0,5.0,95.0,HOT,22,bovada,180,35.7,95.0,Home: 1.11x | Rested: 1.03x,False,1.08
Ryan Kalkbrenner,points,11.5,8.2,-28.7,58.3,72.0,UNDER,8.2,9.0,23.0,77.0,COLD,22,bovada,200,33.3,91.6,Rested: 1.03x,False,0.97
Evan Mobley,points,23.5,20.9,-11.2,58.0,84.0,UNDER,19.6,18.9,12.0,88.0,NEUTRAL,24,bovada,185,35.1,93.1,Home: 1.05x | Rested: 1.03x,False,0.99
Jusuf Nurkic,points,12.5,11.3,-9.8,57.9,74.0,UNDER,10.4,8.2,14.0,86.0,HOT,22,bovada,200,33.3,91.3,Home: 1.17x | Rested: 1.03x,False,0.91
Kyshawn George,points,19.5,13.6,-30.1,57.8,66.0,UNDER,11.0,15.2,25.0,75.0,COLD,20,bovada,210,32.3,90.0,Rested: 1.03x,False,0.99
Dean Wade,threes,1.5,0.6,-57.2,57.3,54.0,UNDER,1.0,1.0,26.0,74.0,NEUTRAL,23,bovada,165,37.7,95.0,Home: 0.64x | Rested: 1.03x,False,0.99
Marvin Bagley III,rebounds,7.5,6.6,-11.7,57.0,70.0,UNDER,6.4,4.8,11.0,89.0,HOT,18,bovada,165,37.7,94.7,Rested: 1.03x | Mins: 1.15x,False,1.46
Onyeka Okongwu,threes,2.5,1.7,-32.3,56.6,53.0,UNDER,1.2,1.8,25.0,75.0,COLD,24,bovada,190,34.5,91.1,Home: 0.87x | Rested: 1.03x | Mins: 1.15x,False,1.17
Marvin Bagley III,points,13.5,11.4,-15.4,55.8,64.0,UNDER,11.8,8.5,11.0,89.0,HOT,18,bovada,155,39.2,95.0,Rested: 1.03x | Mins: 1.15x,False,1.46
Cedric Coward,points,18.5,14.9,-19.3,55.5,76.0,UNDER,12.0,13.3,21.0,79.0,COLD,24,bovada,200,33.3,88.8,Home: 1.16x | Rested: 1.03x,False,1.04
Josh Giddey,threes,2.5,1.8,-26.2,54.8,62.0,UNDER,1.8,1.8,24.0,76.0,NEUTRAL,21,bovada,190,34.5,89.3,Home: 0.94x | Rested: 1.03x,False,1.02
Moussa Diabate,points,10.5,7.0,-33.4,53.5,71.0,UNDER,5.2,8.7,30.0,70.0,COLD,23,bovada,205,32.8,86.3,Rested: 1.03x,False,0.95
