player,prop_type,line,projection,raw_edge,avg_edge,confidence,grade,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,implied_prob,our_prob,adjustments,is_b2b,minutes_factor
Zaccharie Risacher,pra,13.5,16.7,23.7,17.0,74.0,58.2,OVER,13.0,15.4,74.0,26.0,COLD,23,bovada,-220,68.8,85.8,Home: 1.19x,False,0.98
Gary Trent Jr,threes,2.5,2.1,-16.2,28.3,64.0,58.1,UNDER,1.8,2.2,38.0,62.0,COLD,26,fanduel,142,41.3,69.6,Rested: 1.03x,False,0.96
Joel Embiid,points,26.5,25.7,-3.0,37.1,57.0,57.7,UNDER,22.8,20.3,20.0,80.0,HOT,10,bovada,125,44.4,81.5,Home: 1.08x | Mins: 1.11x,False,1.11
Ryan Rollins,rebounds,4.5,4.2,-6.6,12.1,67.0,57.5,UNDER,4.0,4.1,46.0,54.0,NEUTRAL,26,draftkings,122,45.0,57.1,Rested: 1.03x,False,0.96
Ryan Rollins,points,19.5,17.0,-12.9,24.5,72.0,56.5,UNDER,14.4,17.2,38.0,62.0,COLD,26,bovada,130,43.5,68.0,Home: 1.06x | Rested: 1.03x,False,0.96
Dyson Daniels,rebounds,6.5,6.0,-8.4,8.7,70.0,56.0,UNDER,5.4,6.3,50.0,50.0,COLD,26,betrivers,120,45.5,54.2,,False,1.03
Jalen Johnson,points,20.5,28.4,38.6,18.9,78.0,55.6,OVER,28.0,23.2,74.0,26.0,HOT,23,bovada,-290,74.4,93.2,Mins: 1.10x,False,1.1
Ryan Rollins,threes,2.5,1.9,-23.0,27.5,60.0,55.2,UNDER,1.8,2.3,42.0,58.0,COLD,26,betmgm,140,41.7,69.2,Home: 0.94x | Rested: 1.03x,False,0.96
Zaccharie Risacher,pra,14.5,16.7,15.2,14.2,73.0,55.2,OVER,13.0,15.4,70.0,30.0,COLD,23,bovada,-170,63.0,77.2,Home: 1.19x,False,0.98
Noah Clowney,threes,1.5,3.4,127.0,28.9,57.0,54.3,OVER,2.8,2.2,67.0,33.0,HOT,24,betrivers,-195,66.1,95.0,Home: 1.11x | Mins: 1.14x,False,1.14
Jalen Johnson,rebounds,10.5,12.1,15.2,6.7,69.0,53.6,OVER,13.6,10.5,48.0,52.0,HOT,23,betmgm,105,48.8,55.4,Home: 0.90x | Mins: 1.10x,False,1.1
Bobby Portis,rebounds,6.5,6.3,-3.0,3.7,72.0,53.4,UNDER,6.8,5.8,38.0,62.0,HOT,26,draftkings,-146,59.3,63.1,Rested: 1.03x,False,1.06
De'Andre Hunter,points,13.5,13.3,-1.3,-26.2,63.0,52.8,UNDER,11.0,15.9,59.0,41.0,COLD,22,bovada,-210,67.7,41.5,,False,0.97
Ryan Rollins,assists,5.5,6.7,22.1,4.4,70.0,52.5,OVER,6.6,6.0,54.0,46.0,HOT,26,draftkings,-153,60.5,64.9,Rested: 1.03x,False,0.96
Noah Clowney,points,12.5,21.6,73.0,28.0,59.0,52.3,OVER,17.6,13.2,50.0,50.0,HOT,24,betrivers,-141,58.5,86.5,Home: 1.14x | Mins: 1.14x,False,1.14
De'Andre Hunter,assists,1.5,1.7,14.0,12.0,59.0,51.7,OVER,1.6,2.4,68.0,32.0,COLD,22,fanduel,-172,63.2,75.2,Home: 0.94x,False,0.97
Dyson Daniels,assists,4.5,5.6,24.6,4.4,69.0,51.5,OVER,4.6,5.7,65.0,35.0,COLD,26,bovada,-275,73.3,77.7,Home: 1.06x,False,1.03
