player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,implied_prob,our_prob,adjustments,is_b2b,minutes_factor
Harrison Barnes,points,9.5,19.3,103.0,37.2,69.0,OVER,17.8,13.5,71.0,29.0,HOT,24,betrivers,-137,57.8,95.0,Home: 1.21x | Rested: 1.03x,False,1.06
Jarrett Allen,rebounds,9.5,7.4,-22.4,36.9,65.0,UNDER,7.0,7.6,27.0,73.0,COLD,15,fanduel,110,47.6,84.5,Rested: 1.03x,False,0.98
Nickeil Alexander-Walker,assists,3.5,1.8,-48.0,36.8,66.0,UNDER,1.8,3.3,46.0,54.0,COLD,24,fanduel,142,41.3,78.1,Home: 0.78x | B2B: 0.93x,True,1.0
Luguentz Dort,assists,0.5,1.0,93.7,36.7,42.0,OVER,0.8,1.1,75.0,25.0,COLD,16,betmgm,-140,58.3,95.0,Home: 1.11x | Rested: 1.03x,False,0.92
Onyeka Okongwu,pra,29.5,22.6,-23.5,36.7,83.0,UNDER,25.6,26.2,24.0,76.0,NEUTRAL,25,fanduel,-104,51.0,87.7,Home: 0.93x | B2B: 0.93x,True,1.06
Devin Vassell,assists,1.5,2.9,93.6,36.2,60.0,OVER,2.8,2.5,67.0,33.0,HOT,24,betonlineag,-143,58.8,95.0,Home: 1.09x | Rested: 1.03x,False,0.91
Isaiah Hartenstein,assists,2.5,3.9,54.9,36.1,56.0,OVER,4.2,3.4,63.0,37.0,HOT,19,betmgm,-120,54.5,90.6,Rested: 1.03x,False,0.92
Ajay Mitchell,assists,2.5,3.2,29.4,35.5,66.0,OVER,3.6,3.6,68.0,32.0,NEUTRAL,25,fanduel,112,47.2,82.7,Home: 0.87x | Rested: 1.03x,False,1.0
Stephon Castle,rebounds,4.5,5.3,18.6,35.3,68.0,OVER,6.8,6.1,87.0,13.0,HOT,15,fanduel,-148,59.7,95.0,Home: 0.95x | Rested: 1.03x | Mins: 0.86x,False,0.86
Harrison Barnes,threes,2.5,3.7,48.2,34.9,53.0,OVER,3.4,2.5,46.0,54.0,HOT,24,bovada,185,35.1,69.9,Home: 1.29x | Rested: 1.03x,False,1.06
Marvin Bagley III,rebounds,7.5,7.3,-2.0,34.7,67.0,UNDER,7.6,5.3,16.0,84.0,HOT,19,draftkings,-102,50.5,85.2,Home: 1.06x | B2B: 0.93x | Mins: 1.15x,True,1.42
Quentin Grimes,assists,4.5,3.3,-27.0,34.4,68.0,UNDER,4.4,4.3,26.0,74.0,NEUTRAL,23,draftkings,-113,53.1,87.4,Home: 0.81x | B2B: 0.93x,True,1.09
Jay Huff,rebounds,5.5,4.5,-18.6,34.3,63.0,UNDER,3.8,3.7,24.0,76.0,NEUTRAL,25,draftkings,-104,51.0,85.3,B2B: 0.93x | Mins: 1.15x,True,1.37
Alex Caruso,assists,1.5,2.2,47.4,34.2,56.0,OVER,2.0,2.4,75.0,25.0,COLD,16,betmgm,-155,60.8,95.0,Rested: 1.03x,False,0.98
Luke Kornet,points,4.5,5.6,23.9,34.1,58.0,OVER,6.2,7.7,75.0,25.0,COLD,16,draftkings,-112,52.8,87.0,Home: 0.82x | Rested: 1.03x,False,1.09
Lonzo Ball,rebounds,3.5,5.4,54.1,33.8,66.0,OVER,5.6,4.5,68.0,32.0,HOT,19,draftkings,-158,61.2,95.0,Home: 1.12x | B2B: 0.93x,True,1.03
Harrison Barnes,threes,1.5,3.7,147.0,33.2,57.0,OVER,3.4,2.5,58.0,42.0,HOT,24,fanduel,-162,61.8,95.0,Home: 1.29x | Rested: 1.03x,False,1.06
C.J. McCollum,threes,2.5,4.4,76.7,33.1,51.0,OVER,3.4,3.0,52.0,48.0,HOT,23,betonlineag,-135,57.4,90.5,Home: 1.42x | B2B: 0.93x,True,1.08
Kon Knueppel,assists,4.5,4.3,-3.8,32.9,67.0,UNDER,5.6,3.5,20.0,80.0,HOT,25,fanduel,104,49.0,81.9,B2B: 0.93x,True,1.02
De'Aaron Fox,pra,25.5,35.5,39.2,32.0,77.0,OVER,33.8,34.1,88.0,12.0,NEUTRAL,16,bovada,-170,63.0,95.0,Rested: 1.03x,False,0.94
VJ Edgecombe,assists,4.5,3.6,-20.5,31.9,68.0,UNDER,4.0,4.0,33.0,67.0,NEUTRAL,21,fanduel,122,45.0,76.9,Home: 1.14x | B2B: 0.93x | Mins: 0.86x,True,0.86
Alex Caruso,rebounds,1.5,3.0,98.3,31.8,52.0,OVER,2.4,2.3,75.0,25.0,NEUTRAL,16,fanduel,-172,63.2,95.0,Home: 1.18x | Rested: 1.03x,False,0.98
Jaylon Tyson,threes,1.5,2.4,62.4,31.7,58.0,OVER,1.8,2.1,62.0,38.0,COLD,21,williamhill_us,-159,61.4,93.1,Home: 1.17x | B2B: 0.93x | Mins: 1.15x,True,1.16
Ajay Mitchell,threes,0.5,1.3,155.2,31.4,53.0,OVER,1.2,1.1,64.0,36.0,HOT,25,betmgm,-175,63.6,95.0,Home: 1.12x | Rested: 1.03x,False,1.0
VJ Edgecombe,points,15.5,10.7,-30.7,31.3,67.0,UNDER,13.6,14.7,33.0,67.0,COLD,21,draftkings,-103,50.7,82.0,B2B: 0.93x | Mins: 0.86x,True,0.86
