player,prop_type,line,odds,sample_size,recent_avg,recent_median,recent_std,hit_rate_over,hit_rate_under,last_5_trend,last_5_avg,model_predictions,recommended_side,avg_edge,confidence,bookmaker
Bam Adebayo,points,14.5,-106,15,19.1,18.0,7.28,86.7,13.3,↓,19.2,"{'weighted': {'projection': np.float64(21.1), 'confidence': np.float64(0.655), 'edge': np.float64(0.4572), 'side': 'over'}, 'ensemble': {'projection': np.float64(19.6), 'confidence': np.float64(0.614), 'edge': np.float64(0.3483), 'side': 'over'}}",over,40.28,0.63,fanduel
Bam Adebayo,points,15.5,-105,15,19.1,18.0,7.28,80.0,20.0,↓,19.2,"{'weighted': {'projection': np.float64(21.1), 'confidence': np.float64(0.655), 'edge': np.float64(0.3632), 'side': 'over'}, 'ensemble': {'projection': np.float64(19.6), 'confidence': np.float64(0.614), 'edge': np.float64(0.2613), 'side': 'over'}}",over,31.22,0.63,draftkings
Bam Adebayo,pra,25.5,-120,15,30.4,30.0,10.48,80.0,20.0,↓,32.0,"{'weighted': {'projection': np.float64(31.6), 'confidence': np.float64(0.674), 'edge': np.float64(0.24), 'side': 'over'}, 'ensemble': {'projection': np.float64(30.8), 'confidence': np.float64(0.656), 'edge': np.float64(0.2078), 'side': 'over'}}",over,22.39,0.66,draftkings
Brandon Ingram,assists,3.5,-160,15,3.5,4.0,1.73,53.3,46.7,↓,3.8,"{'weighted': {'projection': np.float64(3.6), 'confidence': np.float64(0.551), 'edge': np.float64(0.0343), 'side': 'over'}, 'ensemble': {'projection': np.float64(3.8), 'confidence': np.float64(0.562), 'edge': np.float64(0.0857), 'side': 'over'}}",over,6.0,0.56,bovada
Brandon Ingram,assists,4.5,145,15,3.5,4.0,1.73,20.0,80.0,↓,3.8,"{'weighted': {'projection': np.float64(3.6), 'confidence': np.float64(0.551), 'edge': np.float64(-0.1956), 'side': 'under'}, 'ensemble': {'projection': np.float64(3.8), 'confidence': np.float64(0.562), 'edge': np.float64(-0.1556), 'side': 'under'}}",under,-17.56,0.56,betmgm
Brandon Ingram,points,20.5,-260,15,21.3,22.0,7.67,60.0,40.0,↑,18.4,"{'weighted': {'projection': np.float64(21.3), 'confidence': np.float64(0.679), 'edge': np.float64(0.04), 'side': 'over'}, 'ensemble': {'projection': np.float64(22.2), 'confidence': np.float64(0.683), 'edge': np.float64(0.0805), 'side': 'over'}}",over,6.02,0.68,bovada
Brandon Ingram,points,23.5,-135,15,21.3,22.0,7.67,40.0,60.0,↑,18.4,"{'weighted': {'projection': np.float64(21.3), 'confidence': np.float64(0.679), 'edge': np.float64(-0.0928), 'side': 'under'}, 'ensemble': {'projection': np.float64(22.2), 'confidence': np.float64(0.683), 'edge': np.float64(-0.0574), 'side': 'under'}}",under,-7.51,0.68,bovada
Brandon Ingram,points,24.5,-108,15,21.3,22.0,7.67,33.3,66.7,↑,18.4,"{'weighted': {'projection': np.float64(21.3), 'confidence': np.float64(0.679), 'edge': np.float64(-0.1298), 'side': 'under'}, 'ensemble': {'projection': np.float64(22.2), 'confidence': np.float64(0.683), 'edge': np.float64(-0.0959), 'side': 'under'}}",under,-11.28,0.68,betrivers
Brandon Ingram,points,25.5,114,15,21.3,22.0,7.67,26.7,73.3,↑,18.4,"{'weighted': {'projection': np.float64(21.3), 'confidence': np.float64(0.679), 'edge': np.float64(-0.1639), 'side': 'under'}, 'ensemble': {'projection': np.float64(22.2), 'confidence': np.float64(0.683), 'edge': np.float64(-0.1314), 'side': 'under'}}",under,-14.76,0.68,betrivers
Brandon Ingram,points,26.5,135,15,21.3,22.0,7.67,20.0,80.0,↑,18.4,"{'weighted': {'projection': np.float64(21.3), 'confidence': np.float64(0.679), 'edge': np.float64(-0.1955), 'side': 'under'}, 'ensemble': {'projection': np.float64(22.2), 'confidence': np.float64(0.683), 'edge': np.float64(-0.1642), 'side': 'under'}}",under,-17.98,0.68,bovada
Brandon Ingram,points,27.5,165,15,21.3,22.0,7.67,13.3,86.7,↑,18.4,"{'weighted': {'projection': np.float64(21.3), 'confidence': np.float64(0.679), 'edge': np.float64(-0.2247), 'side': 'under'}, 'ensemble': {'projection': np.float64(22.2), 'confidence': np.float64(0.683), 'edge': np.float64(-0.1945), 'side': 'under'}}",under,-20.96,0.68,bovada
Brandon Ingram,points,28.5,200,15,21.3,22.0,7.67,13.3,86.7,↑,18.4,"{'weighted': {'projection': np.float64(21.3), 'confidence': np.float64(0.679), 'edge': np.float64(-0.2519), 'side': 'under'}, 'ensemble': {'projection': np.float64(22.2), 'confidence': np.float64(0.683), 'edge': np.float64(-0.2228), 'side': 'under'}}",under,-23.74,0.68,bovada
Brandon Ingram,pra,32.5,-145,15,30.3,32.0,7.93,46.7,53.3,↑,27.6,"{'weighted': {'projection': np.float64(30.1), 'confidence': np.float64(0.759), 'edge': np.float64(-0.0745), 'side': 'under'}, 'ensemble': {'projection': np.float64(31.6), 'confidence': np.float64(0.764), 'edge': np.float64(-0.0292), 'side': 'pass'}}",under,-5.18,0.76,bovada
Brandon Ingram,pra,33.5,-120,15,30.3,32.0,7.93,46.7,53.3,↑,27.6,"{'weighted': {'projection': np.float64(30.1), 'confidence': np.float64(0.759), 'edge': np.float64(-0.1021), 'side': 'under'}, 'ensemble': {'projection': np.float64(31.6), 'confidence': np.float64(0.764), 'edge': np.float64(-0.0582), 'side': 'under'}}",under,-8.02,0.76,bovada
Brandon Ingram,pra,34.5,100,15,30.3,32.0,7.93,26.7,73.3,↑,27.6,"{'weighted': {'projection': np.float64(30.1), 'confidence': np.float64(0.759), 'edge': np.float64(-0.1281), 'side': 'under'}, 'ensemble': {'projection': np.float64(31.6), 'confidence': np.float64(0.764), 'edge': np.float64(-0.0855), 'side': 'under'}}",under,-10.68,0.76,bovada
Brandon Ingram,pra,35.5,116,15,30.3,32.0,7.93,26.7,73.3,↑,27.6,"{'weighted': {'projection': np.float64(30.1), 'confidence': np.float64(0.759), 'edge': np.float64(-0.1527), 'side': 'under'}, 'ensemble': {'projection': np.float64(31.6), 'confidence': np.float64(0.764), 'edge': np.float64(-0.1113), 'side': 'under'}}",under,-13.2,0.76,betrivers
Brandon Ingram,rebounds,4.5,-185,15,5.5,6.0,2.45,80.0,20.0,↓,5.4,"{'weighted': {'projection': np.float64(5.1), 'confidence': np.float64(0.581), 'edge': np.float64(0.1422), 'side': 'over'}, 'ensemble': {'projection': np.float64(5.6), 'confidence': np.float64(0.601), 'edge': np.float64(0.2333), 'side': 'over'}}",over,18.77,0.59,bovada
Brandon Ingram,rebounds,6.5,190,15,5.5,6.0,2.45,33.3,66.7,↓,5.4,"{'weighted': {'projection': np.float64(5.1), 'confidence': np.float64(0.581), 'edge': np.float64(-0.2092), 'side': 'under'}, 'ensemble': {'projection': np.float64(5.6), 'confidence': np.float64(0.601), 'edge': np.float64(-0.1462), 'side': 'under'}}",under,-17.77,0.59,bovada
Cason Wallace,assists,2.5,155,15,2.1,2.0,1.39,33.3,66.7,↑,2.6,"{'weighted': {'projection': np.float64(1.9), 'confidence': np.float64(0.332), 'edge': np.float64(-0.252), 'side': 'under'}, 'ensemble': {'projection': np.float64(1.7), 'confidence': np.float64(0.227), 'edge': np.float64(-0.32), 'side': 'under'}}",under,-28.6,0.28,betonlineag
Cason Wallace,points,7.5,-114,15,8.2,7.0,3.76,46.7,53.3,↓,7.6,"{'weighted': {'projection': np.float64(8.5), 'confidence': np.float64(0.617), 'edge': np.float64(0.1347), 'side': 'over'}, 'ensemble': {'projection': np.float64(8.2), 'confidence': np.float64(0.593), 'edge': np.float64(0.1), 'side': 'over'}}",over,11.74,0.6,fanduel
Cason Wallace,pra,13.5,103,15,12.8,12.0,4.13,40.0,60.0,↓,14.0,"{'weighted': {'projection': np.float64(12.3), 'confidence': np.float64(0.691), 'edge': np.float64(-0.0867), 'side': 'under'}, 'ensemble': {'projection': np.float64(12.2), 'confidence': np.float64(0.678), 'edge': np.float64(-0.1), 'side': 'under'}}",under,-9.34,0.68,betonlineag
Cason Wallace,rebounds,3.5,134,15,2.5,2.0,1.51,26.7,73.3,↓,3.8,"{'weighted': {'projection': np.float64(1.9), 'confidence': np.float64(0.465), 'edge': np.float64(-0.4429), 'side': 'under'}, 'ensemble': {'projection': np.float64(2.0), 'confidence': np.float64(0.458), 'edge': np.float64(-0.4429), 'side': 'under'}}",under,-44.29,0.46,draftkings
Chet Holmgren,assists,1.5,-149,15,1.6,1.0,0.99,46.7,53.3,↓,1.4,"{'weighted': {'projection': np.float64(1.5), 'confidence': np.float64(0.339), 'edge': np.float64(0.0133), 'side': 'pass'}, 'ensemble': {'projection': np.float64(1.8), 'confidence': np.float64(0.404), 'edge': np.float64(0.1667), 'side': 'over'}}",over,9.0,0.37,betonlineag
Chet Holmgren,points,18.5,-103,15,17.9,21.0,6.63,60.0,40.0,↑,20.6,"{'weighted': {'projection': np.float64(17.4), 'confidence': np.float64(0.595), 'edge': np.float64(-0.0568), 'side': 'under'}, 'ensemble': {'projection': np.float64(17.0), 'confidence': np.float64(0.572), 'edge': np.float64(-0.0838), 'side': 'under'}}",under,-7.03,0.58,draftkings
Chet Holmgren,pra,28.5,-115,15,27.1,29.0,7.52,60.0,40.0,↑,30.4,"{'weighted': {'projection': np.float64(26.3), 'confidence': np.float64(0.695), 'edge': np.float64(-0.0782), 'side': 'under'}, 'ensemble': {'projection': np.float64(26.2), 'confidence': np.float64(0.685), 'edge': np.float64(-0.0825), 'side': 'under'}}",under,-8.04,0.69,betonlineag
Chet Holmgren,rebounds,8.5,-110,15,7.7,8.0,2.16,40.0,60.0,↑,8.4,"{'weighted': {'projection': np.float64(7.3), 'confidence': np.float64(0.664), 'edge': np.float64(-0.1412), 'side': 'under'}, 'ensemble': {'projection': np.float64(7.4), 'confidence': np.float64(0.66), 'edge': np.float64(-0.1294), 'side': 'under'}}",under,-13.53,0.66,draftkings
Collin Murray-Boyles,assists,1.5,-110,15,1.1,1.0,0.74,20.0,80.0,↓,1.6,"{'weighted': {'projection': np.float64(0.8), 'confidence': np.float64(0.327), 'edge': np.float64(-0.4667), 'side': 'under'}, 'ensemble': {'projection': np.float64(0.9), 'confidence': np.float64(0.38), 'edge': np.float64(-0.4), 'side': 'under'}}",under,-43.34,0.35,betmgm
Collin Murray-Boyles,points,5.5,-132,15,5.8,4.0,4.51,46.7,53.3,↓,8.0,"{'weighted': {'projection': np.float64(5.5), 'confidence': np.float64(0.285), 'edge': np.float64(-0.0018), 'side': 'pass'}, 'ensemble': {'projection': np.float64(4.5), 'confidence': np.float64(0.142), 'edge': np.float64(-0.1818), 'side': 'under'}}",under,-9.18,0.21,fanduel
Collin Murray-Boyles,points,6.5,-103,15,5.8,4.0,4.51,46.7,53.3,↓,8.0,"{'weighted': {'projection': np.float64(5.5), 'confidence': np.float64(0.285), 'edge': np.float64(-0.1554), 'side': 'under'}, 'ensemble': {'projection': np.float64(4.5), 'confidence': np.float64(0.142), 'edge': np.float64(-0.3077), 'side': 'under'}}",under,-23.15,0.21,draftkings
Collin Murray-Boyles,pra,11.5,110,15,9.9,8.0,6.4,40.0,60.0,↓,13.2,"{'weighted': {'projection': np.float64(9.3), 'confidence': np.float64(0.413), 'edge': np.float64(-0.1887), 'side': 'under'}, 'ensemble': {'projection': np.float64(8.2), 'confidence': np.float64(0.294), 'edge': np.float64(-0.2913), 'side': 'under'}}",under,-24.0,0.35,betmgm
Collin Murray-Boyles,rebounds,3.5,124,15,3.0,2.0,2.17,40.0,60.0,↓,3.6,"{'weighted': {'projection': np.float64(3.0), 'confidence': np.float64(0.375), 'edge': np.float64(-0.1314), 'side': 'under'}, 'ensemble': {'projection': np.float64(2.5), 'confidence': np.float64(0.188), 'edge': np.float64(-0.2857), 'side': 'under'}}",under,-20.86,0.28,fanduel
Davion Mitchell,assists,8.5,-122,15,7.7,8.0,2.74,40.0,60.0,↓,9.4,"{'weighted': {'projection': np.float64(6.8), 'confidence': np.float64(0.606), 'edge': np.float64(-0.2047), 'side': 'under'}, 'ensemble': {'projection': np.float64(6.4), 'confidence': np.float64(0.569), 'edge': np.float64(-0.2471), 'side': 'under'}}",under,-22.59,0.59,fanduel
Davion Mitchell,points,13.5,106,15,10.1,10.0,4.76,26.7,73.3,↑,7.8,"{'weighted': {'projection': np.float64(11.5), 'confidence': np.float64(0.656), 'edge': np.float64(-0.1504), 'side': 'under'}, 'ensemble': {'projection': np.float64(11.2), 'confidence': np.float64(0.639), 'edge': np.float64(-0.1667), 'side': 'under'}}",under,-15.86,0.65,fanduel
Davion Mitchell,pra,23.5,-130,15,20.7,21.0,5.49,26.7,73.3,↓,19.4,"{'weighted': {'projection': np.float64(21.3), 'confidence': np.float64(0.778), 'edge': np.float64(-0.0945), 'side': 'under'}, 'ensemble': {'projection': np.float64(21.4), 'confidence': np.float64(0.773), 'edge': np.float64(-0.0894), 'side': 'under'}}",under,-9.2,0.78,draftkings
Davion Mitchell,rebounds,1.5,140,15,2.8,3.0,1.97,73.3,26.7,↓,2.2,"{'weighted': {'projection': np.float64(3.0), 'confidence': np.float64(0.305), 'edge': np.float64(1.0333), 'side': 'over'}, 'ensemble': {'projection': np.float64(3.0), 'confidence': np.float64(0.28), 'edge': np.float64(1.0), 'side': 'over'}}",over,101.66,0.29,fanduel
De'Aaron Fox,assists,5.5,-124,15,6.5,5.0,3.09,46.7,53.3,↑,5.8,"{'weighted': {'projection': np.float64(6.1), 'confidence': np.float64(0.452), 'edge': np.float64(0.1055), 'side': 'over'}, 'ensemble': {'projection': np.float64(6.3), 'confidence': np.float64(0.456), 'edge': np.float64(0.1455), 'side': 'over'}}",over,12.55,0.45,draftkings
De'Aaron Fox,points,21.5,-102,15,24.3,25.0,6.45,73.3,26.7,↓,24.8,"{'weighted': {'projection': np.float64(22.7), 'confidence': np.float64(0.719), 'edge': np.float64(0.0563), 'side': 'over'}, 'ensemble': {'projection': np.float64(23.8), 'confidence': np.float64(0.725), 'edge': np.float64(0.1093), 'side': 'over'}}",over,8.28,0.72,fanduel
De'Aaron Fox,pra,30.5,-114,15,34.5,34.0,7.39,60.0,40.0,↓,34.6,"{'weighted': {'projection': np.float64(32.4), 'confidence': np.float64(0.762), 'edge': np.float64(0.0616), 'side': 'over'}, 'ensemble': {'projection': np.float64(32.2), 'confidence': np.float64(0.754), 'edge': np.float64(0.0557), 'side': 'over'}}",over,5.86,0.76,fanduel
De'Aaron Fox,rebounds,3.5,106,15,3.7,4.0,1.58,66.7,33.3,↓,4.0,"{'weighted': {'projection': np.float64(3.6), 'confidence': np.float64(0.531), 'edge': np.float64(0.0257), 'side': 'pass'}, 'ensemble': {'projection': np.float64(3.8), 'confidence': np.float64(0.544), 'edge': np.float64(0.0857), 'side': 'over'}}",over,5.57,0.54,fanduel
Deandre Ayton,points,13.5,-110,15,15.5,17.0,7.23,66.7,33.3,↓,14.2,"{'weighted': {'projection': np.float64(18.1), 'confidence': np.float64(0.579), 'edge': np.float64(0.3378), 'side': 'over'}, 'ensemble': {'projection': np.float64(18.3), 'confidence': np.float64(0.572), 'edge': np.float64(0.3556), 'side': 'over'}}",over,34.67,0.58,draftkings
Desmond Bane,assists,4.5,-180,15,4.9,5.0,1.68,66.7,33.3,↓,4.0,"{'weighted': {'projection': np.float64(5.6), 'confidence': np.float64(0.722), 'edge': np.float64(0.24), 'side': 'over'}, 'ensemble': {'projection': np.float64(5.3), 'confidence': np.float64(0.698), 'edge': np.float64(0.1778), 'side': 'over'}}",over,20.89,0.71,draftkings
Desmond Bane,points,22.5,-114,15,20.3,19.0,8.99,33.3,66.7,↓,21.8,"{'weighted': {'projection': np.float64(19.0), 'confidence': np.float64(0.724), 'edge': np.float64(-0.1547), 'side': 'under'}, 'ensemble': {'projection': np.float64(19.8), 'confidence': np.float64(0.727), 'edge': np.float64(-0.1222), 'side': 'under'}}",under,-13.85,0.73,fanduel
Desmond Bane,points,23.5,-120,15,20.3,19.0,8.99,26.7,73.3,↓,21.8,"{'weighted': {'projection': np.float64(19.0), 'confidence': np.float64(0.724), 'edge': np.float64(-0.1906), 'side': 'under'}, 'ensemble': {'projection': np.float64(19.8), 'confidence': np.float64(0.727), 'edge': np.float64(-0.1596), 'side': 'under'}}",under,-17.51,0.73,draftkings
Desmond Bane,pra,34.5,-115,15,29.7,27.0,10.15,26.7,73.3,↓,30.4,"{'weighted': {'projection': np.float64(29.3), 'confidence': np.float64(0.82), 'edge': np.float64(-0.1516), 'side': 'under'}, 'ensemble': {'projection': np.float64(29.4), 'confidence': np.float64(0.816), 'edge': np.float64(-0.1478), 'side': 'under'}}",under,-14.97,0.82,draftkings
Desmond Bane,rebounds,5.5,106,15,4.5,5.0,2.1,40.0,60.0,↑,4.6,"{'weighted': {'projection': np.float64(4.7), 'confidence': np.float64(0.679), 'edge': np.float64(-0.1509), 'side': 'under'}, 'ensemble': {'projection': np.float64(4.6), 'confidence': np.float64(0.664), 'edge': np.float64(-0.1636), 'side': 'under'}}",under,-15.72,0.67,fanduel
Devin Booker,assists,7.5,115,15,6.3,7.0,2.09,20.0,80.0,↓,5.4,"{'weighted': {'projection': np.float64(6.4), 'confidence': np.float64(0.667), 'edge': np.float64(-0.1453), 'side': 'under'}, 'ensemble': {'projection': np.float64(6.7), 'confidence': np.float64(0.673), 'edge': np.float64(-0.1067), 'side': 'under'}}",under,-12.6,0.67,betonlineag
Devin Booker,points,22.5,-122,15,22.7,21.0,6.68,46.7,53.3,↓,18.6,"{'weighted': {'projection': np.float64(26.4), 'confidence': np.float64(0.758), 'edge': np.float64(0.1716), 'side': 'over'}, 'ensemble': {'projection': np.float64(25.2), 'confidence': np.float64(0.738), 'edge': np.float64(0.12), 'side': 'over'}}",over,14.58,0.75,fanduel
Devin Booker,points,23.5,-102,15,22.7,21.0,6.68,46.7,53.3,↓,18.6,"{'weighted': {'projection': np.float64(26.4), 'confidence': np.float64(0.758), 'edge': np.float64(0.1217), 'side': 'over'}, 'ensemble': {'projection': np.float64(25.2), 'confidence': np.float64(0.738), 'edge': np.float64(0.0723), 'side': 'over'}}",over,9.7,0.75,betonlineag
Devin Booker,pra,33.5,-118,15,33.5,35.0,7.95,60.0,40.0,↓,28.8,"{'weighted': {'projection': np.float64(37.3), 'confidence': np.float64(0.818), 'edge': np.float64(0.1137), 'side': 'over'}, 'ensemble': {'projection': np.float64(36.9), 'confidence': np.float64(0.81), 'edge': np.float64(0.1015), 'side': 'over'}}",over,10.76,0.81,fanduel
Devin Booker,pra,34.5,-108,15,33.5,35.0,7.95,60.0,40.0,↓,28.8,"{'weighted': {'projection': np.float64(37.3), 'confidence': np.float64(0.818), 'edge': np.float64(0.0814), 'side': 'over'}, 'ensemble': {'projection': np.float64(36.9), 'confidence': np.float64(0.81), 'edge': np.float64(0.0696), 'side': 'over'}}",over,7.55,0.81,betonlineag
Devin Booker,rebounds,3.5,-130,15,4.5,4.0,2.61,53.3,46.7,↓,4.8,"{'weighted': {'projection': np.float64(4.5), 'confidence': np.float64(0.425), 'edge': np.float64(0.2971), 'side': 'over'}, 'ensemble': {'projection': np.float64(4.2), 'confidence': np.float64(0.368), 'edge': np.float64(0.2143), 'side': 'over'}}",over,25.57,0.4,betonlineag
