bin_lower,bin_upper,count,avg_prob,win_rate
0.0,0.1,0,,
0.1,0.2,4,0.16669850563176092,0.25
0.2,0.3,11,0.25183225062819087,0.2727272727272727
0.3,0.4,162,0.35586555888682886,0.5802469135802469
0.4,0.5,354,0.4548867017675001,0.5028248587570622
0.5,0.6,702,0.5445735865955169,0.5284900284900285
0.6,0.7,507,0.6451034183859934,0.6193293885601578
0.7,0.8,275,0.7394679377654352,0.6072727272727273
0.8,0.9,112,0.8438788477235963,0.5982142857142857
0.9,1.0,122,0.9414051653207527,0.6065573770491803
