prop_id,player_name,prop_type,line,odds,pick,edge,confidence,projection,probability,injury_status,injury_source,trend,avg_5,avg_10,avg_15,streak,hit_rate_10,samples_10,hit_rate_15,samples_15
edd43e3a6b6d2de3:assists:3.5:over,Derik Queen,assists,3.5,-150,OVER,0.2933,0.7865,5.08,0.8933,,,UP,5.8,4.8,5.266666666666667,1,0.7,10,0.7333,15
edd43e3a6b6d2de3:assists:3.5:under,Derik Queen,assists,3.5,115,PASS,-0.3584,0.7865,5.08,0.1067,,,UP,5.8,4.8,5.266666666666667,0,,0,,0
ed12b766ab682805:assists:3.5:over,Jordan Poole,assists,3.5,114,PASS,0.0327,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
ed12b766ab682805:assists:3.5:under,Jordan Poole,assists,3.5,-151,PASS,-0.1016,0.2,3.5,0.5,,,UNKNOWN,,,,0,,0,,0
7c0a71dba5efab2c:assists:2.5:over,P.J. Washington,assists,2.5,136,PASS,0.0763,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
7c0a71dba5efab2c:assists:2.5:under,P.J. Washington,assists,2.5,-181,PASS,-0.1441,0.2,2.5,0.5,,,UNKNOWN,,,,0,,0,,0
ed12b766ab682805:points:15.5:over,Jordan Poole,points,15.5,-104,PASS,-0.0098,0.2,15.5,0.5,,,UNKNOWN,,,,0,,0,,0
ed12b766ab682805:points:15.5:under,Jordan Poole,points,15.5,-122,PASS,-0.0495,0.2,15.5,0.5,,,UNKNOWN,,,,0,,0,,0
be195dd4a64cb831:points:19.5:over,Zion Williamson,points,19.5,-117,PASS,-0.0392,0.2,19.5,0.5,,,UNKNOWN,,,,0,,0,,0
be195dd4a64cb831:points:19.5:under,Zion Williamson,points,19.5,-109,PASS,-0.0215,0.2,19.5,0.5,,,UNKNOWN,,,,0,,0,,0
edd43e3a6b6d2de3:points:12.5:over,Derik Queen,points,12.5,-119,OVER,0.2448,0.5764,15.63,0.7882,,,UP,17.4,14.3,15.4,2,0.6,10,0.6,15
edd43e3a6b6d2de3:points:12.5:under,Derik Queen,points,12.5,-107,PASS,-0.3051,0.5764,15.63,0.2118,,,UP,17.4,14.3,15.4,0,,0,,0
56921d9666b86a8e:points:12.5:over,Jeremiah Fears,points,12.5,-120,PASS,-0.0455,0.2,12.5,0.5,,,UNKNOWN,,,,0,,0,,0
56921d9666b86a8e:points:12.5:under,Jeremiah Fears,points,12.5,-110,PASS,-0.0238,0.2,12.5,0.5,,,UNKNOWN,,,,0,,0,,0
d1991c3f6dd1389a:points:24.5:over,Anthony Davis,points,24.5,-104,PASS,-0.3722,0.7248,19.25,0.1376,,,DOWN,18.8,18.5,19.923076923076923,0,,0,,0
d1991c3f6dd1389a:points:24.5:under,Anthony Davis,points,24.5,-122,UNDER,0.3128,0.7248,19.25,0.8624,,,DOWN,18.8,18.5,19.923076923076923,3,0.7,10,0.6154,13
75bb0beb4aef286b:points:13.5:over,Naji Marshall,points,13.5,-105,PASS,-0.0122,0.2,13.5,0.5,,,UNKNOWN,,,,0,,0,,0
