prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,market_prob,market_over_odds,market_under_odds,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,expected_usage_factor,expected_usage_notes,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source,game,actual,result
6f3224cd44117b35:rebounds:9.5:under,6f3224cd44117b35,Mark Williams,rebounds,under,9.5,5e1430770a9b7fe84382e690d0a936c3,NOP,PHX,2025-12-27T01:00:00Z,PHX,NOP,False,4,False,5.47,0.7963,0.8256,0.7963,0.5372,0.5372,104,-132,0.2274,0.4907,LOW,"{'minutes_trend': 0.8883, 'usage_trend': 0.85, 'team_usage': 1.03, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, high variance, market divergence",5.8,7.5,7.2,DOWN,4.301162633521313,0.8,0.8,8,2,0,0,Grayson Allen (Injury/Illness - Right Knee; Injury Management); Jalen Green (Injury/Illness - Right Hamstring; Strain),,,Usage down; Teammates OUT: 2,1.0,,UNDER,-132,0.0592,0.0328,0.384,0.95,1.15,0.4528,,,-120,120,0.65,,rebounds,0.8,0.135897,,,,1766793284.2503738,odds_api,PHX @ NOP,13,LOSS
ee6ab3d86d08f23f:rebounds:2.5:over,ee6ab3d86d08f23f,Kevin Huerter,rebounds,over,2.5,42968c17840b14e2b40f2f6274d22367,CHI,PHI,2025-12-27T00:40:00Z,CHI,PHI,True,4,False,4.26,0.7689,0.7913,0.7689,0.4711,0.4711,100,-128,0.2689,0.4115,LOW,"{'minutes_trend': 1.0114, 'usage_trend': 1.0417, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, fast pace, high variance, market divergence",3.8,2.6,3.0,UP,2.170509412813294,0.5,0.4666666666666667,1,4,0,0,Noa Essengue (Injury/Illness - Left Shoulder; Surgery); Emanuel Miller (G League - Two-Way); Lachlan Olbrich (G League - Two-Way); Trentyn Flowers (G League - Two-Way),,,Teammates OUT: 4,1.0,,OVER,100,0.0614,0.0328,0.384,0.95,1.15,0.8682,,,-120,120,0.65,,rebounds,0.8,0.135897,,,,1766793284.2503738,odds_api,PHI @ CHI,1,LOSS
5f14e644f6af651b:assists:3.5:over,5f14e644f6af651b,Kris Dunn,assists,over,3.5,d634cf294ef9b80b7fabb5ab9f52173d,POR,LAC,2025-12-27T03:10:00Z,LAC,POR,False,4,False,4.5,0.7446,0.757,0.7446,0.4456,0.4456,112,-142,0.2729,0.4051,LOW,"{'minutes_trend': 1.0265, 'usage_trend': 1.141, 'team_usage': 1.075, 'rest': 1.02, 'pace': 0.98}","minutes trend, usage trend, usage boost (injuries), extra rest, slow pace, high variance, market divergence",4.0,3.6,3.4,UP,1.429840705968481,0.5,0.4,-2,5,0,0,Ivica Zubac (Injury/Illness - Left Ankle; Sprain); Chris Paul (Not With Team); Derrick Jones Jr. (Injury/Illness - Right Knee; Sprain); RayJ Dennis (G League - Two-Way); Bradley Beal (Injury/Illness - Left Hip; Fracture),,,Usage up; Teammates OUT: 5,1.0,,OVER,112,0.0585,0.0345,0.396,1.0,1.15,0.4085,,,-120,120,0.65,,assists,0.8,0.139023,,,,1766793284.2503738,odds_api,LAC @ POR,4,WIN
7bdc51ef1c7178b3:assists:2.5:over,7bdc51ef1c7178b3,Norman Powell,assists,over,2.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,3.81,0.8029,0.8299,0.8029,0.5331,0.5331,-130,102,0.2377,0.4635,LOW,"{'minutes_trend': 1.0869, 'usage_trend': 0.9738, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace, high variance, market divergence",3.6,3.1,2.8,UP,1.3703203194062978,0.7,0.6,3,5,0,0,Bam Adebayo (Injury/Illness - Lower Back; Soreness); Vladislav Goldin (G League - Two-Way); Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Terry Rozier (Not With Team); Jahmir Young (G League - Two-Way),,,Teammates OUT: 5,1.0,,OVER,-130,0.0603,0.0345,0.396,1.0,1.15,0.5481,,,-120,120,0.65,,assists,0.8,0.139023,,,,1766793284.2503738,odds_api,MIA @ ATL,5,WIN
2432230f0cd45f90:assists:8.5:over,2432230f0cd45f90,Kevin Porter Jr.,assists,over,8.5,5b9deb3a7a25c3efea6e5baf9123366f,MEM,MIL,2025-12-27T01:10:00Z,MIL,MEM,False,4,False,10.42,0.7312,0.7403,0.7312,0.4405,0.4405,114,-146,0.2639,0.4162,LOW,"{'minutes_trend': 1.1126, 'usage_trend': 1.0047, 'team_usage': 1.06, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, market divergence",9.4,8.0,7.454545454545454,UP,2.9814239699997196,0.4,0.36363636363636365,-1,4,0,0,Gary Trent Jr. (Injury/Illness - Left Calf; Contusion); Alex Antetokounmpo (G League - Two-Way); Giannis Antetokounmpo (Injury/Illness - Right Calf; Strain); Taurean Prince (Injury/Illness - Neck; Surgery),,,Teammates OUT: 4,1.0,,OVER,114,0.0608,0.0324,0.3792,1.0,1.08,0.3508,,,-120,120,0.65,,assists,0.8,0.139023,,,,1766793284.2503738,odds_api,MIL @ MEM,5,LOSS
e8e371aa543245b3:assists:3.5:over,e8e371aa543245b3,VJ Edgecombe,assists,over,3.5,42968c17840b14e2b40f2f6274d22367,CHI,PHI,2025-12-27T00:40:00Z,PHI,CHI,False,7,False,4.94,0.7942,0.8189,0.7942,0.5372,0.5372,-132,104,0.2252,0.4871,LOW,"{'minutes_trend': 1.1386, 'usage_trend': 1.1058, 'expected_usage': 0.9641, 'team_usage': 1.035, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage shift (Joel Embiid RETURN x0.96), usage boost (injuries), extra rest, soft defense, high variance, market divergence",3.6,3.5,3.533333333333333,FLAT,1.5811388300841898,0.5,0.4666666666666667,2,2,1,0,Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Trendon Watford (Injury/Illness - Left Adductor; Strain),Joel Embiid (Injury/Illness - Right Knee; Injury Management),,Usage up; Expected usage: Joel Embiid RETURN x0.96; Teammates OUT: 2; Teammates Q: 1; Player status: AVAILABLE,0.9640884316076298,Joel Embiid RETURN x0.96,OVER,-132,0.0592,0.0345,0.396,1.0,1.15,0.4518,,,-120,120,0.65,,assists,0.8,0.139023,AVAILABLE,NBA Official Report,Injury/Illness - N/a; Illness,1766793284.2503738,odds_api,PHI @ CHI,3,LOSS
caf164737a209e3b:rebounds:7.5:over,caf164737a209e3b,Andre Drummond,rebounds,over,7.5,42968c17840b14e2b40f2f6274d22367,CHI,PHI,2025-12-27T00:40:00Z,PHI,CHI,False,4,False,12.15,0.8199,0.855,0.8199,0.5631,0.5631,-148,116,0.2231,0.4895,LOW,"{'minutes_trend': 1.0385, 'usage_trend': 1.002, 'team_usage': 1.035, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, high variance, market divergence",11.4,8.8,9.866666666666667,UP,4.391911757866827,0.7,0.7333333333333333,6,2,1,0,Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Trendon Watford (Injury/Illness - Left Adductor; Strain),Joel Embiid (Injury/Illness - Right Knee; Injury Management),,Teammates OUT: 2; Teammates Q: 1,1.0,,OVER,-148,0.0597,0.0328,0.384,0.95,1.15,0.5856,,,-120,120,0.65,,rebounds,0.8,0.135897,,,,1766793284.2503738,odds_api,PHI @ CHI,4,LOSS
f2e1a88bd41f4a6b:rebounds:2.5:under,f2e1a88bd41f4a6b,Trae Young,rebounds,under,2.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,ATL,MIA,True,4,False,1.52,0.7717,0.7947,0.7717,0.5,0.5,-113,-113,0.2412,0.4499,LOW,"{'minutes_trend': 0.8741, 'usage_trend': 1.0508, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance, market divergence",1.4,1.625,1.625,FLAT,1.1877349391654208,0.75,0.75,4,6,0,0,N'Faly Dante (Injury/Illness - Right Knee; Torn ACL); Nikola Djurisic (G League - On Assignment); Caleb Houstan (G League - Two-Way); Eli John Ndiaye (G League - Two-Way); Kristaps Porzingis (Injury/Illness - N/A; Illness); Malik Williams (G League - Two-Way),,,Usage up; Teammates OUT: 6,1.0,,UNDER,-113,0.061,0.0328,0.384,0.95,1.15,0.4751,,,-120,120,0.65,,rebounds,0.8,0.135897,,,,1766793284.2503738,odds_api,MIA @ ATL,2,WIN
3b09314818626f62:pra:26.5:over,3b09314818626f62,Anthony Black,pra,over,26.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,32.29,0.7596,0.8618,0.7596,0.5,0.5,-113,-113,0.2291,0.4672,LOW,"{'minutes_trend': 1.1079, 'usage_trend': 1.01, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, market divergence",29.0,27.4,26.066666666666666,UP,5.316640543300503,0.7,0.5333333333333333,4,5,0,0,Colin Castleton (G League - Two-Way da); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Teammates OUT: 5,1.0,,OVER,-113,0.061,0.0315,0.372,1.05,1.0,0.2006,,,-120,120,0.65,,pra,0.8,0.070127,,,,1766793284.2503738,odds_api,CHA @ ORL,31,WIN
62f552904dd61737:assists:4.5:over,62f552904dd61737,Kyshawn George,assists,over,4.5,2452dd9a484d893bca40a2059218e2e3,WAS,TOR,2025-12-27T00:10:00Z,WAS,TOR,True,4,False,6.86,0.8157,0.8459,0.8157,0.5631,0.5631,-148,116,0.219,0.4831,LOW,"{'minutes_trend': 1.0714, 'usage_trend': 0.9602, 'team_usage': 1.045, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97}","minutes trend, usage trend, usage boost (injuries), extra rest, home, tough defense, high variance, market divergence",7.2,5.7,5.6,UP,2.3118054512532935,0.8,0.7333333333333333,5,3,0,0,Cam Whitmore (Injury/Illness - Right Shoulder; Deep Vein Thrombosis); Corey Kispert (Injury/Illness - Left Hamstring; Tightness); Sharife Cooper (G League - Two-Way),,,Teammates OUT: 3,1.0,,OVER,-148,0.0597,0.0345,0.396,1.0,1.15,0.5137,,,-120,120,0.65,,assists,0.8,0.139023,,,,1766793284.2503738,odds_api,TOR @ WAS,3,LOSS
