report_date,player,player_team,opponent,home_away,matchup,prop_type,line,over_odds,bookmaker,season_avg,recent_5_avg,median,std_dev,min,max,games_analyzed,times_over,times_under,times_push,over_rate_pct,is_back_to_back,days_rest,recent_mins_avg,season_mins_avg,minutes_factor,opp_defense_factor,opp_defense_rank,team_pace_factor,opp_pace_factor,combined_pace,vegas_game_total,blowout_risk,model_projection,base_projection,edge_pct,confidence_pct,recommended_pick,context_flags,adj_defense_pct,adj_location_pct,adj_b2b_pct,adj_pace_pct,adj_game_total_pct,adj_blowout_pct,adj_minutes_pct
12-06-2025,Luke Kennard,ATL,WAS,AWAY,ATL @ WAS,rebounds,2.5,130,betmgm,1.9,1.8,2.0,1.48,0.0,5.0,21,8,13,0,38.1,True,2,17.4,20.7,0.842,1.131,1,1.007,1.015,1.011,237.5,MEDIUM,1.9,2.1,-24.0,57.0,UNDER,💥 SMASH SPOT | ⚠️ B2B | ⏰ MINS DOWN,13.1,-2.5,-8.0,1.1,0.0,-2.0,-10.0
12-06-2025,Naji Marshall,DAL,HOU,HOME,HOU @ DAL,points,11.5,102,fanduel,12.5,15.8,9.0,7.16,3.0,30.0,24,11,13,0,45.8,True,2,31.6,27.5,1.149,0.969,26,1.001,0.985,0.993,220.5,MEDIUM,8.8,9.0,-23.9,56.0,UNDER,🛡️ TOUGH DEF | ⚠️ B2B | ⏰ MINS UP,-3.1,2.5,-8.0,-0.7,-0.6,-2.0,10.0
12-06-2025,Will Richard,GSW,CLE,AWAY,GSW @ CLE,pra,14.5,-106,fanduel,11.9,12.6,10.0,8.48,3.0,40.0,21,6,15,0,28.6,False,2,23.0,18.8,1.226,1.003,12,0.998,1.003,1.001,229.5,MEDIUM,11.0,10.4,-23.9,60.0,UNDER,⏰ MINS UP,0.3,-2.5,0.0,0.1,0.6,-2.0,10.0
12-06-2025,Kyle Kuzma,MIL,DET,AWAY,MIL @ DET,points,12.5,-113,fanduel,12.7,10.4,11.0,7.06,1.0,29.0,23,10,13,0,43.5,True,2,24.0,25.9,0.928,0.977,22,0.991,1.002,0.996,224.5,HIGH,9.5,12.4,-23.7,52.0,UNDER,⚠️ B2B | 💨 BLOWOUT RISK | ⏰ MINS DOWN,-2.3,-2.5,-8.0,-0.4,-0.1,-5.0,-7.2
12-06-2025,Cooper Flagg,DAL,HOU,HOME,HOU @ DAL,points,16.5,-102,fanduel,17.2,22.0,16.0,7.07,2.0,35.0,23,9,14,0,39.1,True,2,33.4,33.6,0.994,0.969,26,1.001,0.985,0.993,220.5,MEDIUM,12.7,14.4,-23.3,70.0,UNDER,🛡️ TOUGH DEF | ⚠️ B2B,-3.1,2.5,-8.0,-0.7,-0.6,-2.0,-0.6
12-06-2025,Dyson Daniels,ATL,WAS,AWAY,ATL @ WAS,pra,24.5,-125,fanduel,22.8,25.4,24.0,8.05,7.0,37.0,24,12,12,0,50.0,True,2,37.4,34.0,1.1,1.102,1,1.007,1.015,1.011,237.5,MEDIUM,18.8,17.2,-23.1,63.0,UNDER,💥 SMASH SPOT | ⚠️ B2B | 📈 HIGH TOTAL | ⏰ MINS UP,10.2,-2.5,-8.0,1.1,1.7,-2.0,10.0
12-06-2025,Anthony Edwards,MIN,LAC,HOME,LAC @ MIN,assists,4.5,-104,fanduel,3.9,4.8,4.0,1.81,0.0,6.0,18,8,10,0,44.4,False,2,38.2,33.9,1.127,1.021,9,1.005,0.976,0.99,227.5,MEDIUM,3.5,3.1,-23.0,63.0,UNDER,⏰ MINS UP,2.1,2.5,0.0,-1.0,0.0,-2.0,10.0
12-06-2025,Craig Porter Jr,CLE,GSW,HOME,GSW @ CLE,points,6.5,102,fanduel,5.6,4.2,4.0,5.02,0.0,19.0,21,7,14,0,33.3,True,2,15.6,17.2,0.907,0.958,27,1.003,0.998,1.001,229.5,MEDIUM,5.0,6.2,-22.9,52.0,UNDER,🛡️ TOUGH DEF | ⚠️ B2B | ⏰ MINS DOWN,-4.2,2.5,-8.0,0.1,0.6,-2.0,-9.3
12-06-2025,Kevin Durant,HOU,DAL,AWAY,HOU @ DAL,pra,36.5,-111,fanduel,34.1,36.0,35.0,7.42,20.0,46.0,18,7,11,0,38.9,True,2,33.8,35.6,0.951,1.012,16,0.985,1.001,0.993,220.5,MEDIUM,28.2,33.7,-22.9,52.0,UNDER,⚠️ B2B,1.2,-2.5,-8.0,-0.7,-0.6,-2.0,-4.9
12-06-2025,Keegan Murray,SAC,MIA,AWAY,SAC @ MIA,assists,1.5,-132,draftkings,1.7,2.0,1.0,0.95,1.0,3.0,7,3,4,0,42.9,False,2,40.0,38.6,1.037,1.009,12,1.002,1.04,1.021,241.5,MEDIUM,1.8,1.8,22.5,47.0,OVER,,0.9,-2.5,0.0,2.1,0.0,-2.0,3.7
12-06-2025,Ryan Rollins,MIL,DET,AWAY,MIL @ DET,assists,5.5,-104,fanduel,6.0,6.0,5.5,2.49,2.0,14.0,24,12,12,0,50.0,True,2,35.2,32.7,1.078,0.897,29,0.991,1.002,0.996,224.5,HIGH,4.3,5.2,-22.4,48.0,UNDER,🛡️ TOUGH DEF | ⚠️ B2B | 💨 BLOWOUT RISK | ⏰ MINS UP,-10.3,-2.5,-8.0,-0.4,0.0,-5.0,7.8
12-06-2025,Norman Powell,MIA,ORL,AWAY,MIA @ ORL,assists,2.5,-118,fanduel,2.5,2.6,3.0,1.29,0.0,5.0,18,10,8,0,55.6,True,2,31.0,30.8,1.007,0.917,28,1.04,1.003,1.021,241.5,LOW,1.9,2.3,-22.2,49.0,UNDER,🛡️ TOUGH DEF | ⚠️ B2B,-8.3,-2.5,-8.0,2.1,0.0,0.0,0.7
12-06-2025,Brandin Podziemski,GSW,CLE,AWAY,GSW @ CLE,points,13.5,-130,fanduel,12.3,11.6,12.0,5.22,5.0,23.0,23,10,13,0,43.5,False,2,25.4,28.0,0.906,1.001,12,0.998,1.003,1.001,229.5,MEDIUM,10.5,12.1,-21.9,45.0,UNDER,⏰ MINS DOWN,0.1,-2.5,0.0,0.1,0.6,-2.0,-9.4
12-06-2025,Jonathan Kuminga,GSW,CLE,AWAY,GSW @ CLE,points,16.5,100,fanduel,12.9,8.0,11.5,7.27,0.0,25.0,16,5,11,0,31.2,False,2,18.2,26.0,0.7,1.001,12,0.998,1.003,1.001,229.5,MEDIUM,12.9,14.9,-21.8,64.0,UNDER,⏰ MINS DOWN,0.1,-2.5,0.0,0.1,0.6,-2.0,-10.0
12-06-2025,Vit Krejci,ATL,WAS,AWAY,ATL @ WAS,pra,14.5,-107,betrivers,14.1,12.8,13.0,7.38,6.0,33.0,20,8,12,0,40.0,True,2,22.6,23.2,0.976,1.102,1,1.007,1.015,1.011,237.5,MEDIUM,11.4,11.7,-21.6,64.0,UNDER,💥 SMASH SPOT | ⚠️ B2B | 📈 HIGH TOTAL,10.2,-2.5,-8.0,1.1,1.7,-2.0,-2.4
12-06-2025,Cooper Flagg,DAL,HOU,HOME,HOU @ DAL,rebounds,6.5,114,fanduel,6.4,6.2,7.0,2.44,1.0,10.0,23,13,10,0,56.5,True,2,33.4,33.6,0.994,0.892,30,1.001,0.985,0.993,220.5,MEDIUM,5.1,6.3,-21.2,49.0,UNDER,🛡️ TOUGH DEF | ⚠️ B2B,-10.8,2.5,-8.0,-0.7,0.0,-2.0,-0.6
12-06-2025,Carlton Carrington,WAS,ATL,HOME,ATL @ WAS,pra,18.5,-106,fanduel,14.1,14.4,14.0,4.25,5.0,23.0,21,3,18,0,14.3,False,2,24.8,25.2,0.983,1.019,10,1.015,1.007,1.011,237.5,MEDIUM,14.6,14.1,-21.1,69.0,UNDER,📈 HIGH TOTAL,1.9,2.5,0.0,1.1,1.7,-2.0,-1.7
12-06-2025,Naji Marshall,DAL,HOU,HOME,HOU @ DAL,pra,18.5,-104,fanduel,20.1,24.8,20.0,8.94,5.0,40.0,24,14,10,0,58.3,True,2,31.6,27.5,1.149,0.945,26,1.001,0.985,0.993,220.5,MEDIUM,14.6,15.4,-21.1,63.0,UNDER,🛡️ TOUGH DEF | ⚠️ B2B | ⏰ MINS UP,-5.5,2.5,-8.0,-0.7,-0.6,-2.0,10.0
12-06-2025,Drew Eubanks,SAC,MIA,AWAY,SAC @ MIA,rebounds,3.5,130,fanduel,3.1,3.6,2.5,2.11,1.0,9.0,22,7,15,0,31.8,False,2,13.0,15.5,0.839,1.089,3,1.002,1.04,1.021,241.5,MEDIUM,2.8,2.9,-20.8,62.0,UNDER,💥 SMASH SPOT | ⏰ MINS DOWN,8.9,-2.5,0.0,2.1,0.0,-2.0,-10.0
12-06-2025,Mike Conley,MIN,LAC,HOME,LAC @ MIN,pra,8.5,-109,draftkings,10.7,7.8,10.0,4.87,3.0,19.0,22,14,8,0,63.6,False,2,15.4,19.4,0.795,1.002,14,1.005,0.976,0.99,227.5,MEDIUM,10.3,11.4,20.7,60.0,OVER,⏰ MINS DOWN,0.2,2.5,0.0,-1.0,0.3,-2.0,-10.0
12-06-2025,Mike Conley,MIN,LAC,HOME,LAC @ MIN,assists,2.5,-110,draftkings,3.3,2.4,3.0,1.99,0.0,7.0,22,13,9,0,59.1,False,2,15.4,19.4,0.795,1.021,9,1.005,0.976,0.99,227.5,MEDIUM,3.0,3.3,20.7,63.0,OVER,⏰ MINS DOWN,2.1,2.5,0.0,-1.0,0.0,-2.0,-10.0
