bin_lower,bin_upper,count,avg_prob,win_rate
0.0,0.1,0,,
0.1,0.2,0,,
0.2,0.3,0,,
0.3,0.4,0,,
0.4,0.5,26,0.46748461538461533,0.23076923076923078
0.5,0.6,1673,0.5691350268977883,0.5002988643156007
0.6,0.7,1227,0.6339603096984515,0.5436022819885901
0.7,0.8,79,0.7422265822784813,0.7215189873417721
0.8,0.9,0,,
0.9,1.0,0,,
