prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,market_prob,market_over_odds,market_under_odds,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,expected_usage_factor,expected_usage_notes,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source,game
8e899df2ab8672fc:threes:2.5:over,8e899df2ab8672fc,Deni Avdija,threes,over,2.5,d634cf294ef9b80b7fabb5ab9f52173d,POR,LAC,2025-12-27T03:10:00Z,POR,LAC,True,4,False,2.57,0.4587,0.5289,0.4587,0.3676,0.3676,154,-210,0.065,0.18,LOW,"{'minutes_trend': 1.067, 'usage_trend': 1.0245, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, soft defense, fast pace, high variance",1.8,1.9,2.1333333333333333,FLAT,0.8755950357709131,0.3,0.3333333333333333,-2,7,0,2,Blake Wesley (Injury/Illness - Right Foot; Fracture); Matisse Thybulle (Injury/Illness - Left Thumb; Ligament Tear); Damian Lillard (Injury/Illness - Left Achilles Tendon; Injury Management); Jrue Holiday (Injury/Illness - Right Calf; Strain); Scoot Henderson (Injury/Illness - Left Hamstring; Tear); Jerami Grant (Injury/Illness - Left Achilles; Tendonitis); Javonte Cooke (G League - Two-Way),,Robert Williams III (Injury/Illness - Left Knee; Injury Management); Kris Murray (Injury/Illness - Right Cervical; Soreness),Teammates OUT: 7,1.0,,OVER,154,0.0711,0.0,0.0,1.1,1.08,0.3502,,,-120,120,0.65,,threes,0.3,0.3,,,,1766788458.537465,odds_api,LAC @ POR
17c40c7eb7c61bc4:pra:25.5:over,17c40c7eb7c61bc4,Paul George,pra,over,25.5,42968c17840b14e2b40f2f6274d22367,CHI,PHI,2025-12-27T00:40:00Z,PHI,CHI,False,4,False,30.77,0.6122,0.7308,0.6122,0.5188,0.5188,-122,-104,0.0626,0.2244,LOW,"{'minutes_trend': 1.15, 'usage_trend': 0.9269, 'team_usage': 1.035, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense",27.8,24.8,24.666666666666668,UP,8.560892995995738,0.4,0.4166666666666667,-2,2,1,3,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Joel Embiid (Injury/Illness - Right Knee; Injury Management),Quentin Grimes (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Dominick Barlow (Injury/Illness - N/a; Illness),Usage down; Teammates OUT: 2; Teammates Q: 1,1.0,,OVER,-122,0.0594,0.0,0.0,1.05,1.08,0.3357,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766788458.537465,odds_api,PHI @ CHI
86c3c54ce38bd221:rebounds:3.5:over,86c3c54ce38bd221,Khris Middleton,rebounds,over,3.5,2452dd9a484d893bca40a2059218e2e3,WAS,TOR,2025-12-27T00:10:00Z,WAS,TOR,True,4,False,4.31,0.4969,0.6562,0.4969,0.4106,0.4106,130,-166,0.0621,0.17,LOW,"{'minutes_trend': 1.0027, 'usage_trend': 1.15, 'team_usage': 1.035, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97}","minutes trend, usage trend, usage boost (injuries), extra rest, home, tough defense, high variance",3.4,3.9,3.8666666666666667,FLAT,2.0248456731316584,0.5,0.4,-3,2,1,0,Cam Whitmore (Injury/Illness - Right Shoulder; Deep Vein Thrombosis); Corey Kispert (Injury/Illness - Left Hamstring; Tightness),Justin Champagnie (Injury/Illness - N/a; illness),,Usage up; Teammates OUT: 2; Teammates Q: 1,1.0,,OVER,130,0.0588,0.0,0.0,0.95,1.15,0.5785,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766788458.537465,odds_api,TOR @ WAS
b1bff13b9c210da8:pra:17.5:over,b1bff13b9c210da8,Ace Bailey,pra,over,17.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,UTA,DET,True,4,False,20.09,0.5925,0.692,0.5925,0.496,0.496,-114,-118,0.0598,0.2,LOW,"{'minutes_trend': 0.9856, 'usage_trend': 1.1067, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, tough defense, fast pace",18.0,16.5,17.466666666666665,UP,5.1693541397569405,0.6,0.6666666666666666,1,4,0,0,Elijah Harkless (G League - Two-Way); Walker Kessler (Injury/Illness - Left Shoulder; Injury Recovery); Georges Niang (Injury/Illness - Left Foot; fourth metatarsal stress reaction); John Tonje (G League - Two-Way),,,Usage up; Teammates OUT: 4,1.0,,OVER,-114,0.074,0.0,0.0,1.05,1.0,0.2954,,,-120,120,0.65,,pra,0.507397,0.241351,,,,1766788458.537465,odds_api,DET @ UTA
938d8e1c6776330d:rebounds:4.5:under,938d8e1c6776330d,Andrew Wiggins,rebounds,under,4.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,3.57,0.501,0.67,0.501,0.4171,0.4171,-162,126,0.0585,0.184,LOW,"{'minutes_trend': 0.9691, 'usage_trend': 0.867, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace, high variance",3.2,4.6,4.933333333333334,DOWN,2.1186998109427604,0.5,0.4666666666666667,1,5,0,0,Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Vladislav Goldin (G League - Two-Way); Bam Adebayo (Injury/Illness - Lower Back; Soreness); Jahmir Young (G League - Two-Way); Terry Rozier (Not With Team),,,Usage down; Teammates OUT: 5; Player status: AVAILABLE,1.0,,UNDER,126,0.0608,0.0,0.0,0.95,1.15,0.4708,,,-120,120,0.65,,rebounds,0.3,0.3,AVAILABLE,NBA Official Report,Injury/Illness - Lower Back; Pain,1766788458.537465,odds_api,MIA @ ATL
fe39d719aad3d3e5:pra:17.5:under,fe39d719aad3d3e5,Jordan Goodwin,pra,under,17.5,5e1430770a9b7fe84382e690d0a936c3,NOP,PHX,2025-12-27T01:00:00Z,PHX,NOP,False,4,False,15.12,0.6073,0.7212,0.6073,0.5188,0.5188,-104,-122,0.0577,0.2146,LOW,"{'minutes_trend': 0.9504, 'usage_trend': 1.0321, 'team_usage': 1.03, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense",14.0,15.0,16.266666666666666,DOWN,4.055175020198813,0.6,0.6,2,2,0,0,Jalen Green (Injury/Illness - Right Hamstring; Strain); Grayson Allen (Injury/Illness - Right Knee; Injury Management),,,Teammates OUT: 2; Player status: AVAILABLE,1.0,,UNDER,-122,0.0594,0.0,0.0,1.05,1.0,0.2317,,,-120,120,0.65,,pra,0.507397,0.241351,AVAILABLE,NBA Official Report,Injury/Illness - Jaw; Sprain (Mask),1766788458.537465,odds_api,PHX @ NOP
5f14e644f6af651b:points:8.5:over,5f14e644f6af651b,Kris Dunn,points,over,8.5,d634cf294ef9b80b7fabb5ab9f52173d,POR,LAC,2025-12-27T03:10:00Z,LAC,POR,False,4,False,13.13,0.5522,0.8406,0.5522,0.4621,0.4621,102,-136,0.0571,0.17,LOW,"{'minutes_trend': 1.0265, 'usage_trend': 1.141, 'team_usage': 1.075, 'rest': 1.02, 'pace': 0.98}","minutes trend, usage trend, usage boost (injuries), extra rest, slow pace, high variance",11.8,9.3,9.466666666666667,UP,4.643992535164831,0.5,0.5333333333333333,1,5,0,0,Ivica Zubac (Injury/Illness - Left Ankle; Sprain); Chris Paul (Not With Team); Derrick Jones Jr. (Injury/Illness - Right Knee; Sprain); RayJ Dennis (G League - Two-Way); Bradley Beal (Injury/Illness - Left Hip; Fracture),,,Usage up; Teammates OUT: 5,1.0,,OVER,102,0.0713,0.0,0.0,1.0,1.15,0.5464,,,-120,120,0.65,,points,0.3,0.3,,,,1766788458.537465,odds_api,LAC @ POR
7248a5865a57d720:threes:2.5:over,7248a5865a57d720,Brandon Ingram,threes,over,2.5,2452dd9a484d893bca40a2059218e2e3,WAS,TOR,2025-12-27T00:10:00Z,TOR,WAS,False,4,False,2.81,0.4734,0.5779,0.4734,0.3933,0.3933,140,-180,0.0567,0.16,LOW,"{'minutes_trend': 0.9677, 'usage_trend': 0.9307, 'team_usage': 1.075, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, high variance",3.4,2.6,2.466666666666667,UP,1.577621275493231,0.6,0.4666666666666667,-1,4,3,0,Jakob Poeltl (Injury/Illness - Back; Lower back - strain); Alijah Martin (G League - Two-Way); Chucky Hepburn (G League - Two-Way); RJ Barrett (Injury/Illness - Right Knee; Sprain),Collin Murray-Boyles (Injury/Illness - Illness; Illness); A.J. Lawson (G League - Two-Way); Scottie Barnes (Injury/Illness - N/a; Illness),,Usage down; Teammates OUT: 4; Teammates Q: 3,1.0,,OVER,140,0.0595,0.0,0.0,1.1,1.15,0.631,,,-120,120,0.65,,threes,0.3,0.3,,,,1766788458.537465,odds_api,TOR @ WAS
f0f6cdc30bf237c9:rebounds:7.5:over,f0f6cdc30bf237c9,Santi Aldama,rebounds,over,7.5,5b9deb3a7a25c3efea6e5baf9123366f,MEM,MIL,2025-12-27T01:10:00Z,MEM,MIL,True,4,False,8.74,0.5022,0.6739,0.5022,0.4216,0.4216,124,-158,0.0557,0.2,LOW,"{'minutes_trend': 1.0984, 'usage_trend': 1.0921, 'expected_usage': 0.9316, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, usage shift (Ja Morant RETURN x0.93), usage boost (injuries), extra rest, home, soft defense",7.0,6.4,6.333333333333333,UP,2.7568097504180447,0.2,0.2,-2,6,2,0,Vince Williams Jr. (Injury/Illness - Left Patellar; Tendinitis); John Konchar (Injury/Illness - Left Thumb; UCL Surgery Recovery); Ty Jerome (Injury/Illness - Right Calf; Strain); Zach Edey (Injury/Illness - Left Ankle; Stress Reaction); Brandon Clarke (Injury/Illness - Right Calf; Strain); Scotty Pippen Jr. (Injury/Illness - Left Great Toe; Surgery Recovery),Ja Morant (Injury/Illness - Left Ankle; Sprain); Cedric Coward (Injury/Illness - Left Heel; Soreness),,Usage up; Expected usage: Ja Morant RETURN x0.93; Teammates OUT: 6; Teammates Q: 2,0.9315722441874323,Ja Morant RETURN x0.93,OVER,124,0.0588,0.0,0.0,0.95,1.08,0.3676,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766788458.537465,odds_api,MIL @ MEM
eebbd3f8dcedbe8e:assists:6.5:over,eebbd3f8dcedbe8e,Keyonte George,assists,over,6.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,UTA,DET,True,4,False,7.84,0.5144,0.7148,0.5144,0.4283,0.4283,118,-158,0.0557,0.2,LOW,"{'minutes_trend': 1.1176, 'usage_trend': 0.955, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, tough defense, fast pace",6.8,6.7,6.533333333333333,FLAT,2.359378449224852,0.6,0.6,-1,4,0,0,Elijah Harkless (G League - Two-Way); Walker Kessler (Injury/Illness - Left Shoulder; Injury Recovery); Georges Niang (Injury/Illness - Left Foot; fourth metatarsal stress reaction); John Tonje (G League - Two-Way),,,Teammates OUT: 4,1.0,,OVER,118,0.0711,0.0,0.0,1.0,1.08,0.363,,,-120,120,0.65,,assists,0.3,0.3,,,,1766788458.537465,odds_api,DET @ UTA
