prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,pick,odds,injury_status,injury_source,injury_detail
0aa082da5aeeb340:points:8.5:over,0aa082da5aeeb340,Moussa Diabate,points,over,8.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,8.5,0.4973,0.5,0.491,-0.0288,0.16,LOW,,,PASS,-111,,,
0aa082da5aeeb340:points:8.5:under,0aa082da5aeeb340,Moussa Diabate,points,under,8.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,8.5,0.5027,0.5,0.509,-0.0427,0.16,LOW,,,PASS,-120,,,
ada18546837dac41:points:14.5:over,ada18546837dac41,Jarrett Allen,points,over,14.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,14.64,0.5184,0.5158,0.5246,-0.0468,0.16,LOW,{'home': 1.01},home,PASS,-130,,,
ada18546837dac41:points:14.5:under,ada18546837dac41,Jarrett Allen,points,under,14.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,14.64,0.4816,0.4842,0.4754,-0.0306,0.16,LOW,{'home': 1.01},home,PASS,-105,,,
335aba9590921564:points:5.5:over,335aba9590921564,Lonzo Ball,points,over,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,5.5,0.5061,0.5,0.5203,-0.0495,0.16,LOW,,,PASS,-125,,,
335aba9590921564:points:5.5:under,335aba9590921564,Lonzo Ball,points,under,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,5.5,0.4939,0.5,0.4797,-0.0183,0.16,LOW,,,PASS,-105,,,
d6fa084d1a037f96:points:12.5:over,d6fa084d1a037f96,De'Andre Hunter,points,over,12.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,ATL,,,4,False,11.66,0.4473,0.4116,0.5306,-0.1179,0.2,LOW,"{'minutes_trend': 0.9953, 'usage_trend': 0.9736, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-130,,,
d6fa084d1a037f96:points:12.5:under,d6fa084d1a037f96,De'Andre Hunter,points,under,12.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,ATL,,,4,False,11.66,0.5527,0.5884,0.4694,0.0527,0.2,LOW,"{'minutes_trend': 0.9953, 'usage_trend': 0.9736, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,100,,,
220e544c0e1716ed:points:30.5:over,220e544c0e1716ed,Donovan Mitchell,points,over,30.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,30.8,0.505,0.5158,0.4797,-0.0072,0.11,LOW,{'home': 1.01},home,PASS,-105,PROBABLE,NBA Official Report,Injury/Illness - Illness; Illness
220e544c0e1716ed:points:30.5:under,220e544c0e1716ed,Donovan Mitchell,points,under,30.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,30.8,0.495,0.4842,0.5203,-0.0605,0.11,LOW,{'home': 1.01},home,PASS,-125,PROBABLE,NBA Official Report,Injury/Illness - Illness; Illness
1632dad36b5e936c:points:5.5:over,1632dad36b5e936c,Dean Wade,points,over,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,4.73,0.461,0.4356,0.5203,-0.0945,0.2,LOW,"{'minutes_trend': 1.0449, 'usage_trend': 0.9025, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",PASS,-125,,,
1632dad36b5e936c:points:5.5:under,1632dad36b5e936c,Dean Wade,points,under,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,4.73,0.539,0.5644,0.4797,0.0268,0.2,LOW,"{'minutes_trend': 1.0449, 'usage_trend': 0.9025, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",PASS,-105,,,
facb6803046eab5c:points:19.5:over,facb6803046eab5c,Brandon Miller,points,over,19.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,3,False,22.59,0.632,0.6842,0.5101,0.0865,0.2639,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-120,,,
facb6803046eab5c:points:19.5:under,facb6803046eab5c,Brandon Miller,points,under,19.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,3,False,22.59,0.368,0.3158,0.4899,-0.1558,0.2639,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-110,,,
9ea8ae204f976e4e:points:7.5:over,9ea8ae204f976e4e,Sam Merrill,points,over,7.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,7.5,0.4991,0.5,0.497,-0.0358,0.11,LOW,,,PASS,-115,PROBABLE,NBA Official Report,Injury/Illness - Right Hand; Sprain
9ea8ae204f976e4e:points:7.5:under,9ea8ae204f976e4e,Sam Merrill,points,under,7.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,7.5,0.5009,0.5,0.503,-0.0404,0.11,LOW,,,PASS,-118,PROBABLE,NBA Official Report,Injury/Illness - Right Hand; Sprain
440168766d15343b:points:18.5:over,440168766d15343b,Kon Knueppel,points,over,18.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,18.5,0.503,0.5,0.5101,-0.0424,0.16,LOW,,,PASS,-120,,,
440168766d15343b:points:18.5:under,440168766d15343b,Kon Knueppel,points,under,18.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,18.5,0.497,0.5,0.4899,-0.0268,0.16,LOW,,,PASS,-110,,,
2a4f649870db0148:points:18.5:over,2a4f649870db0148,Miles Bridges,points,over,18.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,,,18.5,0.5092,0.5,0.5306,-0.056,0.16,LOW,,,PASS,-130,,,
