prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,usage_expectation,pick,odds,injury_status,injury_source,injury_detail
5f2b3ff4f9948e93:pra:15.5:under,5f2b3ff4f9948e93,Brook Lopez,pra,under,15.5,aedd66eec65402eb926bb64dbbdb4634,LAC,HOU,2025-12-24 04:10:00+00:00,MIL,,,4,False,6.69,0.7026,0.938,0.6017,0.0597,0.4052,LOW,"{'minutes_trend': 1.0423, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",6.6,6.9,8.2,DOWN,0.9,0.9333333333333333,-1,3,0,0,Usage down; Teammates OUT: 3,UNDER,-180,,,
5f2b3ff4f9948e93:points:10.5:under,5f2b3ff4f9948e93,Brook Lopez,points,under,10.5,aedd66eec65402eb926bb64dbbdb4634,LAC,HOU,2025-12-24 04:10:00+00:00,MIL,,,4,False,4.35,0.7106,0.931,0.6161,0.0554,0.4212,LOW,"{'minutes_trend': 1.0423, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",4.0,4.5,6.0,DOWN,0.8,0.8,-1,3,0,0,Usage down; Teammates OUT: 3,UNDER,-190,,,
5f2b3ff4f9948e93:points:11.5:under,5f2b3ff4f9948e93,Brook Lopez,points,under,11.5,aedd66eec65402eb926bb64dbbdb4634,LAC,HOU,2025-12-24 04:10:00+00:00,MIL,,,4,False,4.35,0.7611,0.9577,0.6768,0.0389,0.5222,LOW,"{'minutes_trend': 1.0423, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",4.0,4.5,6.0,DOWN,1.0,0.9333333333333333,14,3,0,0,Usage down; Teammates OUT: 3,UNDER,-260,,,
