prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,market_prob,market_over_odds,market_under_odds,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,expected_usage_factor,expected_usage_notes,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source
b5293a12d6b1625b:rebounds:2.5:over,b5293a12d6b1625b,Quentin Grimes,rebounds,over,2.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,PHI,MEM,False,3,False,1.94,0.4306,0.4355,0.4306,0.6018,0.6018,-178,136,-0.2097,0.17,LOW,"{'minutes_trend': 0.85, 'usage_trend': 0.921, 'expected_usage': 0.9226, 'team_usage': 1.065, 'rest': 1.02}","minutes trend, usage trend, usage shift (Joel Embiid RETURN x0.92), usage boost (injuries), extra rest, high variance",1.6,4.4,3.7333333333333334,DOWN,3.438345855527367,0.5,0.5333333333333333,-5,4,1,0,MarJon Beauchamp (G League - Two-Way); Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Johni Broome (G League - On Assignment),Joel Embiid (Injury/Illness - Right Ankle; Sprain; Illness),,Usage down; Expected usage: Joel Embiid RETURN x0.92; Teammates OUT: 4; Teammates Q: 1,0.9226071607213486,Joel Embiid RETURN x0.92,PASS,-178,0.064,0.0328,0.384,0.95,1.15,1.3753,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1767140362.363274,odds_api
b5293a12d6b1625b:rebounds:2.5:under,b5293a12d6b1625b,Quentin Grimes,rebounds,under,2.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,PHI,MEM,False,3,False,1.94,0.4694,0.5645,0.4694,0.3982,0.3982,-178,136,0.0456,0.17,LOW,"{'minutes_trend': 0.85, 'usage_trend': 0.921, 'expected_usage': 0.9226, 'team_usage': 1.065, 'rest': 1.02}","minutes trend, usage trend, usage shift (Joel Embiid RETURN x0.92), usage boost (injuries), extra rest, high variance",1.6,4.4,3.7333333333333334,DOWN,3.438345855527367,0.5,0.4666666666666667,5,4,1,0,MarJon Beauchamp (G League - Two-Way); Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Johni Broome (G League - On Assignment),Joel Embiid (Injury/Illness - Right Ankle; Sprain; Illness),,Usage down; Expected usage: Joel Embiid RETURN x0.92; Teammates OUT: 4; Teammates Q: 1,0.9226071607213486,Joel Embiid RETURN x0.92,PASS,136,0.064,0.0328,0.384,0.95,1.15,1.3753,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1767140362.363274,odds_api
00417796df3a3a94:rebounds:3.5:over,00417796df3a3a94,Jaylen Wells,rebounds,over,3.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,MEM,PHI,True,3,False,4.35,0.5066,0.6887,0.5066,0.5372,0.5372,-132,104,-0.0623,0.184,LOW,"{'minutes_trend': 1.0133, 'usage_trend': 1.0347, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",3.8,4.1,3.933333333333333,FLAT,1.7288403306519924,0.7,0.6,1,9,0,0,Olivier-Maxence Prosper (G League - Two-Way); Scotty Pippen Jr. (Injury/Illness - Left Great Toe; Surgery Recovery); Jahmai Mashack (G League - Two-Way); John Konchar (Injury/Illness - Left Thumb; UCL Surgery Recovery); Ty Jerome (Injury/Illness - Right Calf; Strain); Zach Edey (Injury/Illness - Left Ankle; Stress Reaction); Brandon Clarke (Injury/Illness - Right Calf; Strain); Kentavious Caldwell-Pope (Injury/Illness - Right Hamstring; Soreness); Vince Williams Jr. (Injury/Illness - Left Patellar; Tendinitis),,,Teammates OUT: 9,1.0,,PASS,-132,0.0592,0.0328,0.384,0.95,1.15,0.494,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1767140362.363274,odds_api
00417796df3a3a94:rebounds:3.5:under,00417796df3a3a94,Jaylen Wells,rebounds,under,3.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,MEM,PHI,True,3,False,4.35,0.3934,0.3113,0.3934,0.4628,0.4628,-132,104,-0.0968,0.1962,LOW,"{'minutes_trend': 1.0133, 'usage_trend': 1.0347, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",3.8,4.1,3.933333333333333,FLAT,1.7288403306519924,0.3,0.4,-1,9,0,0,Olivier-Maxence Prosper (G League - Two-Way); Scotty Pippen Jr. (Injury/Illness - Left Great Toe; Surgery Recovery); Jahmai Mashack (G League - Two-Way); John Konchar (Injury/Illness - Left Thumb; UCL Surgery Recovery); Ty Jerome (Injury/Illness - Right Calf; Strain); Zach Edey (Injury/Illness - Left Ankle; Stress Reaction); Brandon Clarke (Injury/Illness - Right Calf; Strain); Kentavious Caldwell-Pope (Injury/Illness - Right Hamstring; Soreness); Vince Williams Jr. (Injury/Illness - Left Patellar; Tendinitis),,,Teammates OUT: 9,1.0,,PASS,104,0.0592,0.0328,0.384,0.95,1.15,0.494,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1767140362.363274,odds_api
f90abdac8476856e:rebounds:6.5:over,f90abdac8476856e,Jock Landale,rebounds,over,6.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,MEM,PHI,True,8,False,7.8,0.5022,0.6741,0.5022,0.5,0.5,-113,-113,-0.0283,0.184,LOW,"{'minutes_trend': 1.15, 'usage_trend': 0.85, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",8.0,6.9,6.333333333333333,UP,2.884826203122507,0.6,0.4666666666666667,4,9,0,0,Olivier-Maxence Prosper (G League - Two-Way); Scotty Pippen Jr. (Injury/Illness - Left Great Toe; Surgery Recovery); Jahmai Mashack (G League - Two-Way); John Konchar (Injury/Illness - Left Thumb; UCL Surgery Recovery); Ty Jerome (Injury/Illness - Right Calf; Strain); Zach Edey (Injury/Illness - Left Ankle; Stress Reaction); Brandon Clarke (Injury/Illness - Right Calf; Strain); Kentavious Caldwell-Pope (Injury/Illness - Right Hamstring; Soreness); Vince Williams Jr. (Injury/Illness - Left Patellar; Tendinitis),,,Usage down; Teammates OUT: 9; Player status: AVAILABLE,1.0,,PASS,-113,0.061,0.0328,0.384,0.95,1.15,0.4438,,,-120,120,0.65,,rebounds,0.3,0.3,AVAILABLE,NBA Official Report,Injury/Illness - Right Calf; Strain,1767140362.363274,odds_api
f90abdac8476856e:rebounds:6.5:under,f90abdac8476856e,Jock Landale,rebounds,under,6.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,MEM,PHI,True,8,False,7.8,0.3978,0.3259,0.3978,0.5,0.5,-113,-113,-0.1327,0.1881,LOW,"{'minutes_trend': 1.15, 'usage_trend': 0.85, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",8.0,6.9,6.333333333333333,UP,2.884826203122507,0.4,0.5333333333333333,-4,9,0,0,Olivier-Maxence Prosper (G League - Two-Way); Scotty Pippen Jr. (Injury/Illness - Left Great Toe; Surgery Recovery); Jahmai Mashack (G League - Two-Way); John Konchar (Injury/Illness - Left Thumb; UCL Surgery Recovery); Ty Jerome (Injury/Illness - Right Calf; Strain); Zach Edey (Injury/Illness - Left Ankle; Stress Reaction); Brandon Clarke (Injury/Illness - Right Calf; Strain); Kentavious Caldwell-Pope (Injury/Illness - Right Hamstring; Soreness); Vince Williams Jr. (Injury/Illness - Left Patellar; Tendinitis),,,Usage down; Teammates OUT: 9; Player status: AVAILABLE,1.0,,PASS,-113,0.061,0.0328,0.384,0.95,1.15,0.4438,,,-120,120,0.65,,rebounds,0.3,0.3,AVAILABLE,NBA Official Report,Injury/Illness - Right Calf; Strain,1767140362.363274,odds_api
cf5ff662fff85eb6:rebounds:3.5:over,cf5ff662fff85eb6,Ja Morant,rebounds,over,3.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,MEM,PHI,True,3,False,2.67,0.394,0.3134,0.394,0.5289,0.5289,-128,100,-0.1674,0.195,LOW,"{'minutes_trend': 0.85, 'usage_trend': 1.0219, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",2.4,3.3,3.3333333333333335,DOWN,1.7029386365926402,0.5,0.4,-1,9,0,0,Olivier-Maxence Prosper (G League - Two-Way); Scotty Pippen Jr. (Injury/Illness - Left Great Toe; Surgery Recovery); Jahmai Mashack (G League - Two-Way); John Konchar (Injury/Illness - Left Thumb; UCL Surgery Recovery); Ty Jerome (Injury/Illness - Right Calf; Strain); Zach Edey (Injury/Illness - Left Ankle; Stress Reaction); Brandon Clarke (Injury/Illness - Right Calf; Strain); Kentavious Caldwell-Pope (Injury/Illness - Right Hamstring; Soreness); Vince Williams Jr. (Injury/Illness - Left Patellar; Tendinitis),,,Teammates OUT: 9,1.0,,PASS,-128,0.0614,0.0328,0.384,0.95,1.15,0.4866,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1767140362.363274,odds_api
cf5ff662fff85eb6:rebounds:3.5:under,cf5ff662fff85eb6,Ja Morant,rebounds,under,3.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,MEM,PHI,True,3,False,2.67,0.506,0.6866,0.506,0.4711,0.4711,-128,100,0.006,0.184,LOW,"{'minutes_trend': 0.85, 'usage_trend': 1.0219, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",2.4,3.3,3.3333333333333335,DOWN,1.7029386365926402,0.5,0.6,1,9,0,0,Olivier-Maxence Prosper (G League - Two-Way); Scotty Pippen Jr. (Injury/Illness - Left Great Toe; Surgery Recovery); Jahmai Mashack (G League - Two-Way); John Konchar (Injury/Illness - Left Thumb; UCL Surgery Recovery); Ty Jerome (Injury/Illness - Right Calf; Strain); Zach Edey (Injury/Illness - Left Ankle; Stress Reaction); Brandon Clarke (Injury/Illness - Right Calf; Strain); Kentavious Caldwell-Pope (Injury/Illness - Right Hamstring; Soreness); Vince Williams Jr. (Injury/Illness - Left Patellar; Tendinitis),,,Teammates OUT: 9,1.0,,PASS,100,0.0614,0.0328,0.384,0.95,1.15,0.4866,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1767140362.363274,odds_api
232d2c6cb0f702e0:rebounds:7.5:over,232d2c6cb0f702e0,Joel Embiid,rebounds,over,7.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,PHI,MEM,False,5,False,9.42,0.526,0.7533,0.526,0.5289,0.5289,-128,100,-0.0301,0.085,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0362, 'team_usage': 1.065, 'injury_risk': 0.97, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), injury risk, extra rest, injury risk penalty",8.2,6.9,6.461538461538462,UP,2.8067379246694513,0.2,0.15384615384615385,-2,4,1,0,MarJon Beauchamp (G League - Two-Way); Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Johni Broome (G League - On Assignment),Joel Embiid (Injury/Illness - Right Ankle; Sprain; Illness),,Teammates OUT: 4; Teammates Q: 1; Player status: QUESTIONABLE,1.0,,PASS,-128,0.0614,0.0308,0.3672,0.95,1.08,0.3742,,,-120,120,0.65,,rebounds,0.3,0.3,QUESTIONABLE,NBA Official Report,Injury/Illness - Right Ankle; Sprain; Illness,1767140362.363274,odds_api
232d2c6cb0f702e0:rebounds:7.5:under,232d2c6cb0f702e0,Joel Embiid,rebounds,under,7.5,2645cf99b94b2d0cc4ecbfed1cf56bdf,MEM,PHI,2025-12-31T01:10:00Z,PHI,MEM,False,5,False,9.42,0.374,0.2467,0.374,0.4711,0.4711,-128,100,-0.1071,0.1292,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0362, 'team_usage': 1.065, 'injury_risk': 0.97, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), injury risk, extra rest, injury risk penalty",8.2,6.9,6.461538461538462,UP,2.8067379246694513,0.8,0.8461538461538461,2,4,1,0,MarJon Beauchamp (G League - Two-Way); Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain); Johni Broome (G League - On Assignment),Joel Embiid (Injury/Illness - Right Ankle; Sprain; Illness),,Teammates OUT: 4; Teammates Q: 1; Player status: QUESTIONABLE,1.0,,PASS,100,0.0614,0.0308,0.3672,0.95,1.08,0.3742,,,-120,120,0.65,,rebounds,0.3,0.3,QUESTIONABLE,NBA Official Report,Injury/Illness - Right Ankle; Sprain; Illness,1767140362.363274,odds_api
