prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,pick,odds,injury_status,injury_source,injury_detail
ada18546837dac41:points:14.5:over,ada18546837dac41,Jarrett Allen,points,over,14.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,14.64,0.5111,0.5158,0.5,-0.0238,0.16,LOW,{'home': 1.01},home,PASS,-115,,,
ada18546837dac41:points:14.5:under,ada18546837dac41,Jarrett Allen,points,under,14.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,14.64,0.4889,0.4842,0.5,-0.0459,0.16,LOW,{'home': 1.01},home,PASS,-115,,,
335aba9590921564:points:5.5:over,335aba9590921564,Lonzo Ball,points,over,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,5.5,0.503,0.5,0.5101,-0.0424,0.16,LOW,,,PASS,-120,,,
335aba9590921564:points:5.5:under,335aba9590921564,Lonzo Ball,points,under,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,5.5,0.497,0.5,0.4899,-0.0268,0.16,LOW,,,PASS,-110,,,
d6fa084d1a037f96:points:12.5:over,d6fa084d1a037f96,De'Andre Hunter,points,over,12.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,ATL,,,4,False,11.66,0.4411,0.4116,0.5101,-0.1043,0.2,LOW,"{'minutes_trend': 0.9953, 'usage_trend': 0.9736, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-120,,,
d6fa084d1a037f96:points:12.5:under,d6fa084d1a037f96,De'Andre Hunter,points,under,12.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,ATL,,,4,False,11.66,0.5589,0.5884,0.4899,0.0351,0.2,LOW,"{'minutes_trend': 0.9953, 'usage_trend': 0.9736, 'rest': 1.02}","minutes trend, usage trend, extra rest",PASS,-110,,,
220e544c0e1716ed:points:30.5:over,220e544c0e1716ed,Donovan Mitchell,points,over,30.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,30.8,0.5111,0.5158,0.5,-0.0238,0.16,LOW,{'home': 1.01},home,PASS,-115,,,
220e544c0e1716ed:points:30.5:under,220e544c0e1716ed,Donovan Mitchell,points,under,30.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,30.8,0.4889,0.4842,0.5,-0.0459,0.16,LOW,{'home': 1.01},home,PASS,-115,,,
1632dad36b5e936c:points:5.5:over,1632dad36b5e936c,Dean Wade,points,over,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,4.73,0.4623,0.4356,0.5246,-0.1029,0.2,LOW,"{'minutes_trend': 1.0449, 'usage_trend': 0.9025, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",PASS,-130,,,
1632dad36b5e936c:points:5.5:under,1632dad36b5e936c,Dean Wade,points,under,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,4.73,0.5377,0.5644,0.4754,0.0255,0.2,LOW,"{'minutes_trend': 1.0449, 'usage_trend': 0.9025, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",PASS,-105,,,
