prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,usage_expectation,pick,odds,injury_status,injury_source,injury_detail
d6fa084d1a037f96:pra:20.5:under,d6fa084d1a037f96,De'Andre Hunter,pra,under,20.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,ATL,,,4,False,17.05,0.7311,0.7979,0.5752,0.1157,0.4621,LOW,"{'minutes_trend': 0.9953, 'usage_trend': 0.9736, 'rest': 1.02}","minutes trend, usage trend, extra rest",14.4,15.3,17.933333333333334,DOWN,0.9,0.7333333333333333,9,0,0,0,,UNDER,-160,,,
4e45d282ab40fb92:points:12.5:over,4e45d282ab40fb92,Cam Spencer,points,over,12.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,,,,3,False,19.32,0.8375,0.9063,0.6768,0.1153,0.675,MEDIUM,"{'minutes_trend': 1.15, 'usage_trend': 1.0094, 'rest': 1.02}","minutes trend, usage trend, extra rest",19.0,17.1,14.533333333333333,UP,0.7,0.6,3,0,0,0,,OVER,-260,,,
719212055825801f:points:32.5:under,719212055825801f,Cade Cunningham,points,under,32.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,DET,POR,False,3,False,22.0,0.8481,0.9169,0.6875,0.1147,0.6961,MEDIUM,"{'minutes_trend': 0.9503, 'usage_trend': 0.8962, 'rest': 1.02}","minutes trend, usage trend, extra rest",24.2,25.3,27.933333333333334,DOWN,0.9,0.8,9,0,0,0,Usage down,UNDER,-275,,,
8a59c926ad0214ec:pra:28.5:over,8a59c926ad0214ec,Darius Garland,pra,over,28.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,4,False,37.9,0.7784,0.8442,0.625,0.1118,0.5568,MEDIUM,"{'minutes_trend': 1.1238, 'usage_trend': 1.0947, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",32.2,28.1,26.46153846153846,UP,0.5,0.46153846153846156,1,0,0,0,Usage up,OVER,-200,,,
179b8654e93bf924:pra:24.5:under,179b8654e93bf924,Cameron Johnson,pra,under,24.5,2d23d2b9708959b7c5860abd491ebf81,DEN,UTA,2025-12-23 02:00:00+00:00,DEN,UTA,True,3,False,18.08,0.7332,0.7974,0.5835,0.1106,0.4665,LOW,"{'minutes_trend': 1.0243, 'usage_trend': 0.882, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, extra rest, home, soft defense",19.8,20.9,21.733333333333334,DOWN,0.8,0.6666666666666666,1,0,0,0,Usage down,UNDER,-165,,,
facb6803046eab5c:pra:25.5:over,facb6803046eab5c,Brandon Miller,pra,over,25.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,3,False,34.47,0.7593,0.8237,0.6091,0.1102,0.5187,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",31.6,27.0,25.583333333333332,UP,0.5,0.5,-1,0,0,0,,OVER,-185,,,
179b8654e93bf924:points:18.5:under,179b8654e93bf924,Cameron Johnson,points,under,18.5,2d23d2b9708959b7c5860abd491ebf81,DEN,UTA,2025-12-23 02:00:00+00:00,DEN,UTA,True,3,False,11.54,0.796,0.8605,0.6456,0.1085,0.592,MEDIUM,"{'minutes_trend': 1.0243, 'usage_trend': 0.882, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, extra rest, home, soft defense",12.4,14.0,14.666666666666666,DOWN,0.8,0.7333333333333333,1,0,0,0,Usage down,UNDER,-220,,,
56e46e859e224d01:points:9.5:under,56e46e859e224d01,Cason Wallace,points,under,9.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,OKC,MEM,True,4,False,5.57,0.7859,0.8513,0.6334,0.1085,0.5719,MEDIUM,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",5.8,7.0,7.733333333333333,DOWN,0.8,0.6666666666666666,5,0,0,0,Usage down,UNDER,-210,,,
04d4e75260920eb7:rebounds:2.5:under,04d4e75260920eb7,Caris LeVert,rebounds,under,2.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,CLE,,,3,False,1.56,0.7623,0.827,0.6113,0.1071,0.5245,LOW,"{'minutes_trend': 1.0251, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",1.8,1.9,1.8666666666666667,FLAT,0.8,0.8,1,0,0,0,Usage down,UNDER,-190,,,
719212055825801f:assists:10.5:under,719212055825801f,Cade Cunningham,assists,under,10.5,51fa4ffc93b967c919ecd4700bb36ba1,POR,DET,2025-12-23 03:00:00+00:00,DET,POR,False,3,False,8.1,0.8418,0.906,0.6921,0.105,0.6836,MEDIUM,"{'minutes_trend': 0.9503, 'usage_trend': 0.8962, 'rest': 1.02}","minutes trend, usage trend, extra rest",9.4,9.0,8.8,UP,0.8,0.8,4,0,0,0,Usage down,UNDER,-280,,,
a168fb201860affc:points:19.5:under,a168fb201860affc,Bennedict Mathurin,points,under,19.5,810ac6d569078de0087ad1d714771a6a,BOS,IND,2025-12-23 00:30:00+00:00,IND,BOS,False,3,False,13.69,0.7198,0.7818,0.5752,0.1044,0.4396,LOW,"{'minutes_trend': 1.0125, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest",13.4,16.0,17.266666666666666,DOWN,0.7,0.6,4,0,0,0,Usage down,UNDER,-160,,,
facb6803046eab5c:assists:2.5:over,facb6803046eab5c,Brandon Miller,assists,over,2.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,3,False,4.95,0.7884,0.8496,0.6456,0.1009,0.5769,MEDIUM,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",4.6,3.5,3.5833333333333335,UP,0.7,0.6666666666666666,-1,0,0,0,,OVER,-220,,,
08937c7231a9a619:points:18.5:over,08937c7231a9a619,Cooper Flagg,points,over,18.5,1c1113912a8210cba841d63b5df059fe,NOP,DAL,2025-12-23 01:00:00+00:00,,,,3,False,27.15,0.782,0.843,0.6396,0.0994,0.5639,MEDIUM,"{'minutes_trend': 1.0925, 'usage_trend': 1.054, 'rest': 1.02}","minutes trend, usage trend, extra rest",26.0,24.0,21.933333333333334,UP,0.8,0.6666666666666666,5,0,0,0,Usage up,OVER,-215,,,
56e46e859e224d01:points:10.5:under,56e46e859e224d01,Cason Wallace,points,under,10.5,0b90d514df504b11dc74b7e961b9e277,OKC,MEM,2025-12-23 02:30:00+00:00,OKC,MEM,True,4,False,5.57,0.8423,0.9044,0.6974,0.0987,0.6847,MEDIUM,"{'minutes_trend': 0.9501, 'usage_trend': 0.85, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, extra rest, home",5.8,7.0,7.733333333333333,DOWN,0.8,0.8,5,0,0,0,Usage down,UNDER,-290,,,
d6fa084d1a037f96:points:15.5:under,d6fa084d1a037f96,De'Andre Hunter,points,under,15.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,ATL,,,4,False,11.66,0.7856,0.8456,0.6456,0.0981,0.5712,MEDIUM,"{'minutes_trend': 0.9953, 'usage_trend': 0.9736, 'rest': 1.02}","minutes trend, usage trend, extra rest",9.6,10.6,12.533333333333333,DOWN,0.9,0.7333333333333333,9,0,0,0,,UNDER,-220,,,
