prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source,market_over_odds,market_prob,market_under_odds
719212055825801f:rebounds:6.5:under,719212055825801f,Cade Cunningham,rebounds,under,6.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,DET,UTA,False,4,False,7.64,0.4696,0.3408,0.2794,0.5511,-0.1206,0.3653,LOW,"{'minutes_trend': 1.0321, 'usage_trend': 0.9473, 'team_usage': 1.065, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, high variance, market divergence",7.4,6.3,7.133333333333334,FLAT,2.79085809185793,0.5,0.4,-1,4,1,0,Isaac Jones (G League - On Assignment); Bobi Klintman (G League - On Assignment); Wendell Moore Jr. (G League - Two-Way); Tolu Smith (G League - Two-Way),Ronald Holland II (Injury/Illness - Left Knee; Sprain),,Usage down; Teammates OUT: 4; Teammates Q: 1,PASS,-144,0.0709,0.0328,0.384,0.95,1.15,0.4294,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780953.692003,odds_api,,,
b1bff13b9c210da8:rebounds:3.5:over,b1bff13b9c210da8,Ace Bailey,rebounds,over,3.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,,,,4,False,3.74,0.5621,0.5784,0.6832,0.5101,0.0166,0.3664,LOW,"{'minutes_trend': 0.9856, 'usage_trend': 1.1067, 'rest': 1.02}","minutes trend, usage trend, extra rest",3.4,3.2,3.2,FLAT,1.2292725943057183,0.5,0.4666666666666667,1,0,0,0,,,,Usage up,PASS,-120,0.0693,0.0308,0.3672,0.95,1.08,0.3512,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780953.692003,odds_api,,,
b1bff13b9c210da8:rebounds:3.5:under,b1bff13b9c210da8,Ace Bailey,rebounds,under,3.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,,,,4,False,3.74,0.4679,0.4216,0.4168,0.4899,-0.0559,0.2,LOW,"{'minutes_trend': 0.9856, 'usage_trend': 1.1067, 'rest': 1.02}","minutes trend, usage trend, extra rest",3.4,3.2,3.2,FLAT,1.2292725943057183,0.5,0.5333333333333333,-1,0,0,0,,,,Usage up,PASS,-110,0.0693,0.0308,0.3672,0.95,1.08,0.3512,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780953.692003,odds_api,,,
b90d46e90cecc8d4:rebounds:4.5:over,b90d46e90cecc8d4,Tobias Harris,rebounds,over,4.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,DET,UTA,False,4,False,5.17,0.6482,0.6911,0.8749,0.5511,0.0581,0.65,MEDIUM,"{'minutes_trend': 0.9952, 'usage_trend': 0.9588, 'team_usage': 1.065, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, market divergence, confidence cap (odds band)",4.8,4.7,4.533333333333333,FLAT,1.3374935098492586,0.4,0.4666666666666667,-2,4,1,0,Isaac Jones (G League - On Assignment); Bobi Klintman (G League - On Assignment); Wendell Moore Jr. (G League - Two-Way); Tolu Smith (G League - Two-Way),Ronald Holland II (Injury/Illness - Left Knee; Sprain),,Teammates OUT: 4; Teammates Q: 1,OVER,-144,0.0709,0.0285,0.348,0.95,1.0,0.2972,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780953.692003,odds_api,,,
b90d46e90cecc8d4:rebounds:4.5:under,b90d46e90cecc8d4,Tobias Harris,rebounds,under,4.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,DET,UTA,False,4,False,5.17,0.3818,0.3089,0.2251,0.4489,-0.099,0.4949,LOW,"{'minutes_trend': 0.9952, 'usage_trend': 0.9588, 'team_usage': 1.065, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, market divergence",4.8,4.7,4.533333333333333,FLAT,1.3374935098492586,0.6,0.5333333333333333,2,4,1,0,Isaac Jones (G League - On Assignment); Bobi Klintman (G League - On Assignment); Wendell Moore Jr. (G League - Two-Way); Tolu Smith (G League - Two-Way),Ronald Holland II (Injury/Illness - Left Knee; Sprain),,Teammates OUT: 4; Teammates Q: 1,PASS,108,0.0709,0.0285,0.348,0.95,1.0,0.2972,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780953.692003,odds_api,,,
7bb8e25366b34345:rebounds:11.5:over,7bb8e25366b34345,Jalen Duren,rebounds,over,11.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,DET,UTA,False,4,False,12.45,0.5354,0.5974,0.7156,0.4581,0.0452,0.3882,LOW,"{'minutes_trend': 0.9977, 'usage_trend': 1.0694, 'team_usage': 1.065, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, market divergence",10.0,9.8,10.133333333333333,FLAT,3.8528488738133038,0.3,0.4,1,4,1,0,Isaac Jones (G League - On Assignment); Bobi Klintman (G League - On Assignment); Wendell Moore Jr. (G League - Two-Way); Tolu Smith (G League - Two-Way),Ronald Holland II (Injury/Illness - Left Knee; Sprain),,Usage up; Teammates OUT: 4; Teammates Q: 1,OVER,104,0.07,0.0308,0.3672,0.95,1.08,0.335,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780953.692003,odds_api,,,
7bb8e25366b34345:rebounds:11.5:under,7bb8e25366b34345,Jalen Duren,rebounds,under,11.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,DET,UTA,False,4,False,12.45,0.4946,0.4026,0.3844,0.5419,-0.0852,0.2313,LOW,"{'minutes_trend': 0.9977, 'usage_trend': 1.0694, 'team_usage': 1.065, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense",10.0,9.8,10.133333333333333,FLAT,3.8528488738133038,0.7,0.6,-1,4,1,0,Isaac Jones (G League - On Assignment); Bobi Klintman (G League - On Assignment); Wendell Moore Jr. (G League - Two-Way); Tolu Smith (G League - Two-Way),Ronald Holland II (Injury/Illness - Left Knee; Sprain),,Usage up; Teammates OUT: 4; Teammates Q: 1,PASS,-138,0.07,0.0308,0.3672,0.95,1.08,0.335,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780953.692003,odds_api,,,
eebbd3f8dcedbe8e:rebounds:3.5:over,eebbd3f8dcedbe8e,Keyonte George,rebounds,over,3.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,UTA,DET,True,4,False,5.08,0.6255,0.761,0.9937,0.4677,0.1255,0.7268,HIGH,"{'minutes_trend': 1.1176, 'usage_trend': 0.955, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, tough defense, fast pace, high variance, market divergence",4.6,4.4,4.266666666666667,FLAT,2.2211108331943574,0.8,0.7333333333333333,-1,4,0,0,John Tonje (G League - Two-Way); Georges Niang (Injury/Illness - Left Foot; fourth metatarsal stress reaction); Walker Kessler (Injury/Illness - Left Shoulder; Injury Recovery); Elijah Harkless (G League - Two-Way),,,Teammates OUT: 4,OVER,100,0.069,0.0328,0.384,0.95,1.15,0.6346,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780953.692003,odds_api,,,
eebbd3f8dcedbe8e:rebounds:3.5:under,eebbd3f8dcedbe8e,Keyonte George,rebounds,under,3.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,UTA,DET,True,4,False,5.08,0.4045,0.239,0.1063,0.5323,-0.1645,0.6024,MEDIUM,"{'minutes_trend': 1.1176, 'usage_trend': 0.955, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, tough defense, fast pace, high variance, market divergence",4.6,4.4,4.266666666666667,FLAT,2.2211108331943574,0.2,0.26666666666666666,1,4,0,0,John Tonje (G League - Two-Way); Georges Niang (Injury/Illness - Left Foot; fourth metatarsal stress reaction); Walker Kessler (Injury/Illness - Left Shoulder; Injury Recovery); Elijah Harkless (G League - Two-Way),,,Teammates OUT: 4,PASS,-132,0.069,0.0328,0.384,0.95,1.15,0.6346,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780953.692003,odds_api,,,
4deb45f2e29535fa:rebounds:5.5:over,4deb45f2e29535fa,Ausar Thompson,rebounds,over,5.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,DET,UTA,False,4,False,7.25,0.6702,0.7489,0.9731,0.5404,0.0939,0.65,MEDIUM,"{'minutes_trend': 0.9409, 'usage_trend': 1.15, 'team_usage': 1.065, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, high variance, market divergence, confidence cap (odds band)",6.0,5.9,5.8,FLAT,2.6012817353502227,0.7,0.6666666666666666,2,4,1,0,Isaac Jones (G League - On Assignment); Bobi Klintman (G League - On Assignment); Wendell Moore Jr. (G League - Two-Way); Tolu Smith (G League - Two-Way),Ronald Holland II (Injury/Illness - Left Knee; Sprain),,Usage up; Teammates OUT: 4; Teammates Q: 1,OVER,-136,0.0665,0.0328,0.384,0.95,1.15,0.473,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780953.692003,odds_api,,,
