prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,market_prob,market_over_odds,market_under_odds,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,expected_usage_factor,expected_usage_notes,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source
362deb2fd051446a:rebounds:8.5:over,362deb2fd051446a,Paolo Banchero,rebounds,over,8.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,12.82,0.4866,0.8506,0.5552,0.4572,0.4572,106,-136,0.0012,0.184,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0597, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",10.2,7.8,8.266666666666667,UP,4.157990967870047,0.4,0.5333333333333333,-1,5,0,0,Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Colin Castleton (G League - Two-Way da); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Usage up; Teammates OUT: 5,1.0,,OVER,106,0.0617,0.0,0.0,0.95,1.15,0.4892,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766786834.0246358,odds_api
362deb2fd051446a:rebounds:8.5:under,362deb2fd051446a,Paolo Banchero,rebounds,under,8.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,12.82,0.4834,0.1494,0.3448,0.5428,0.5428,106,-136,-0.0929,0.2856,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0597, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",10.2,7.8,8.266666666666667,UP,4.157990967870047,0.6,0.4666666666666667,1,5,0,0,Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Colin Castleton (G League - Two-Way da); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Usage up; Teammates OUT: 5,1.0,,PASS,-136,0.0617,0.0,0.0,0.95,1.15,0.4892,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766786834.0246358,odds_api
facb6803046eab5c:rebounds:4.5:over,facb6803046eab5c,Brandon Miller,rebounds,over,4.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,CHA,ORL,False,4,False,5.84,0.4492,0.6582,0.4975,0.4285,0.4285,120,-154,-0.0054,0.17,LOW,"{'minutes_trend': 1.1103, 'usage_trend': 0.924, 'team_usage': 1.08, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, high variance",6.0,5.0,3.9285714285714284,UP,3.2998316455372216,0.6,0.42857142857142855,-2,6,0,0,Grant Williams (Injury/Illness - Right Knee; Surgery); KJ Simpson (G League - Two-Way); Antonio Reeves (G League - Two-Way); Mason Plumlee (Injury/Illness - Right Groin; Strain); Liam McNeeley (G League - On Assignment); Ryan Kalkbrenner (Injury/Illness - Left Elbow; Sprain),,,Usage down; Teammates OUT: 6,1.0,,PASS,120,0.0608,0.0,0.0,0.95,1.15,0.7333,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766786834.0246358,odds_api
facb6803046eab5c:rebounds:4.5:under,facb6803046eab5c,Brandon Miller,rebounds,under,4.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,CHA,ORL,False,4,False,5.84,0.5208,0.3418,0.4025,0.5715,0.5715,120,-154,-0.0855,0.17,LOW,"{'minutes_trend': 1.1103, 'usage_trend': 0.924, 'team_usage': 1.08, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, high variance",6.0,5.0,3.9285714285714284,UP,3.2998316455372216,0.4,0.5714285714285714,2,6,0,0,Grant Williams (Injury/Illness - Right Knee; Surgery); KJ Simpson (G League - Two-Way); Antonio Reeves (G League - Two-Way); Mason Plumlee (Injury/Illness - Right Groin; Strain); Liam McNeeley (G League - On Assignment); Ryan Kalkbrenner (Injury/Illness - Left Elbow; Sprain),,,Usage down; Teammates OUT: 6,1.0,,PASS,-154,0.0608,0.0,0.0,0.95,1.15,0.7333,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766786834.0246358,odds_api
440168766d15343b:rebounds:4.5:over,440168766d15343b,Kon Knueppel,rebounds,over,4.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,CHA,ORL,False,4,False,5.27,0.4748,0.6758,0.5027,0.4628,0.4628,104,-132,-0.0154,0.2,LOW,"{'minutes_trend': 1.0138, 'usage_trend': 1.0531, 'team_usage': 1.08, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest",4.0,4.2,4.266666666666667,FLAT,1.6865480854231356,0.4,0.4666666666666667,-2,6,0,0,Grant Williams (Injury/Illness - Right Knee; Surgery); KJ Simpson (G League - Two-Way); Antonio Reeves (G League - Two-Way); Mason Plumlee (Injury/Illness - Right Groin; Strain); Liam McNeeley (G League - On Assignment); Ryan Kalkbrenner (Injury/Illness - Left Elbow; Sprain),,,Usage up; Teammates OUT: 6,1.0,,PASS,104,0.0592,0.0,0.0,0.95,1.08,0.3748,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766786834.0246358,odds_api
440168766d15343b:rebounds:4.5:under,440168766d15343b,Kon Knueppel,rebounds,under,4.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,CHA,ORL,False,4,False,5.27,0.4952,0.3242,0.3973,0.5372,0.5372,104,-132,-0.0738,0.2055,LOW,"{'minutes_trend': 1.0138, 'usage_trend': 1.0531, 'team_usage': 1.08, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest",4.0,4.2,4.266666666666667,FLAT,1.6865480854231356,0.6,0.5333333333333333,2,6,0,0,Grant Williams (Injury/Illness - Right Knee; Surgery); KJ Simpson (G League - Two-Way); Antonio Reeves (G League - Two-Way); Mason Plumlee (Injury/Illness - Right Groin; Strain); Liam McNeeley (G League - On Assignment); Ryan Kalkbrenner (Injury/Illness - Left Elbow; Sprain),,,Usage up; Teammates OUT: 6,1.0,,PASS,-132,0.0592,0.0,0.0,0.95,1.08,0.3748,,,-120,120,0.65,,rebounds,0.3,0.3,,,,1766786834.0246358,odds_api
ae90d97d37441694:threes:1.5:over,ae90d97d37441694,Tyus Jones,threes,over,1.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,1.71,0.3619,0.5741,0.4722,0.3147,0.3147,200,-265,0.0286,0.16,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.108, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",1.6,1.2,1.0,UP,1.1352924243950933,0.2,0.2,1,5,0,0,Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Colin Castleton (G League - Two-Way da); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Usage up; Teammates OUT: 5,1.0,,OVER,200,0.0594,0.0,0.0,1.1,1.15,0.7569,,,-120,120,0.65,,threes,0.3,0.3,,,,1766786834.0246358,odds_api
ae90d97d37441694:threes:1.5:under,ae90d97d37441694,Tyus Jones,threes,under,1.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,1.71,0.6081,0.4259,0.4278,0.6853,0.6853,200,-265,-0.118,0.144,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.108, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance, market divergence",1.6,1.2,1.0,UP,1.1352924243950933,0.8,0.8,-1,5,0,0,Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Colin Castleton (G League - Two-Way da); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Usage up; Teammates OUT: 5,1.0,,PASS,-265,0.0594,0.0,0.0,1.1,1.15,0.7569,,,-120,120,0.65,,threes,0.3,0.3,,,,1766786834.0246358,odds_api
1db26d6a99d1ca8f:threes:2.5:over,1db26d6a99d1ca8f,Desmond Bane,threes,over,2.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,2.28,0.3863,0.447,0.4341,0.3658,0.3658,158,-205,-0.0013,0.16,LOW,"{'minutes_trend': 1.0483, 'usage_trend': 0.9504, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",2.2,2.5,2.2,FLAT,1.6499158227686108,0.4,0.4,1,5,0,0,Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Colin Castleton (G League - Two-Way da); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Teammates OUT: 5,1.0,,PASS,158,0.0597,0.0,0.0,1.1,1.15,0.66,,,-120,120,0.65,,threes,0.3,0.3,,,,1766786834.0246358,odds_api
1db26d6a99d1ca8f:threes:2.5:under,1db26d6a99d1ca8f,Desmond Bane,threes,under,2.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,2.28,0.5837,0.553,0.4659,0.6342,0.6342,158,-205,-0.0884,0.16,LOW,"{'minutes_trend': 1.0483, 'usage_trend': 0.9504, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",2.2,2.5,2.2,FLAT,1.6499158227686108,0.6,0.6,-1,5,0,0,Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Colin Castleton (G League - Two-Way da); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Teammates OUT: 5,1.0,,PASS,-205,0.0597,0.0,0.0,1.1,1.15,0.66,,,-120,120,0.65,,threes,0.3,0.3,,,,1766786834.0246358,odds_api
