prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,usage_expectation,pick,odds,injury_status,injury_source,injury_detail,market_over_odds,market_prob,market_under_odds,reason
17c40c7eb7c61bc4:assists:3.5:over,17c40c7eb7c61bc4,Paul George,assists,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,3.54,0.4754,0.514,0.4589,-0.0148,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,104,,,,,,,
17c40c7eb7c61bc4:assists:3.5:under,17c40c7eb7c61bc4,Paul George,assists,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,3.54,0.5246,0.486,0.5411,-0.0535,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,-137,,,,,,,
4ecbd8a26452323a:points:13.5:over,4ecbd8a26452323a,Nicolas Claxton,points,over,13.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,13.5,0.4944,0.5,0.492,-0.0339,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-112,,,,,,,
4ecbd8a26452323a:points:13.5:under,4ecbd8a26452323a,Nicolas Claxton,points,under,13.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,13.5,0.5056,0.5,0.508,-0.0399,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-120,,,,,,,
e8e371aa543245b3:points:14.5:over,e8e371aa543245b3,VJ Edgecombe,points,over,14.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,14.64,0.4873,0.5158,0.4751,-0.0225,0.06,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3; Player status: QUESTIONABLE,PASS,-104,QUESTIONABLE,NBA Official Report,Injury/Illness - N/a; Illness,,,,
e8e371aa543245b3:points:14.5:under,e8e371aa543245b3,VJ Edgecombe,points,under,14.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,14.64,0.5127,0.4842,0.5249,-0.0506,0.06,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3; Player status: QUESTIONABLE,PASS,-129,QUESTIONABLE,NBA Official Report,Injury/Illness - N/a; Illness,,,,
13241614e2363f7b:points:9.5:over,13241614e2363f7b,Egor Demin,points,over,9.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,9.5,0.488,0.5,0.4829,-0.0289,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-107,,,,,,,
13241614e2363f7b:points:9.5:under,13241614e2363f7b,Egor Demin,points,under,9.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,9.5,0.512,0.5,0.5171,-0.0416,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-124,,,,,,,
232d2c6cb0f702e0:points:22.5:over,232d2c6cb0f702e0,Joel Embiid,points,over,22.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,22.73,0.5125,0.5158,0.5111,-0.035,0.11,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3; Player status: PROBABLE,PASS,-121,PROBABLE,NBA Official Report,Injury/Illness - Right Knee; Injury Management,,,,
232d2c6cb0f702e0:points:22.5:under,232d2c6cb0f702e0,Joel Embiid,points,under,22.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,22.73,0.4875,0.4842,0.4889,-0.0363,0.11,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3; Player status: PROBABLE,PASS,-110,PROBABLE,NBA Official Report,Injury/Illness - Right Knee; Injury Management,,,,
bb592d0b28ccfa79:points:7.5:over,bb592d0b28ccfa79,Danny Wolf,points,over,7.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,7.5,0.5142,0.5,0.5203,-0.0413,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-125,,,,,,,
bb592d0b28ccfa79:points:7.5:under,bb592d0b28ccfa79,Danny Wolf,points,under,7.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,7.5,0.4858,0.5,0.4797,-0.0264,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-105,,,,,,,
17c40c7eb7c61bc4:points:16.5:over,17c40c7eb7c61bc4,Paul George,points,over,16.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,16.66,0.4893,0.5158,0.4779,-0.0229,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,-105,,,,,,,
17c40c7eb7c61bc4:points:16.5:under,17c40c7eb7c61bc4,Paul George,points,under,16.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,16.66,0.5107,0.4842,0.5221,-0.0488,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,-127,,,,,,,
16fd37e29c56d2b2:points:6.5:over,16fd37e29c56d2b2,Ziaire Williams,points,over,6.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,6.5,0.4943,0.5,0.4918,-0.0296,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-110,,,,,,,
16fd37e29c56d2b2:points:6.5:under,16fd37e29c56d2b2,Ziaire Williams,points,under,6.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,6.5,0.5057,0.5,0.5082,-0.0355,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-118,,,,,,,
7cf633d771671707:points:24.5:over,7cf633d771671707,Michael Porter Jr,points,over,24.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,BKN,PHI,False,,,24.01,0.4881,0.4675,0.497,-0.0446,0.16,LOW,{'pace': 0.98},slow pace,0.0,0.0,0.0,FLAT,,,,3,0,2,Teammates OUT: 3,PASS,-114,,,,,,,
7cf633d771671707:points:24.5:under,7cf633d771671707,Michael Porter Jr,points,under,24.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,BKN,PHI,False,,,24.01,0.5119,0.5325,0.503,-0.0273,0.16,LOW,{'pace': 0.98},slow pace,0.0,0.0,0.0,FLAT,,,,3,0,2,Teammates OUT: 3,PASS,-117,,,,,,,
9435460277dc2859:points:13.5:over,9435460277dc2859,Noah Clowney,points,over,13.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,13.5,0.4811,0.5,0.473,-0.0263,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-103,,,,,,,
9435460277dc2859:points:13.5:under,9435460277dc2859,Noah Clowney,points,under,13.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,13.5,0.5189,0.5,0.527,-0.0463,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-130,,,,,,,
3cfc8bdeebb00461:points:27.5:over,3cfc8bdeebb00461,Tyrese Maxey,points,over,27.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,27.77,0.5236,0.5158,0.527,-0.0416,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,-130,,,,,,,
3cfc8bdeebb00461:points:27.5:under,3cfc8bdeebb00461,Tyrese Maxey,points,under,27.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,27.77,0.4764,0.4842,0.473,-0.031,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,-103,,,,,,,
4ecbd8a26452323a:pra:25.5:over,4ecbd8a26452323a,Nicolas Claxton,pra,over,25.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,25.5,0.4958,0.5,0.4939,-0.0326,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-112,,,,,,,
4ecbd8a26452323a:pra:25.5:under,4ecbd8a26452323a,Nicolas Claxton,pra,under,25.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,25.5,0.5042,0.5,0.5061,-0.037,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-118,,,,,,,
232d2c6cb0f702e0:pra:33.5:over,232d2c6cb0f702e0,Joel Embiid,pra,over,33.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,33.84,0.5103,0.5158,0.508,-0.0351,0.11,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3; Player status: PROBABLE,PASS,-120,PROBABLE,NBA Official Report,Injury/Illness - Right Knee; Injury Management,,,,
