prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,expected_usage_factor,expected_usage_notes,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source,market_over_odds,market_prob,market_under_odds
4d4ec8bd2a6a6c99:assists:4.5:over,4d4ec8bd2a6a6c99,Jaime Jaquez Jr,assists,over,4.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,4.8,0.5149,0.5746,0.4724,0.5331,-0.0503,0.2,LOW,"{'minutes_trend': 1.1224, 'usage_trend': 1.0067, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace",3.2,3.5,4.266666666666667,DOWN,1.5811388300841898,0.3,0.4666666666666667,-1,5,0,3,Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Vladislav Goldin (G League - Two-Way); Bam Adebayo (Injury/Illness - Lower Back; Soreness); Jahmir Young (G League - Two-Way); Terry Rozier (Not With Team),,Keshad Johnson (Injury/Illness - Head; Illness); Nikola Jovic (Injury/Illness - Right Elbow; Contusion/Laceration); Pelle Larsson (Injury/Illness - Left Ankle; Sprain),Teammates OUT: 5; Player status: AVAILABLE,1.0,,PASS,-130,0.0603,0.0324,0.3792,1.0,1.08,0.3514,-150,150,-120,120,0.65,,assists,0.3,0.3,AVAILABLE,NBA Official Report,Injury/Illness - Left Calf; Soreness,1766783875.174922,odds_api,,,
4d4ec8bd2a6a6c99:assists:4.5:under,4d4ec8bd2a6a6c99,Jaime Jaquez Jr,assists,under,4.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,4.8,0.4551,0.4254,0.4276,0.4669,-0.0399,0.2,LOW,"{'minutes_trend': 1.1224, 'usage_trend': 1.0067, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace",3.2,3.5,4.266666666666667,DOWN,1.5811388300841898,0.7,0.5333333333333333,1,5,0,3,Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Vladislav Goldin (G League - Two-Way); Bam Adebayo (Injury/Illness - Lower Back; Soreness); Jahmir Young (G League - Two-Way); Terry Rozier (Not With Team),,Keshad Johnson (Injury/Illness - Head; Illness); Nikola Jovic (Injury/Illness - Right Elbow; Contusion/Laceration); Pelle Larsson (Injury/Illness - Left Ankle; Sprain),Teammates OUT: 5; Player status: AVAILABLE,1.0,,PASS,102,0.0603,0.0324,0.3792,1.0,1.08,0.3514,-150,150,-120,120,0.65,,assists,0.3,0.3,AVAILABLE,NBA Official Report,Injury/Illness - Left Calf; Soreness,1766783875.174922,odds_api,,,
938d8e1c6776330d:assists:2.5:over,938d8e1c6776330d,Andrew Wiggins,assists,over,2.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,2.42,0.5245,0.4761,0.4428,0.5595,-0.069,0.17,LOW,"{'minutes_trend': 0.9691, 'usage_trend': 0.867, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace, high variance",2.4,2.9,3.066666666666667,DOWN,1.286683937707919,0.5,0.6,-1,5,0,3,Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Vladislav Goldin (G League - Two-Way); Bam Adebayo (Injury/Illness - Lower Back; Soreness); Jahmir Young (G League - Two-Way); Terry Rozier (Not With Team),,Keshad Johnson (Injury/Illness - Head; Illness); Nikola Jovic (Injury/Illness - Right Elbow; Contusion/Laceration); Pelle Larsson (Injury/Illness - Left Ankle; Sprain),Usage down; Teammates OUT: 5; Player status: AVAILABLE,1.0,,PASS,-146,0.0608,0.0345,0.396,1.0,1.15,0.5147,-150,150,-120,120,0.65,,assists,0.3,0.3,AVAILABLE,NBA Official Report,Injury/Illness - Lower Back; Pain,1766783875.174922,odds_api,,,
938d8e1c6776330d:assists:2.5:under,938d8e1c6776330d,Andrew Wiggins,assists,under,2.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,2.42,0.4455,0.5239,0.4572,0.4405,-0.0218,0.17,LOW,"{'minutes_trend': 0.9691, 'usage_trend': 0.867, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace, high variance",2.4,2.9,3.066666666666667,DOWN,1.286683937707919,0.5,0.4,1,5,0,3,Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Vladislav Goldin (G League - Two-Way); Bam Adebayo (Injury/Illness - Lower Back; Soreness); Jahmir Young (G League - Two-Way); Terry Rozier (Not With Team),,Keshad Johnson (Injury/Illness - Head; Illness); Nikola Jovic (Injury/Illness - Right Elbow; Contusion/Laceration); Pelle Larsson (Injury/Illness - Left Ankle; Sprain),Usage down; Teammates OUT: 5; Player status: AVAILABLE,1.0,,PASS,114,0.0608,0.0345,0.396,1.0,1.15,0.5147,-150,150,-120,120,0.65,,assists,0.3,0.3,AVAILABLE,NBA Official Report,Injury/Illness - Lower Back; Pain,1766783875.174922,odds_api,,,
3edc1f6904fc5558:assists:7.5:over,3edc1f6904fc5558,Davion Mitchell,assists,over,7.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,8.66,0.4523,0.6554,0.4966,0.4333,-0.0064,0.2,LOW,"{'minutes_trend': 1.0443, 'usage_trend': 1.1262, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace",6.0,7.7,7.333333333333333,DOWN,2.9078437983419185,0.6,0.4666666666666667,-1,5,0,3,Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Vladislav Goldin (G League - Two-Way); Bam Adebayo (Injury/Illness - Lower Back; Soreness); Jahmir Young (G League - Two-Way); Terry Rozier (Not With Team),,Keshad Johnson (Injury/Illness - Head; Illness); Nikola Jovic (Injury/Illness - Right Elbow; Contusion/Laceration); Pelle Larsson (Injury/Illness - Left Ankle; Sprain),Usage up; Teammates OUT: 5; Player status: AVAILABLE,1.0,,PASS,118,0.0587,0.0324,0.3792,1.0,1.08,0.3877,-150,150,-120,120,0.65,,assists,0.3,0.3,AVAILABLE,NBA Official Report,Injury/Illness - Left Ankle; Sprain,1766783875.174922,odds_api,,,
3edc1f6904fc5558:assists:7.5:under,3edc1f6904fc5558,Davion Mitchell,assists,under,7.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,MIA,ATL,False,4,False,8.66,0.5177,0.3446,0.4034,0.5667,-0.0823,0.2,LOW,"{'minutes_trend': 1.0443, 'usage_trend': 1.1262, 'team_usage': 1.075, 'rest': 1.02, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, fast pace",6.0,7.7,7.333333333333333,DOWN,2.9078437983419185,0.4,0.5333333333333333,1,5,0,3,Tyler Herro (Injury/Illness - Right Big Toe; Contusion); Vladislav Goldin (G League - Two-Way); Bam Adebayo (Injury/Illness - Lower Back; Soreness); Jahmir Young (G League - Two-Way); Terry Rozier (Not With Team),,Keshad Johnson (Injury/Illness - Head; Illness); Nikola Jovic (Injury/Illness - Right Elbow; Contusion/Laceration); Pelle Larsson (Injury/Illness - Left Ankle; Sprain),Usage up; Teammates OUT: 5; Player status: AVAILABLE,1.0,,PASS,-150,0.0587,0.0324,0.3792,1.0,1.08,0.3877,-150,150,-120,120,0.65,,assists,0.3,0.3,AVAILABLE,NBA Official Report,Injury/Illness - Left Ankle; Sprain,1766783875.174922,odds_api,,,
8f000e294202436b:assists:6.5:over,8f000e294202436b,Jalen Johnson,assists,over,6.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,ATL,MIA,True,4,False,9.91,0.5181,0.8678,0.5603,0.5,-0.0124,0.184,LOW,"{'minutes_trend': 0.973, 'usage_trend': 1.0574, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",9.2,10.0,9.733333333333333,DOWN,3.0550504633038935,0.9,0.9333333333333333,2,3,3,0,Kristaps Porzingis (Injury/Illness - N/A; Illness); Eli John Ndiaye (G League - Two-Way); N'Faly Dante (Injury/Illness - Right Knee; Torn ACL),Malik Williams (G League - Two-Way); Caleb Houstan (G League - Two-Way); Nikola Djurisic (G League - On Assignment),,Usage up; Teammates OUT: 3; Teammates Q: 3,1.0,,PASS,-113,0.061,0.0345,0.396,1.0,1.15,0.47,-150,150,-120,120,0.65,,assists,0.3,0.3,,,,1766783875.174922,odds_api,,,
8f000e294202436b:assists:6.5:under,8f000e294202436b,Jalen Johnson,assists,under,6.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,ATL,MIA,True,4,False,9.91,0.4519,0.1322,0.3397,0.5,-0.0786,0.295,LOW,"{'minutes_trend': 0.973, 'usage_trend': 1.0574, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",9.2,10.0,9.733333333333333,DOWN,3.0550504633038935,0.1,0.06666666666666667,-2,3,3,0,Kristaps Porzingis (Injury/Illness - N/A; Illness); Eli John Ndiaye (G League - Two-Way); N'Faly Dante (Injury/Illness - Right Knee; Torn ACL),Malik Williams (G League - Two-Way); Caleb Houstan (G League - Two-Way); Nikola Djurisic (G League - On Assignment),,Usage up; Teammates OUT: 3; Teammates Q: 3,1.0,,PASS,-113,0.061,0.0345,0.396,1.0,1.15,0.47,-150,150,-120,120,0.65,,assists,0.3,0.3,,,,1766783875.174922,odds_api,,,
515b4af3a6e139dd:assists:2.5:over,515b4af3a6e139dd,Onyeka Okongwu,assists,over,2.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,ATL,MIA,True,4,False,3.52,0.5384,0.7305,0.5191,0.5467,-0.0414,0.17,LOW,"{'minutes_trend': 1.0697, 'usage_trend': 0.85, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",3.8,3.9,3.8,FLAT,1.66332999331662,0.8,0.8,3,3,3,0,Kristaps Porzingis (Injury/Illness - N/A; Illness); Eli John Ndiaye (G League - Two-Way); N'Faly Dante (Injury/Illness - Right Knee; Torn ACL),Malik Williams (G League - Two-Way); Caleb Houstan (G League - Two-Way); Nikola Djurisic (G League - On Assignment),,Usage down; Teammates OUT: 3; Teammates Q: 3,1.0,,PASS,-138,0.0606,0.0345,0.396,1.0,1.15,0.6653,-150,150,-120,120,0.65,,assists,0.3,0.3,,,,1766783875.174922,odds_api,,,
515b4af3a6e139dd:assists:2.5:under,515b4af3a6e139dd,Onyeka Okongwu,assists,under,2.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,ATL,MIA,True,4,False,3.52,0.4316,0.2695,0.3809,0.4533,-0.0492,0.2025,LOW,"{'minutes_trend': 1.0697, 'usage_trend': 0.85, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance",3.8,3.9,3.8,FLAT,1.66332999331662,0.2,0.2,-3,3,3,0,Kristaps Porzingis (Injury/Illness - N/A; Illness); Eli John Ndiaye (G League - Two-Way); N'Faly Dante (Injury/Illness - Right Knee; Torn ACL),Malik Williams (G League - Two-Way); Caleb Houstan (G League - Two-Way); Nikola Djurisic (G League - On Assignment),,Usage down; Teammates OUT: 3; Teammates Q: 3,1.0,,PASS,108,0.0606,0.0345,0.396,1.0,1.15,0.6653,-150,150,-120,120,0.65,,assists,0.3,0.3,,,,1766783875.174922,odds_api,,,
