prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,market_prob,market_over_odds,market_under_odds,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,expected_usage_factor,expected_usage_notes,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source,game
e8e371aa543245b3:pra:23.5:over,e8e371aa543245b3,VJ Edgecombe,pra,over,23.5,42968c17840b14e2b40f2f6274d22367,CHI,PHI,2025-12-27T00:40:00Z,PHI,CHI,False,7,False,37.45,0.5819,0.9617,0.7293,0.5188,0.5188,-122,-104,0.0324,0.3628,LOW,"{'minutes_trend': 1.1386, 'usage_trend': 1.1058, 'expected_usage': 0.9641, 'team_usage': 1.035, 'injury_risk': 0.99, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage shift (Joel Embiid RETURN x0.96), usage boost (injuries), injury caution, extra rest, soft defense, market divergence",30.8,24.9,24.333333333333332,UP,7.880355321938218,0.5,0.5333333333333333,4,2,1,3,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Joel Embiid (Injury/Illness - Right Knee; Injury Management),Quentin Grimes (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Dominick Barlow (Injury/Illness - N/a; Illness),Usage up; Expected usage: Joel Embiid RETURN x0.96; Teammates OUT: 2; Teammates Q: 1; Player status: PROBABLE,0.9640884316076298,Joel Embiid RETURN x0.96,OVER,-122,0.0594,0.0227,0.3423,1.05,1.08,0.3353,-150,150,-120,120,0.65,,pra,0.507397,0.241351,PROBABLE,NBA Official Report,Injury/Illness - N/a; Illness,1766785786.864908,odds_api,PHI @ CHI
8e899df2ab8672fc:pra:41.5:over,8e899df2ab8672fc,Deni Avdija,pra,over,41.5,d634cf294ef9b80b7fabb5ab9f52173d,POR,LAC,2025-12-27T03:10:00Z,POR,LAC,True,4,False,50.96,0.5536,0.9083,0.7022,0.4899,0.4899,-110,-120,0.0298,0.364,LOW,"{'minutes_trend': 1.067, 'usage_trend': 1.0245, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, soft defense, fast pace, market divergence",40.4,40.1,40.333333333333336,FLAT,7.1094616142465,0.5,0.5333333333333333,-2,7,0,2,Blake Wesley (Injury/Illness - Right Foot; Fracture); Matisse Thybulle (Injury/Illness - Left Thumb; Ligament Tear); Jrue Holiday (Injury/Illness - Right Calf; Strain); Scoot Henderson (Injury/Illness - Left Hamstring; Tear); Jerami Grant (Injury/Illness - Left Achilles; Tendonitis); Javonte Cooke (G League - Two-Way); Damian Lillard (Injury/Illness - Left Achilles Tendon; Injury Management),,Robert Williams III (Injury/Illness - Left Knee; Injury Management); Kris Murray (Injury/Illness - Right Cervical; Soreness),Teammates OUT: 7,1.0,,OVER,-110,0.0693,0.021,0.3255,1.05,1.0,0.1713,-150,150,-120,120,0.65,,pra,0.507397,0.241351,,,,1766785786.864908,odds_api,LAC @ POR
d1fb36bbd833e915:pra:33.5:over,d1fb36bbd833e915,Shaedon Sharpe,pra,over,33.5,d634cf294ef9b80b7fabb5ab9f52173d,POR,LAC,2025-12-27T03:10:00Z,POR,LAC,True,4,False,40.54,0.5576,0.8879,0.6918,0.5,0.5,-114,-114,0.0248,0.3837,LOW,"{'minutes_trend': 1.0719, 'usage_trend': 1.0394, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, soft defense, fast pace",32.6,31.0,29.8,UP,5.792715732327589,0.4,0.4,-3,7,0,2,Blake Wesley (Injury/Illness - Right Foot; Fracture); Matisse Thybulle (Injury/Illness - Left Thumb; Ligament Tear); Jrue Holiday (Injury/Illness - Right Calf; Strain); Scoot Henderson (Injury/Illness - Left Hamstring; Tear); Jerami Grant (Injury/Illness - Left Achilles; Tendonitis); Javonte Cooke (G League - Two-Way); Damian Lillard (Injury/Illness - Left Achilles Tendon; Injury Management),,Robert Williams III (Injury/Illness - Left Knee; Injury Management); Kris Murray (Injury/Illness - Right Cervical; Soreness),Teammates OUT: 7,1.0,,OVER,-114,0.0654,0.021,0.3255,1.05,1.0,0.1729,-150,150,-120,120,0.65,,pra,0.507397,0.241351,,,,1766785786.864908,odds_api,LAC @ POR
3b09314818626f62:pra:25.5:over,3b09314818626f62,Anthony Black,pra,over,25.5,c4c6703488303b6b8ee37437a8910548,ORL,CHA,2025-12-27T00:10:00Z,ORL,CHA,True,4,False,32.29,0.5695,0.8991,0.6976,0.5146,0.5146,-120,-106,0.024,0.3951,LOW,"{'minutes_trend': 1.1079, 'usage_trend': 1.01, 'team_usage': 1.075, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home",29.0,27.4,26.066666666666666,UP,5.316640543300503,0.7,0.5333333333333333,4,5,0,0,Moritz Wagner (Injury/Illness - Left Knee; Injury recovery); Franz Wagner (Injury/Illness - Left High Ankle; Sprain); Jalen Suggs (Injury/Illness - Left Hip; Contusion); Colin Castleton (G League - Two-Way da); Goga Bitadze (Injury/Illness - Left Knee; Strain),,,Teammates OUT: 5,1.0,,OVER,-120,0.06,0.021,0.3255,1.05,1.0,0.2085,-150,150,-120,120,0.65,,pra,0.507397,0.241351,,,,1766785786.864908,odds_api,CHA @ ORL
d3db177138d369cc:pra:23.5:over,d3db177138d369cc,Kyle Kuzma,pra,over,23.5,5b9deb3a7a25c3efea6e5baf9123366f,MEM,MIL,2025-12-27T01:10:00Z,MIL,MEM,False,4,False,32.07,0.5533,0.8599,0.6777,0.5,0.5,-113,-113,0.0228,0.3554,LOW,"{'minutes_trend': 1.1369, 'usage_trend': 1.0955, 'team_usage': 1.06, 'rest': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest",26.0,21.4,21.333333333333332,UP,7.933053216343208,0.4,0.4,2,4,0,0,Gary Trent Jr. (Injury/Illness - Left Calf; Contusion); Taurean Prince (Injury/Illness - Neck; Surgery); Giannis Antetokounmpo (Injury/Illness - Right Calf; Strain); Alex Antetokounmpo (G League - Two-Way),,,Usage up; Teammates OUT: 4,1.0,,OVER,-113,0.061,0.0227,0.3423,1.05,1.08,0.3376,-150,150,-120,120,0.65,,pra,0.507397,0.241351,,,,1766785786.864908,odds_api,MIL @ MEM
