prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source,game
edd43e3a6b6d2de3:rebounds:7.5:over,edd43e3a6b6d2de3,Derik Queen,rebounds,over,7.5,5e1430770a9b7fe84382e690d0a936c3,NOP,PHX,2025-12-27T01:00:00Z,,,,4,False,9.06,0.6323,0.7383,0.9551,0.4939,0.104,0.8192,HIGH,"{'minutes_trend': 1.033, 'usage_trend': 1.0271, 'rest': 1.02}","minutes trend, usage trend, extra rest, market divergence",9.4,8.3,7.266666666666667,UP,2.4517567397911058,0.7,0.5333333333333333,-1,0,0,0,,,,,OVER,-112,0.0696,0.0308,0.3672,0.95,1.08,0.3269,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780827.409724,odds_api,PHX @ NOP
e79e366ce3926930:assists:4.5:over,e79e366ce3926930,Dyson Daniels,assists,over,4.5,c8523141aaa4ff1f5221721713a92dca,ATL,MIA,2025-12-27T00:10:00Z,ATL,MIA,True,6,False,6.13,0.6357,0.7509,0.9765,0.4896,0.1164,0.7268,HIGH,"{'minutes_trend': 0.9751, 'usage_trend': 1.0428, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home, high variance, market divergence",5.4,5.3,5.6,FLAT,2.406010991015812,0.6,0.6666666666666666,1,3,3,0,Kristaps Porzingis (Injury/Illness - N/A; Illness); Eli John Ndiaye (G League - Two-Way); N'Faly Dante (Injury/Illness - Right Knee; Torn ACL),Malik Williams (G League - Two-Way); Caleb Houstan (G League - Two-Way); Nikola Djurisic (G League - On Assignment),,Teammates OUT: 3; Teammates Q: 3,OVER,-108,0.0605,0.0345,0.396,1.0,1.15,0.5347,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780827.409724,odds_api,MIA @ ATL
4caf9e680e33cf8c:points:8.5:over,4caf9e680e33cf8c,Isaiah Stewart II,points,over,8.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,DET,UTA,False,4,False,13.2,0.6542,0.7984,1.0,0.5061,0.113,0.7268,HIGH,"{'minutes_trend': 1.0593, 'usage_trend': 1.1307, 'team_usage': 1.065, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, high variance, market divergence",9.6,10.4,9.533333333333333,FLAT,5.621387729022079,0.5,0.4666666666666667,1,4,1,0,Bobi Klintman (G League - On Assignment); Isaac Jones (G League - On Assignment); Wendell Moore Jr. (G League - Two-Way); Tolu Smith (G League - Two-Way),Ronald Holland II (Injury/Illness - Left Knee; Sprain),,Usage up; Teammates OUT: 4; Teammates Q: 1,OVER,-118,0.0696,0.0345,0.396,1.0,1.15,0.6613,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780827.409724,odds_api,DET @ UTA
f0f6cdc30bf237c9:pra:26.5:over,f0f6cdc30bf237c9,Santi Aldama,pra,over,26.5,5b9deb3a7a25c3efea6e5baf9123366f,MEM,MIL,2025-12-27T01:10:00Z,MEM,MIL,True,4,False,36.91,0.6533,0.7628,0.9968,0.5061,0.112,0.7268,HIGH,"{'minutes_trend': 1.0984, 'usage_trend': 1.0921, 'team_usage': 1.08, 'rest': 1.02, 'home': 1.01, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, home, soft defense, high variance, market divergence",28.8,25.1,26.133333333333333,UP,14.5560220451117,0.4,0.4,1,6,2,0,Vince Williams Jr. (Injury/Illness - Left Patellar; Tendinitis); Scotty Pippen Jr. (Injury/Illness - Left Great Toe; Surgery Recovery); John Konchar (Injury/Illness - Left Thumb; UCL Surgery Recovery); Ty Jerome (Injury/Illness - Right Calf; Strain); Zach Edey (Injury/Illness - Left Ankle; Stress Reaction); Brandon Clarke (Injury/Illness - Right Calf; Strain),Cedric Coward (Injury/Illness - Left Heel; Soreness); Ja Morant (Injury/Illness - Left Ankle; Sprain),,Usage up; Teammates OUT: 6; Teammates Q: 2,OVER,-118,0.0696,0.0362,0.408,1.05,1.15,0.5493,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780827.409724,odds_api,MIL @ MEM
4656f7fbee62aa19:assists:5.5:under,4656f7fbee62aa19,Collin Gillespie,assists,under,5.5,5e1430770a9b7fe84382e690d0a936c3,NOP,PHX,2025-12-27T01:00:00Z,,,,4,False,4.47,0.6171,0.7265,0.9351,0.4808,0.1026,0.7832,HIGH,"{'minutes_trend': 1.0148, 'usage_trend': 0.85, 'rest': 1.02}","minutes trend, usage trend, extra rest, market divergence",5.2,4.4,4.733333333333333,FLAT,1.7126976771553504,0.8,0.6666666666666666,-1,0,0,0,,,,Usage down,UNDER,-106,0.0701,0.0324,0.3792,1.0,1.08,0.3114,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780827.409724,odds_api,PHX @ NOP
c48db2414d62538d:points:10.5:over,c48db2414d62538d,Tre Johnson,points,over,10.5,2452dd9a484d893bca40a2059218e2e3,WAS,TOR,2025-12-27T00:10:00Z,,,,4,False,13.26,0.6187,0.729,0.9393,0.4812,0.1089,0.7275,HIGH,"{'minutes_trend': 0.9817, 'usage_trend': 1.0686, 'rest': 1.02}","minutes trend, usage trend, extra rest, high variance, market divergence",13.0,11.0,11.0,UP,4.521553322083512,0.6,0.4666666666666667,3,0,0,0,,,,Usage up,OVER,-104,0.0594,0.0345,0.396,1.0,1.15,0.4306,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780827.409724,odds_api,TOR @ WAS
c48db2414d62538d:threes:1.5:over,c48db2414d62538d,Tre Johnson,threes,over,1.5,2452dd9a484d893bca40a2059218e2e3,WAS,TOR,2025-12-27T00:10:00Z,,,,4,False,2.4,0.6461,0.7571,0.987,0.5,0.1156,0.684,MEDIUM,"{'minutes_trend': 0.9817, 'usage_trend': 1.0686, 'rest': 1.02}","minutes trend, usage trend, extra rest, high variance, market divergence",2.4,2.1,1.9333333333333333,FLAT,1.286683937707919,0.8,0.6666666666666666,5,0,0,0,,,,Usage up,OVER,-113,0.061,0.0379,0.42,1.1,1.15,0.8578,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780827.409724,odds_api,TOR @ WAS
b90d46e90cecc8d4:assists:2.5:over,b90d46e90cecc8d4,Tobias Harris,assists,over,2.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,DET,UTA,False,4,False,3.29,0.5442,0.7088,0.905,0.3896,0.1276,0.6196,MEDIUM,"{'minutes_trend': 0.9952, 'usage_trend': 0.9588, 'team_usage': 1.065, 'rest': 1.02, 'opp_def': 1.03}","minutes trend, usage trend, usage boost (injuries), extra rest, soft defense, high variance, market divergence",3.4,2.5,2.4,UP,1.4337208778404378,0.6,0.5333333333333333,5,4,1,0,Bobi Klintman (G League - On Assignment); Isaac Jones (G League - On Assignment); Wendell Moore Jr. (G League - Two-Way); Tolu Smith (G League - Two-Way),Ronald Holland II (Injury/Illness - Left Knee; Sprain),,Teammates OUT: 4; Teammates Q: 1,OVER,140,0.0694,0.0345,0.396,1.0,1.15,0.5735,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780827.409724,odds_api,DET @ UTA
6528127ba219e939:points:26.5:over,6528127ba219e939,Lauri Markkanen,points,over,26.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,UTA,DET,True,5,False,29.86,0.6038,0.7184,0.9212,0.4677,0.1038,0.7582,HIGH,"{'minutes_trend': 0.9756, 'usage_trend': 1.0422, 'team_usage': 1.06, 'rest': 1.02, 'home': 1.01, 'opp_def': 0.97, 'pace': 1.02}","minutes trend, usage trend, usage boost (injuries), extra rest, home, tough defense, fast pace, market divergence",26.8,24.6,27.866666666666667,DOWN,5.815687596683837,0.5,0.6,2,4,0,0,Walker Kessler (Injury/Illness - Left Shoulder; Injury Recovery); Elijah Harkless (G League - Two-Way); John Tonje (G League - Two-Way); Georges Niang (Injury/Illness - Left Foot; fourth metatarsal stress reaction),,,Teammates OUT: 4,OVER,100,0.069,0.03,0.36,1.0,1.0,0.2195,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780827.409724,odds_api,DET @ UTA
920b4c0f03d8363f:points:7.5:over,920b4c0f03d8363f,Svi Mykhailiuk,points,over,7.5,19d20865216afacaaeba1cc609103741,UTA,DET,2025-12-27T02:40:00Z,,,,4,False,11.1,0.6334,0.7461,0.9684,0.4899,0.1096,0.7166,HIGH,"{'minutes_trend': 0.9153, 'usage_trend': 1.15, 'rest': 1.02}","minutes trend, usage trend, extra rest, high variance, market divergence",11.0,9.5,9.266666666666667,UP,5.441609239104836,0.6,0.6666666666666666,1,0,0,0,,,,Usage up,OVER,-110,0.0693,0.0345,0.396,1.0,1.15,0.7255,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766780827.409724,odds_api,DET @ UTA
