prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,usage_expectation,pick,odds,injury_status,injury_source,injury_detail
0fcc97fb82556cb2:points:12.5:under,0fcc97fb82556cb2,Jaylon Tyson,points,under,12.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,12.62,0.4798,0.4842,0.4694,-0.0202,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,100,,,
0aa082da5aeeb340:points:7.5:over,0aa082da5aeeb340,Moussa Diabate,points,over,7.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,7.5,0.4926,0.5,0.4754,-0.0196,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-105,,,
0aa082da5aeeb340:points:7.5:under,0aa082da5aeeb340,Moussa Diabate,points,under,7.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,7.5,0.5074,0.5,0.5246,-0.0578,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-130,,,
ada18546837dac41:points:14.5:over,ada18546837dac41,Jarrett Allen,points,over,14.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,14.64,0.5141,0.5158,0.5101,-0.0314,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-120,,,
ada18546837dac41:points:14.5:under,ada18546837dac41,Jarrett Allen,points,under,14.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,14.64,0.4859,0.4842,0.4899,-0.0379,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-110,,,
335aba9590921564:points:5.5:over,335aba9590921564,Lonzo Ball,points,over,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,5.5,0.503,0.5,0.5101,-0.0424,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-120,,,
335aba9590921564:points:5.5:under,335aba9590921564,Lonzo Ball,points,under,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,5.5,0.497,0.5,0.4899,-0.0268,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-110,,,
d6fa084d1a037f96:points:12.5:over,d6fa084d1a037f96,De'Andre Hunter,points,over,12.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,ATL,,,4,False,11.66,0.4473,0.4116,0.5306,-0.1179,0.2,LOW,"{'minutes_trend': 0.9953, 'usage_trend': 0.9736, 'rest': 1.02}","minutes trend, usage trend, extra rest",9.6,10.6,12.533333333333333,DOWN,0.3,0.4,-3,0,0,0,,PASS,-130,,,
d6fa084d1a037f96:points:12.5:under,d6fa084d1a037f96,De'Andre Hunter,points,under,12.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,ATL,,,4,False,11.66,0.5527,0.5884,0.4694,0.0527,0.2,LOW,"{'minutes_trend': 0.9953, 'usage_trend': 0.9736, 'rest': 1.02}","minutes trend, usage trend, extra rest",9.6,10.6,12.533333333333333,DOWN,0.7,0.6,3,0,0,0,,PASS,100,,,
220e544c0e1716ed:points:30.5:over,220e544c0e1716ed,Donovan Mitchell,points,over,30.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,30.8,0.505,0.5158,0.4797,-0.0072,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-105,,,
220e544c0e1716ed:points:30.5:under,220e544c0e1716ed,Donovan Mitchell,points,under,30.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,30.8,0.495,0.4842,0.5203,-0.0605,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-125,,,
1632dad36b5e936c:points:5.5:over,1632dad36b5e936c,Dean Wade,points,over,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,5.55,0.5171,0.5158,0.5203,-0.0384,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-125,,,
1632dad36b5e936c:points:5.5:under,1632dad36b5e936c,Dean Wade,points,under,5.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CLE,CHA,True,,,5.55,0.4829,0.4842,0.4797,-0.0293,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-105,,,
facb6803046eab5c:points:19.5:over,facb6803046eab5c,Brandon Miller,points,over,19.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,3,False,22.59,0.6289,0.6842,0.5,0.094,0.2578,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",20.0,18.5,17.833333333333332,UP,0.4,0.4166666666666667,-1,0,0,0,,PASS,-115,,,
facb6803046eab5c:points:19.5:under,facb6803046eab5c,Brandon Miller,points,under,19.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,CHA,CLE,False,3,False,22.59,0.3711,0.3158,0.5,-0.1638,0.2578,LOW,"{'minutes_trend': 1.15, 'usage_trend': 1.0066, 'rest': 1.02}","minutes trend, usage trend, extra rest",20.0,18.5,17.833333333333332,UP,0.6,0.5833333333333334,1,0,0,0,,PASS,-115,,,
9ea8ae204f976e4e:points:7.5:over,9ea8ae204f976e4e,Sam Merrill,points,over,7.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,7.5,0.497,0.5,0.4899,-0.0268,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-110,,,
9ea8ae204f976e4e:points:7.5:under,9ea8ae204f976e4e,Sam Merrill,points,under,7.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,7.5,0.503,0.5,0.5101,-0.0424,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-120,,,
440168766d15343b:points:18.5:over,440168766d15343b,Kon Knueppel,points,over,18.5,4748a28fab48f8c9a17c947771fd53f5,CLE,CHA,2025-12-23 00:00:00+00:00,,,,,,18.5,0.4939,0.5,0.4797,-0.0183,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-105,,,
